fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1011.91 ± 150.78,114.07 ± 11.49,7.06 ± 0.54,-8116.04 ± 289.05,719.11 ± 19.25,-56.88 ± 1.21,277776506.65 ± 26096597.66,971720.94 ± 66279.39,-83991493.12 ± 352565586.84
BA_fee,1162.77 ± 162.38,133.78 ± 13.14,6.95 ± 0.48,-8117.35 ± 293.79,719.20 ± 19.06,-56.88 ± 1.28,261111992.61 ± 21789716.39,844468.80 ± 67071.20,-83232387.41 ± 341779037.21
DA_fee,1195.70 ± 169.95,138.07 ± 13.86,6.93 ± 0.48,-8122.08 ± 293.44,719.13 ± 19.09,-56.92 ± 1.31,255856058.71 ± 21090999.16,814086.47 ± 63403.63,-55503171.97 ± 392236406.11
FX_fee,1190.59 ± 169.05,137.02 ± 13.87,6.95 ± 0.47,-8114.24 ± 291.70,719.56 ± 18.88,-56.83 ± 1.28,257672949.86 ± 12537826.52,822662.83 ± 34924.45,-68042292.17 ± 369252031.23
IMPOVED_AMM_fee,986.13 ± 152.29,90.27 ± 8.66,6.65 ± 0.65,-8115.72 ± 288.29,719.31 ± 19.42,-56.86 ± 1.20,257446267.69 ± 19904174.26,885322.80 ± 49434.86,-88304995.49 ± 356335946.55
IMPOVED_BA_fee,1157.47 ± 177.47,110.76 ± 11.62,6.69 ± 0.60,-8124.73 ± 293.46,719.65 ± 18.81,-56.90 ± 1.27,247660194.59 ± 14348413.89,786535.77 ± 45236.07,-80214728.70 ± 353796163.50
IMPROVED_DA_fee,1165.40 ± 185.53,119.30 ± 14.93,6.79 ± 0.61,-8137.71 ± 283.67,719.38 ± 18.94,-57.01 ± 1.36,245375601.45 ± 17733201.82,783051.17 ± 54596.97,-63673869.00 ± 387153194.42
IMPROVED_FX_fee,1157.97 ± 173.24,109.08 ± 11.10,6.54 ± 0.57,-8106.90 ± 286.91,718.97 ± 18.95,-56.83 ± 1.22,247727108.72 ± 11810266.08,776739.27 ± 34063.12,-73913340.92 ± 369487861.72
IMPROVED_OB_fee,805.43 ± 157.80,59.62 ± 8.13,6.13 ± 0.71,-8116.56 ± 281.28,719.02 ± 19.27,-56.89 ± 1.17,268964203.52 ± 17990264.53,983624.37 ± 41354.26,-96586910.07 ± 364393016.75
OB_fee,869.25 ± 156.93,99.80 ± 13.69,6.95 ± 0.55,-8102.14 ± 286.43,718.77 ± 19.05,-56.81 ± 1.15,292687290.16 ± 21308861.97,1095879.70 ± 45324.21,-87343898.50 ± 362834359.79
