fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1376.71 ± 141.56,276.37 ± 19.77,4.52 ± 0.23,-41216.90 ± 876.89,3594.88 ± 41.30,-56.22 ± 0.81,29118.87 ± 1466.95,28.05 ± 0.58,-10897.30 ± 27297.12
BA_fee,1529.52 ± 149.02,320.14 ± 22.69,4.37 ± 0.19,-41222.85 ± 888.47,3595.36 ± 42.18,-56.22 ± 0.84,28517.51 ± 1559.16,26.32 ± 0.78,-10912.75 ± 26732.83
DA_fee,1506.17 ± 149.15,321.61 ± 23.45,4.30 ± 0.19,-41279.22 ± 878.72,3595.57 ± 42.31,-56.30 ± 0.88,28171.36 ± 1325.72,26.02 ± 1.01,-9624.62 ± 28844.34
FX_fee,1514.35 ± 154.44,322.19 ± 23.54,4.32 ± 0.20,-41202.91 ± 885.93,3595.49 ± 41.89,-56.19 ± 0.83,28287.82 ± 1086.10,26.10 ± 0.14,-10151.78 ± 27904.38
IMPROVED_AMM_fee,1213.15 ± 132.94,259.71 ± 19.62,4.07 ± 0.22,-41259.17 ± 894.28,3595.25 ± 42.30,-56.28 ± 0.80,29240.99 ± 1470.23,28.35 ± 0.59,-11163.66 ± 27289.79
IMPROVED_BA_fee,1330.74 ± 157.78,297.66 ± 23.92,3.92 ± 0.28,-41261.64 ± 887.11,3595.67 ± 42.42,-56.27 ± 0.84,28578.28 ± 1541.51,26.64 ± 0.85,-11186.24 ± 26834.34
IMPROVED_DA_fee,1695.79 ± 974.63,279.61 ± 74.86,6.10 ± 5.92,-41361.74 ± 930.23,3594.81 ± 41.91,-56.42 ± 1.05,27775.90 ± 1240.16,26.49 ± 1.58,-9439.70 ± 28733.76
IMPROVED_FX_fee,1514.35 ± 154.44,322.19 ± 23.54,4.32 ± 0.20,-41202.91 ± 885.93,3595.49 ± 41.89,-56.19 ± 0.83,28287.82 ± 1086.10,26.10 ± 0.14,-10151.78 ± 27904.38
IMPROVED_OB_fee,1095.16 ± 135.68,232.52 ± 22.75,4.32 ± 0.22,-41226.83 ± 879.99,3596.21 ± 42.63,-56.22 ± 0.81,30066.18 ± 1339.97,30.46 ± 0.21,-11198.04 ± 27654.85
OB_fee,1095.16 ± 135.68,232.52 ± 22.75,4.32 ± 0.22,-41226.83 ± 879.99,3596.21 ± 42.63,-56.22 ± 0.81,30066.18 ± 1339.97,30.46 ± 0.21,-11198.04 ± 27654.85
