fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,520.93 ± 90.49,80.86 ± 10.27,5.57 ± 0.50,-8118.89 ± 283.10,719.09 ± 18.74,-56.90 ± 1.16,414099501.25 ± 34873598.83,1754469.38 ± 100020.51,-241197884.11 ± 319320662.69
BA_fee,589.19 ± 100.54,92.59 ± 11.42,5.52 ± 0.47,-8112.40 ± 281.00,719.36 ± 18.62,-56.83 ± 1.20,397737026.93 ± 28964529.43,1597361.65 ± 98441.46,-237159118.90 ± 313527137.88
DA_fee,594.85 ± 103.59,95.49 ± 12.28,5.43 ± 0.45,-8120.05 ± 283.28,719.27 ± 18.91,-56.89 ± 1.21,394286500.79 ± 29986408.47,1566836.29 ± 102328.02,-205872055.03 ± 374362014.20
FX_fee,594.19 ± 102.07,94.74 ± 11.80,5.46 ± 0.46,-8115.93 ± 283.79,719.46 ± 19.02,-56.84 ± 1.17,395776966.47 ± 19436542.77,1576589.22 ± 53140.30,-220025311.03 ± 346203155.44
IMPOVED_AMM_fee,504.97 ± 94.96,63.85 ± 7.90,5.16 ± 0.63,-8111.46 ± 281.02,718.82 ± 19.22,-56.87 ± 1.18,387352597.76 ± 26423744.76,1612062.25 ± 76579.94,-243760307.40 ± 325124104.18
IMPOVED_BA_fee,581.31 ± 102.80,74.81 ± 9.62,5.21 ± 0.54,-8117.35 ± 289.01,719.01 ± 19.36,-56.89 ± 1.19,379400667.34 ± 20939561.83,1494900.04 ± 69337.73,-235540884.12 ± 326743158.11
IMPROVED_DA_fee,572.41 ± 107.51,78.69 ± 12.01,5.18 ± 0.58,-8126.84 ± 288.35,719.44 ± 18.55,-56.92 ± 1.23,378869125.65 ± 24958290.71,1499302.36 ± 84482.20,-216914799.62 ± 368929638.16
IMPROVED_FX_fee,570.15 ± 103.64,71.99 ± 9.13,5.03 ± 0.52,-8113.66 ± 281.34,719.39 ± 18.82,-56.83 ± 1.20,380939942.65 ± 18244020.16,1491043.21 ± 53562.74,-228446564.46 ± 347831689.67
IMPROVED_OB_fee,395.06 ± 94.48,38.52 ± 6.45,4.75 ± 0.70,-8109.29 ± 278.64,718.72 ± 18.82,-56.86 ± 1.08,402542044.01 ± 25952197.15,1787117.32 ± 61736.29,-252467264.43 ± 341529935.52
OB_fee,432.65 ± 93.70,68.75 ± 11.51,5.46 ± 0.55,-8114.17 ± 281.78,719.27 ± 18.94,-56.85 ± 1.07,432905814.59 ± 30803586.54,1953992.05 ± 67053.77,-242198564.67 ± 339208704.01
