fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1119.74 ± 117.36,246.53 ± 18.57,4.24 ± 0.22,-40855.75 ± 1022.88,3595.78 ± 42.02,-56.65 ± 0.99,27515.05 ± 1467.33,27.91 ± 0.57,-20867.93 ± 14530.46
BA_fee,1235.70 ± 129.56,283.73 ± 21.19,4.10 ± 0.20,-40839.51 ± 1025.54,3595.94 ± 41.22,-56.63 ± 1.01,26924.24 ± 1385.27,26.32 ± 0.61,-20721.11 ± 14230.57
DA_fee,1205.81 ± 130.26,283.52 ± 22.02,4.02 ± 0.20,-40920.35 ± 1007.29,3595.58 ± 41.66,-56.75 ± 1.05,27033.22 ± 1353.56,26.48 ± 0.72,-20321.05 ± 15365.25
FX_fee,1212.53 ± 130.07,284.12 ± 21.98,4.03 ± 0.20,-40830.33 ± 1026.79,3595.49 ± 41.84,-56.62 ± 1.00,26935.18 ± 1212.85,26.36 ± 0.13,-20452.15 ± 14841.34
IMPROVED_AMM_fee,992.00 ± 117.82,231.78 ± 18.25,3.83 ± 0.23,-40898.29 ± 1022.37,3596.23 ± 42.27,-56.70 ± 1.01,27629.02 ± 1466.23,28.18 ± 0.57,-21113.71 ± 14548.91
IMPROVED_BA_fee,1085.67 ± 138.79,265.40 ± 22.70,3.69 ± 0.29,-40852.80 ± 1050.02,3595.33 ± 41.14,-56.65 ± 1.00,26997.66 ± 1386.87,26.60 ± 0.66,-20948.69 ± 14270.91
IMPROVED_DA_fee,1592.55 ± 1193.57,234.19 ± 76.10,7.30 ± 8.15,-41020.80 ± 1049.00,3595.67 ± 42.22,-56.89 ± 1.26,26622.44 ± 1558.35,27.05 ± 1.13,-20547.98 ± 14921.78
IMPROVED_FX_fee,1212.53 ± 130.07,284.12 ± 21.98,4.03 ± 0.20,-40830.33 ± 1026.79,3595.49 ± 41.84,-56.62 ± 1.00,26935.18 ± 1212.85,26.36 ± 0.13,-20452.15 ± 14841.34
IMPROVED_OB_fee,876.04 ± 117.55,204.77 ± 21.33,4.04 ± 0.23,-40836.28 ± 1011.98,3594.76 ± 41.58,-56.64 ± 1.00,28417.82 ± 1409.12,30.29 ± 0.21,-21242.38 ± 14718.77
OB_fee,876.04 ± 117.55,204.77 ± 21.33,4.04 ± 0.23,-40836.28 ± 1011.98,3594.76 ± 41.58,-56.64 ± 1.00,28417.82 ± 1409.12,30.29 ± 0.21,-21242.38 ± 14718.77
