random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
0,28.29,23.32,18.19,20.82,28.29,23.32,18.19,20.82,33.11,33.11
1,27.65,23.14,17.07,20.01,27.65,23.14,17.07,20.01,32.56,32.56
10,26.52,23.65,17.28,20.55,26.52,23.65,17.28,20.55,32.79,32.79
100,27.94,23.28,16.15,20.01,27.94,23.28,16.15,20.01,32.76,32.76
101,28.52,23.51,16.83,20.25,28.52,23.51,16.83,20.25,32.91,32.91
102,26.87,21.44,18.8,20.62,26.87,21.44,18.8,20.62,32.81,32.81
103,25.9,20.38,20.44,20.33,25.9,20.38,20.44,20.33,32.92,32.92
104,28.4,22.46,18.96,20.59,28.4,22.46,18.96,20.59,32.91,32.91
105,29.35,25.35,23.13,20.65,29.35,25.35,23.13,20.65,32.57,32.57
106,28.51,23.43,17.91,20.21,28.51,23.43,17.91,20.21,32.39,32.39
107,28.83,23.31,22.02,20.1,28.83,23.31,22.02,20.1,32.85,32.85
108,27.31,21.34,21.48,20.93,27.31,21.34,21.48,20.93,32.97,32.97
109,27.9,21.67,18.35,19.84,27.9,21.67,18.35,19.84,32.38,32.38
11,28.84,20.78,22.17,20.79,28.84,20.78,22.17,20.79,32.83,32.83
110,28.51,23.61,17.55,20.62,28.51,23.61,17.55,20.62,32.77,32.77
111,26.73,22.88,21.92,20.18,26.73,22.88,21.92,20.18,32.83,32.83
112,29.18,20.89,20.98,20.43,29.18,20.89,20.98,20.43,32.83,32.83
113,28.69,22.34,22.11,20.13,28.69,22.34,22.11,20.13,32.88,32.88
114,25.88,23.6,16.67,20.5,25.88,23.6,16.67,20.5,32.51,32.51
115,26.91,21.12,21.2,20.74,26.91,21.12,21.2,20.74,33.14,33.14
116,29.48,24.47,23.37,20.09,29.48,24.47,23.37,20.09,32.36,32.36
117,28.09,22.46,17.27,20.25,28.09,22.46,17.27,20.25,32.72,32.72
118,28.43,25.41,23.56,20.12,28.43,25.41,23.56,20.12,32.69,32.69
119,27.23,23.35,18.23,20.2,27.23,23.35,18.23,20.2,32.47,32.47
12,26.57,21.98,19.92,20.36,26.57,21.98,19.92,20.36,32.8,32.8
120,25.49,22.47,18.3,20.33,25.49,22.47,18.3,20.33,32.86,32.86
121,26.48,25.35,14.64,20.4,26.48,25.35,14.64,20.4,32.43,32.43
