fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,3585.47 ± 357.54,490.95 ± 27.01,6.63 ± 0.25,-7448.64 ± 416.89,719.37 ± 25.47,-61.39 ± 2.38,18547.78 ± 1983.92,27.97 ± 1.28,53330.31 ± 63739.00
BA_fee,4183.55 ± 413.43,576.45 ± 32.11,6.60 ± 0.22,-7450.40 ± 422.51,719.46 ± 25.48,-61.39 ± 2.36,17148.91 ± 1558.18,22.74 ± 1.58,52649.82 ± 62603.63
DA_fee,4315.88 ± 442.68,594.00 ± 34.31,6.60 ± 0.22,-7476.17 ± 419.80,719.19 ± 25.28,-61.63 ± 2.44,14980.25 ± 2742.08,19.22 ± 2.49,57045.12 ± 66178.86
FX_fee,4305.22 ± 434.72,592.86 ± 33.30,6.60 ± 0.21,-7449.17 ± 422.81,719.37 ± 25.46,-61.39 ± 2.35,15759.92 ± 1517.82,20.35 ± 0.26,55110.57 ± 64406.68
IMPROVED_AMM_fee,3585.47 ± 357.54,490.95 ± 27.01,6.63 ± 0.25,-7448.64 ± 416.89,719.37 ± 25.47,-61.39 ± 2.38,18547.78 ± 1983.92,27.97 ± 1.28,53330.31 ± 63739.00
IMPROVED_BA_fee,4183.55 ± 413.43,576.45 ± 32.11,6.60 ± 0.22,-7450.40 ± 422.51,719.46 ± 25.48,-61.39 ± 2.36,17148.91 ± 1558.18,22.74 ± 1.58,52649.82 ± 62603.63
IMPROVED_DA_fee,4315.88 ± 442.68,594.00 ± 34.31,6.60 ± 0.22,-7476.17 ± 419.80,719.19 ± 25.28,-61.63 ± 2.44,14980.25 ± 2742.08,19.22 ± 2.49,57045.12 ± 66178.86
IMPROVED_FX_fee,4305.19 ± 434.72,592.86 ± 33.30,6.60 ± 0.21,-7449.17 ± 422.81,719.37 ± 25.46,-61.39 ± 2.35,15759.95 ± 1517.82,20.35 ± 0.26,55110.54 ± 64406.69
IMPROVED_OB_fee,3173.14 ± 348.55,436.26 ± 30.63,6.61 ± 0.25,-7453.38 ± 412.75,719.34 ± 25.46,-61.43 ± 2.33,19724.45 ± 1920.28,32.76 ± 0.27,53220.22 ± 64279.37
OB_fee,3173.14 ± 348.55,436.26 ± 30.63,6.61 ± 0.25,-7453.38 ± 412.75,719.34 ± 25.46,-61.43 ± 2.33,19724.45 ± 1920.28,32.76 ± 0.27,53220.22 ± 64279.37
