random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
0,27.05,20.66,17.1,18.46,27.05,20.66,17.1,18.46,32.24,32.24
1,26.31,21.84,16.64,18.42,26.31,21.84,16.64,18.42,32.12,32.12
10,24.54,21.38,16.61,18.45,24.54,21.38,16.61,18.45,32.33,32.33
100,27.08,22.73,15.95,18.27,27.08,22.73,15.95,18.27,32.15,32.15
101,27.17,22.73,16.01,18.66,27.17,22.73,16.01,18.66,32.38,32.38
102,26.25,21.34,16.92,18.88,26.25,21.34,16.92,18.88,32.54,32.54
103,25.69,18.69,19.31,18.32,25.69,18.69,19.31,18.32,31.84,31.84
104,27.74,21.83,16.74,18.58,27.74,21.83,16.74,18.59,32.21,32.21
105,27.74,24.31,12.69,18.24,27.74,24.31,12.69,18.25,31.69,31.69
106,26.56,20.84,17.38,18.91,26.56,20.84,17.38,18.91,32.37,32.37
107,26.49,20.79,14.92,18.05,26.49,20.79,14.92,18.05,31.48,31.48
108,26.13,19.03,17.87,18.06,26.13,19.03,17.87,18.08,31.62,31.62
109,27.59,20.28,17.01,18.47,27.59,20.28,17.01,18.47,32.05,32.05
11,27.88,19.75,17.95,18.61,27.88,19.75,17.95,18.63,32.3,32.3
110,27.82,21.99,17.28,18.99,27.82,21.99,17.28,18.99,32.83,32.83
111,27.57,21.36,23.47,18.34,27.57,21.36,23.47,18.34,31.87,31.87
112,27.06,19.52,18.06,18.59,27.06,19.52,18.06,18.61,32.0,32.0
113,27.57,22.26,16.79,18.62,27.57,22.26,16.79,18.63,32.28,32.28
114,25.63,21.32,16.48,18.39,25.63,21.32,16.48,18.4,32.13,32.13
115,24.83,19.83,21.01,18.65,24.83,19.83,21.01,18.65,32.08,32.08
116,27.62,23.89,12.42,18.4,27.62,23.89,12.42,18.41,31.95,31.95
117,27.24,20.95,16.48,18.18,27.24,20.95,16.48,18.19,31.88,31.88
118,27.09,24.72,15.02,18.5,27.09,24.72,15.02,18.51,32.14,32.14
119,26.61,20.19,16.92,18.26,26.61,20.19,16.92,18.28,31.74,31.74
12,24.51,19.91,17.67,18.42,24.51,19.91,17.67,18.43,31.89,31.89
120,25.45,20.63,17.09,18.79,25.45,20.63,17.09,18.8,32.36,32.36
121,26.37,23.73,14.51,18.57,26.37,23.73,14.51,18.57,31.9,31.9
122,26.81,21.75,16.19,18.73,26.81,21.75,16.19,18.74,32.29,32.29
123,28.51,24.81,15.74,18.7,28.51,24.81,15.74,18.71,32.11,32.11
124,26.5,21.62,17.3,18.84,26.5,21.62,17.3,18.84,32.28,32.28
125,27.21,21.18,16.81,18.21,27.21,21.18,16.81,18.21,31.84,31.84
126,25.88,20.81,17.35,18.23,25.88,20.81,17.35,18.24,31.83,31.83
127,27.24,21.22,16.72,18.52,27.24,21.22,16.72,18.52,32.24,32.24
128,25.47,19.57,17.78,18.64,25.47,19.57,17.78,18.64,32.1,32.1
129,27.24,23.85,15.4,18.65,27.24,23.85,15.4,18.65,32.3,32.3
13,27.41,20.39,17.63,18.64,27.41,20.39,17.63,18.64,32.29,32.29
130,27.59,23.1,23.13,18.36,27.59,23.1,23.13,18.36,31.91,31.91
131,28.13,22.23,16.2,18.18,28.13,22.23,16.2,18.18,31.75,31.75
132,25.17,18.88,17.21,18.24,25.17,18.88,17.21,18.24,31.81,31.81
133,27.25,22.93,16.31,18.61,27.25,22.93,16.31,18.61,32.32,32.32
134,26.54,24.84,15.33,18.52,26.54,24.84,15.33,18.52,31.84,31.84
135,27.02,22.67,16.6,18.55,27.02,22.67,16.6,18.55,31.97,31.97
136,26.97,21.83,16.43,18.19,26.97,21.83,16.43,18.21,31.81,31.81
137,27.61,22.93,15.73,17.99,27.61,22.93,15.73,18.0,31.39,31.39
138,25.28,20.33,17.25,18.6,25.28,20.33,17.25,18.6,32.38,32.38
139,26.63,21.61,17.11,18.69,26.63,21.61,17.11,18.69,32.44,32.44
14,27.55,19.75,16.84,18.06,27.55,19.75,16.84,18.06,31.68,31.68
140,26.73,22.82,16.31,18.53,26.73,22.82,16.31,18.53,32.52,32.52
141,25.82,22.38,16.39,18.42,25.82,22.38,16.39,18.42,31.99,31.99
142,26.49,21.03,17.15,18.61,26.49,21.03,17.15,18.61,31.96,31.96
143,27.22,21.17,16.9,18.37,27.22,21.17,16.9,18.38,31.94,31.94
144,24.86,18.37,18.11,18.51,24.86,18.37,18.11,18.51,31.98,31.98
145,25.51,19.4,20.7,18.2,25.51,19.4,20.7,18.2,32.0,32.0
146,25.34,18.92,18.18,18.6,25.34,18.92,18.18,18.61,32.06,32.06
147,26.67,20.24,16.67,18.26,26.67,20.24,16.67,18.27,32.28,32.28
148,26.33,20.61,17.42,18.77,26.33,20.61,17.42,18.78,32.18,32.18
149,26.04,21.39,17.13,18.42,26.04,21.39,17.13,18.42,31.76,31.76
15,26.32,19.77,20.2,18.16,26.32,19.77,20.2,18.17,31.84,31.84
150,27.32,20.51,16.91,18.23,27.32,20.51,16.91,18.23,32.06,32.06
151,26.37,20.64,17.57,18.62,26.37,20.64,17.57,18.62,32.06,32.06
152,27.81,19.35,17.96,18.18,27.81,19.35,17.96,18.19,31.61,31.61
153,27.26,22.87,16.61,18.58,27.26,22.87,16.61,18.58,31.89,31.89
154,26.21,20.96,17.1,18.78,26.21,20.96,17.1,18.78,32.26,32.26
155,25.94,20.46,17.82,18.71,25.94,20.46,17.82,18.71,32.37,32.37
156,27.45,21.11,17.26,18.72,27.45,21.11,17.26,18.72,32.34,32.34
157,24.39,19.42,17.29,18.36,24.39,19.42,17.29,18.36,31.66,31.66
158,28.28,22.76,16.54,18.72,28.28,22.76,16.54,18.72,32.37,32.37
159,28.26,24.81,14.8,18.77,28.26,24.81,14.8,18.78,32.43,32.43
16,25.53,20.82,16.81,18.23,25.53,20.82,16.81,18.24,32.2,32.2
160,25.85,22.6,16.4,18.37,25.85,22.6,16.4,18.38,32.19,32.19
161,26.12,19.43,17.64,18.26,26.12,19.43,17.64,18.28,31.76,31.76
162,27.43,20.83,16.87,18.46,27.43,20.83,16.87,18.46,31.9,31.9
163,25.23,21.83,17.17,18.64,25.23,21.83,17.17,18.65,32.2,32.2
164,24.87,21.05,16.51,18.45,24.87,21.05,16.51,18.46,32.05,32.05
