random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
0,27.55,26.61,27.89,26.97,27.78,27.32,27.29,26.97,29.85,29.85
1,28.07,26.47,27.55,26.97,28.54,26.88,29.3,26.97,30.07,30.07
10,27.46,27.27,26.95,26.81,27.88,27.63,26.95,26.81,29.51,29.51
100,27.58,26.05,26.79,26.95,28.07,26.46,26.79,26.95,30.24,30.24
101,27.59,26.51,26.95,26.79,27.82,26.77,26.96,26.79,30.11,30.11
102,28.59,26.25,27.29,26.91,28.83,26.66,27.29,26.91,29.78,29.78
103,28.34,27.4,26.17,26.91,28.52,27.89,27.82,26.91,29.83,29.83
104,27.75,26.45,27.38,26.89,28.02,26.43,27.38,26.89,29.77,29.77
105,28.84,27.17,28.43,27.02,28.89,27.62,29.78,27.02,29.88,29.88
106,27.83,26.56,27.42,26.84,28.18,27.08,27.42,26.84,29.89,29.89
107,27.46,26.14,28.12,26.9,27.82,26.9,29.92,26.9,30.08,30.08
108,27.73,26.56,27.35,26.96,27.76,26.8,27.35,26.96,29.63,29.63
109,27.76,27.29,27.41,26.92,27.9,27.38,27.41,26.92,30.01,30.01
11,27.85,26.93,27.45,26.81,28.09,26.82,27.45,26.81,30.03,30.03
110,27.99,26.69,27.38,26.82,28.21,27.26,27.38,26.82,30.13,30.13
111,27.54,26.66,26.68,26.89,27.77,26.68,26.69,26.89,29.88,29.88
112,28.12,26.12,27.4,26.81,28.26,25.88,27.4,26.81,30.12,30.12
113,28.51,27.18,27.76,26.88,28.82,27.22,29.06,26.88,30.07,30.07
114,26.99,26.17,26.9,26.95,27.46,26.3,26.9,26.95,30.24,30.24
115,27.69,26.34,27.07,26.88,28.16,26.75,28.52,26.88,30.01,30.01
116,29.02,27.39,26.1,26.7,29.38,27.79,26.1,26.7,30.04,30.04
117,27.77,25.62,27.61,26.73,27.97,25.82,29.33,26.73,29.73,29.73
118,27.76,27.47,25.93,26.93,28.04,27.85,25.93,26.93,29.72,29.72
119,27.59,26.69,26.92,26.75,27.87,26.79,26.92,26.75,30.1,30.1
12,28.13,26.62,27.57,27.14,28.26,27.1,27.57,27.14,30.03,30.03
120,27.49,26.88,27.55,27.05,27.67,26.92,27.55,27.05,29.56,29.56
121,27.85,27.45,26.47,27.17,28.08,27.88,26.47,27.17,29.4,29.4
122,27.68,26.15,26.87,26.84,27.89,26.72,26.87,26.84,30.0,30.0
123,28.75,27.48,26.66,26.78,28.6,27.66,26.66,26.78,29.9,29.9
124,27.71,26.26,26.88,27.02,27.96,26.44,26.88,27.02,29.82,29.82
125,27.99,26.09,26.77,26.9,28.19,27.36,26.99,26.9,29.62,29.62
126,28.25,26.06,27.33,26.79,28.56,26.63,28.42,26.79,30.15,30.15
127,28.37,26.65,27.19,26.9,28.53,26.62,27.2,26.9,30.0,30.0
128,27.41,26.15,27.4,27.17,27.5,26.88,27.4,27.17,30.02,30.02
129,27.66,27.05,26.74,27.11,27.93,27.29,26.74,27.11,29.82,29.82
13,27.73,27.27,27.87,27.01,27.85,27.46,27.87,27.01,29.95,29.95
130,28.83,26.82,28.09,26.8,29.08,26.99,29.17,26.8,30.27,30.27
131,27.64,26.02,26.22,26.84,27.89,26.41,26.22,26.84,30.08,30.08
132,28.06,26.69,27.45,26.77,28.49,27.12,27.61,26.77,29.99,29.99
133,28.28,25.38,26.42,26.75,28.57,25.41,26.42,26.75,29.8,29.8
134,27.79,27.15,26.46,27.13,27.88,27.87,26.46,27.13,29.72,29.72
135,27.49,25.65,27.99,26.87,27.64,26.56,29.89,26.87,30.08,30.08
136,27.28,26.66,26.23,26.87,27.61,26.25,26.23,26.87,29.73,29.73
137,28.27,27.74,25.97,26.68,28.33,27.9,25.97,26.68,29.98,29.98
138,27.6,26.08,27.37,26.84,27.67,26.14,27.37,26.84,29.83,29.83
139,27.96,26.87,27.1,27.04,28.08,27.27,28.3,27.04,30.02,30.02
14,27.14,25.84,27.12,26.77,27.38,25.98,27.12,26.77,30.02,30.02
140,28.03,26.52,26.46,26.94,28.23,27.35,26.46,26.94,29.84,29.84
141,27.69,27.31,26.56,26.89,27.98,26.7,26.56,26.89,29.83,29.83
142,27.41,26.22,27.19,26.84,27.55,26.74,28.5,26.84,30.02,30.02
143,27.44,26.79,27.21,26.86,27.64,26.77,27.21,26.86,29.91,29.91
144,27.94,26.62,27.67,26.97,28.12,26.76,27.67,26.97,29.82,29.82
145,26.75,26.04,26.9,26.77,26.74,26.09,27.7,26.77,29.79,29.79
146,27.96,27.36,26.15,26.82,28.18,27.59,27.1,26.82,29.75,29.75
147,27.31,26.38,27.08,26.87,27.34,26.54,27.08,26.87,29.89,29.89
148,27.36,26.32,27.2,26.97,27.44,26.53,27.21,26.97,30.01,30.01
149,27.63,26.54,27.62,27.02,27.93,26.67,28.29,27.02,29.95,29.95
15,28.19,27.17,27.38,26.56,28.27,26.97,27.38,26.56,30.46,30.46
150,27.81,26.4,26.83,26.77,28.09,27.12,26.83,26.77,29.96,29.96
