fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1151.99 ± 126.52,252.91 ± 19.51,4.31 ± 0.22,-8033.23 ± 371.41,719.15 ± 25.42,-57.40 ± 1.39,12102.47 ± 1225.93,29.67 ± 1.45,14210.49 ± 29808.67
BA_fee,1350.75 ± 142.44,299.89 ± 22.34,4.27 ± 0.21,-8033.08 ± 375.95,719.21 ± 25.42,-57.40 ± 1.41,11463.63 ± 1249.35,25.12 ± 1.82,13846.35 ± 28955.35
DA_fee,1398.18 ± 144.08,312.67 ± 23.61,4.25 ± 0.20,-8060.04 ± 384.55,719.36 ± 25.46,-57.58 ± 1.38,10532.35 ± 1341.87,22.46 ± 2.41,16427.87 ± 31893.59
FX_fee,1392.82 ± 143.59,310.15 ± 23.68,4.26 ± 0.20,-8028.77 ± 379.41,719.21 ± 25.47,-57.37 ± 1.39,10844.31 ± 769.73,23.24 ± 0.19,15343.19 ± 30542.94
IMPROVED_AMM_fee,1151.99 ± 126.52,252.91 ± 19.51,4.31 ± 0.22,-8033.23 ± 371.41,719.15 ± 25.42,-57.40 ± 1.39,12102.47 ± 1225.93,29.67 ± 1.45,14210.49 ± 29808.67
IMPROVED_BA_fee,1350.75 ± 142.44,299.89 ± 22.34,4.27 ± 0.21,-8033.08 ± 375.95,719.21 ± 25.42,-57.40 ± 1.41,11463.63 ± 1249.35,25.12 ± 1.82,13846.35 ± 28955.35
IMPROVED_DA_fee,1398.18 ± 144.08,312.67 ± 23.61,4.25 ± 0.20,-8060.04 ± 384.55,719.36 ± 25.46,-57.58 ± 1.38,10532.35 ± 1341.87,22.46 ± 2.41,16427.87 ± 31893.59
IMPROVED_FX_fee,1392.82 ± 143.59,310.15 ± 23.68,4.26 ± 0.20,-8028.77 ± 379.41,719.21 ± 25.47,-57.37 ± 1.39,10844.31 ± 769.73,23.24 ± 0.19,15343.19 ± 30542.94
IMPROVED_OB_fee,1010.79 ± 127.95,224.97 ± 22.27,4.26 ± 0.23,-8038.10 ± 369.24,719.18 ± 25.62,-57.44 ± 1.37,12527.71 ± 1046.49,33.21 ± 0.29,14337.32 ± 30291.24
OB_fee,1010.79 ± 127.95,224.97 ± 22.27,4.26 ± 0.23,-8038.10 ± 369.24,719.18 ± 25.62,-57.44 ± 1.37,12527.71 ± 1046.49,33.21 ± 0.29,14337.32 ± 30291.24
