random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
0,27.87,25.1,27.99,26.45,28.51,25.86,28.45,26.45,30.56,30.56
1,27.22,26.86,26.19,26.25,27.62,27.18,27.8,26.25,29.93,29.93
10,27.44,25.38,26.93,26.59,27.29,25.53,26.94,26.59,30.04,30.04
100,28.13,25.47,25.18,26.13,28.32,26.52,27.26,26.13,30.44,30.44
101,28.29,25.88,26.17,26.41,28.37,26.18,28.14,26.41,30.41,30.41
102,28.08,26.39,26.5,26.47,28.15,27.0,26.5,26.47,30.22,30.22
103,26.76,26.13,25.76,26.21,27.19,26.58,25.78,26.21,30.36,30.36
104,27.79,26.13,26.41,26.29,28.15,26.76,26.41,26.29,30.35,30.35
105,28.28,27.51,24.81,26.59,28.62,27.79,26.02,26.59,30.37,30.37
106,28.12,26.25,26.14,26.28,28.38,26.62,26.29,26.28,30.42,30.42
107,28.33,26.35,26.54,26.23,28.4,26.47,26.54,26.23,30.38,30.38
108,27.63,26.34,25.62,26.34,27.92,26.17,25.62,26.34,30.17,30.17
109,28.12,24.83,26.17,26.09,27.99,24.96,26.18,26.09,30.4,30.4
11,28.34,26.51,25.83,26.34,28.27,26.62,25.83,26.34,30.38,30.38
110,27.91,26.06,26.56,26.45,28.05,26.69,27.81,26.45,30.15,30.15
111,27.11,26.76,26.83,26.3,27.24,26.62,26.83,26.3,30.22,30.22
112,28.14,26.99,25.73,26.26,28.26,27.24,25.73,26.26,30.07,30.07
113,27.56,25.77,26.95,26.42,27.84,25.93,27.21,26.42,30.02,30.02
114,27.09,26.0,26.72,26.53,27.45,26.08,26.72,26.53,30.14,30.14
115,27.41,26.69,26.31,26.68,27.48,26.86,26.31,26.68,30.16,30.16
116,29.08,26.29,27.35,26.25,29.13,26.46,27.35,26.25,30.54,30.54
117,28.76,27.15,26.52,26.37,29.27,27.25,28.84,26.37,30.08,30.08
118,27.73,27.07,27.53,26.24,28.42,27.35,27.53,26.24,30.37,30.37
119,27.88,25.7,26.57,26.38,28.11,25.98,26.57,26.38,30.09,30.09
12,27.79,26.26,28.26,26.5,27.86,26.75,29.61,26.5,30.16,30.16
120,27.37,26.17,26.48,26.41,27.7,26.65,26.48,26.41,29.95,29.95
121,27.96,26.97,25.89,26.49,28.13,27.15,26.76,26.49,29.84,29.84
122,27.95,25.72,26.63,26.45,28.02,25.91,26.63,26.45,30.23,30.23
123,28.55,26.25,28.16,26.32,28.72,26.45,28.78,26.32,30.16,30.16
124,27.23,26.77,26.59,26.51,27.46,26.46,26.59,26.51,29.93,29.93
125,27.51,26.94,25.42,26.23,27.73,27.03,26.05,26.23,30.46,30.46
126,27.87,26.59,26.09,26.42,28.03,26.91,26.09,26.42,30.02,30.02
127,28.56,26.67,26.35,26.24,28.32,26.91,28.53,26.24,30.15,30.15
128,27.45,26.9,26.05,26.31,27.97,27.36,26.05,26.31,30.14,30.14
129,27.64,25.68,27.22,26.37,28.12,25.89,27.23,26.37,29.99,29.99
13,27.36,25.83,26.15,26.34,27.79,26.4,26.15,26.34,30.36,30.36
130,28.55,27.41,26.47,26.31,28.77,27.23,26.47,26.31,30.36,30.36
131,27.97,26.8,26.91,26.26,28.11,26.89,26.91,26.26,30.23,30.23
132,27.13,25.75,25.94,26.22,27.5,25.86,25.94,26.22,30.17,30.17
133,28.37,28.02,27.09,26.44,28.76,28.5,27.1,26.44,30.29,30.29
134,27.39,27.14,25.47,26.44,27.78,27.52,26.6,26.44,30.36,30.36
135,27.51,27.04,26.22,26.43,28.07,27.03,28.4,26.43,29.89,29.89
136,27.89,26.38,27.36,26.38,28.42,26.84,27.64,26.38,30.56,30.56
137,28.31,27.38,27.06,26.31,28.72,27.73,27.07,26.31,30.43,30.43
138,27.59,26.04,26.72,26.48,27.64,26.03,27.7,26.48,29.94,29.94
139,27.43,25.89,26.82,26.3,27.71,26.16,28.43,26.3,30.28,30.28
14,27.49,26.09,26.23,26.27,27.87,26.44,26.23,26.27,30.48,30.48
140,27.55,26.27,27.03,26.42,27.93,26.22,27.03,26.42,30.14,30.14
141,27.44,26.15,26.88,26.38,28.1,26.54,26.88,26.38,30.4,30.4
142,27.71,26.05,26.56,26.54,28.14,26.61,26.56,26.54,29.87,29.87
143,27.5,25.38,26.42,26.31,27.38,25.91,26.42,26.31,30.05,30.05
144,27.68,26.64,25.79,26.49,27.87,27.06,25.79,26.49,30.36,30.36
145,27.1,26.28,26.19,26.33,27.33,26.36,26.19,26.33,30.27,30.27
146,27.4,26.74,25.7,26.45,27.88,27.0,25.7,26.45,30.23,30.23
147,27.86,25.51,26.41,26.36,28.15,25.68,26.41,26.36,30.26,30.26
148,27.08,25.73,26.94,26.47,27.11,25.87,27.08,26.47,29.77,29.77
149,27.71,26.26,27.36,26.43,27.86,26.32,29.08,26.43,30.05,30.05
15,28.06,27.45,25.78,26.33,28.39,27.6,25.78,26.33,30.49,30.49
150,28.29,25.71,26.19,26.28,28.51,26.3,26.19,26.28,30.42,30.42
151,27.58,25.89,27.67,26.21,27.97,26.26,29.99,26.21,30.38,30.38
152,28.89,26.62,25.59,26.24,29.06,26.12,25.6,26.24,30.53,30.53
153,27.44,25.77,26.71,26.29,27.51,25.89,26.71,26.29,30.36,30.36
154,28.12,25.27,27.01,26.51,28.34,25.93,28.09,26.51,30.09,30.09
155,27.7,26.16,27.46,26.47,28.1,26.47,29.58,26.47,30.26,30.26
156,28.06,26.18,26.69,26.42,28.6,26.84,28.44,26.42,30.3,30.3
157,27.23,27.2,26.47,26.56,27.53,27.17,26.47,26.56,30.11,30.11
158,27.88,26.59,26.12,26.17,28.17,27.31,27.65,26.17,30.27,30.27
159,29.05,27.24,27.34,26.17,29.4,27.43,27.34,26.17,30.43,30.43
16,27.32,26.03,26.77,26.55,27.8,26.18,26.79,26.55,29.97,29.97
160,27.8,26.93,28.09,26.42,28.48,26.75,28.72,26.42,30.32,30.32
161,27.66,26.32,26.14,26.5,28.04,26.52,26.14,26.5,30.12,30.12
162,28.07,26.36,26.44,26.26,28.72,26.91,28.23,26.26,30.66,30.66
163,27.31,25.82,26.59,26.45,27.42,26.08,26.59,26.45,30.16,30.16
164,27.0,25.94,26.07,26.38,27.29,26.0,28.13,26.38,30.2,30.2
165,27.53,26.01,26.57,26.33,27.78,25.91,26.57,26.33,30.41,30.41
166,27.7,26.77,28.4,26.49,28.06,27.56,30.41,26.49,30.39,30.39
167,29.32,26.94,25.12,26.24,29.45,26.81,25.12,26.24,30.55,30.55
168,28.64,27.19,26.63,26.36,28.6,27.72,26.63,26.36,30.6,30.6
169,27.24,25.95,26.84,26.61,27.29,26.29,26.84,26.61,30.24,30.24
17,29.27,27.2,26.64,26.47,29.26,27.6,27.99,26.47,30.38,30.38
170,28.64,27.28,26.43,26.22,28.97,27.47,28.01,26.22,30.34,30.34
171,27.57,27.95,24.83,26.17,28.49,28.2,24.84,26.17,30.41,30.41
172,27.98,26.95,25.58,26.35,28.32,26.64,25.59,26.35,30.31,30.31
173,27.95,25.34,27.43,26.39,28.02,25.33,27.78,26.39,30.09,30.09
174,27.65,25.48,27.48,26.3,27.79,25.71,27.65,26.3,30.49,30.49
175,27.83,27.0,25.73,26.44,27.94,27.49,25.73,26.44,30.32,30.32
176,28.33,24.92,27.68,26.29,28.32,25.39,29.8,26.29,30.35,30.35
177,27.25,26.78,26.09,26.54,27.74,27.27,26.09,26.54,30.16,30.16
178,26.92,26.3,26.85,26.43,27.42,26.75,26.85,26.43,30.53,30.53
179,27.9,25.96,27.34,26.23,28.28,25.9,29.44,26.23,30.49,30.49
18,28.23,26.83,26.43,26.51,28.49,27.19,28.3,26.51,30.47,30.47
180,28.22,26.35,27.07,26.36,28.28,26.05,28.92,26.36,30.52,30.52
181,28.18,27.03,26.35,26.54,28.13,27.15,26.35,26.54,30.3,30.3
182,28.22,26.21,26.49,26.33,28.36,27.03,26.49,26.33,30.03,30.03
183,29.8,25.59,26.17,26.07,29.97,26.03,26.17,26.07,30.54,30.54
184,28.1,26.94,27.51,26.36,28.5,26.22,27.83,26.36,30.25,30.25
185,27.78,26.46,25.88,26.29,28.16,26.63,27.5,26.29,30.0,30.0
186,27.86,25.79,26.12,26.38,28.21,26.36,26.15,26.38,30.18,30.18
187,27.92,26.34,26.25,26.38,28.14,26.83,27.74,26.38,29.95,29.95
188,27.41,26.56,26.95,26.53,27.93,26.59,26.95,26.53,29.98,29.98
189,28.65,26.58,26.83,26.24,28.82,26.67,26.83,26.24,30.36,30.36
19,27.8,25.82,26.3,26.24,28.37,26.41,26.3,26.24,30.03,30.03
190,27.64,25.4,25.64,26.25,28.12,25.89,25.68,26.25,30.37,30.37
191,28.87,27.03,26.74,26.44,29.54,27.39,26.74,26.44,30.38,30.38
192,28.91,27.72,25.2,26.36,28.94,27.84,25.2,26.36,30.42,30.42
193,27.97,26.28,26.92,26.36,28.35,26.89,28.3,26.36,30.37,30.37
194,27.92,27.08,26.58,26.6,28.0,27.1,26.61,26.6,30.16,30.16
195,28.4,26.4,25.28,26.29,28.72,26.66,26.93,26.29,30.43,30.43
196,28.92,28.04,25.51,26.26,29.35,28.32,25.52,26.26,30.38,30.38
197,28.79,25.78,27.03,26.24,29.09,26.08,28.24,26.24,30.72,30.72
198,27.94,26.83,25.79,26.47,27.97,27.67,25.79,26.47,30.26,30.26
199,28.31,26.36,27.93,26.26,28.55,26.34,27.95,26.26,30.07,30.07
2,29.71,27.69,27.19,26.4,30.22,28.21,28.63,26.4,30.67,30.67
20,28.36,25.47,26.43,26.21,28.83,25.93,26.43,26.21,30.43,30.43
200,27.97,26.88,27.34,26.29,28.25,27.29,27.34,26.29,30.39,30.39
201,28.12,25.36,26.42,26.26,27.95,25.49,26.43,26.26,30.22,30.22
202,27.45,26.39,25.66,26.47,27.81,27.29,27.46,26.47,30.04,30.04
203,27.09,27.06,26.03,26.6,27.48,27.25,26.04,26.6,30.16,30.16
204,28.17,26.27,26.18,26.14,28.34,25.33,26.18,26.14,30.42,30.42
205,29.24,26.93,25.6,26.36,29.51,27.51,27.71,26.36,30.37,30.37
206,27.18,26.09,26.46,26.43,27.64,26.18,26.46,26.43,30.32,30.32
207,29.11,26.27,26.02,26.28,29.03,26.43,26.02,26.28,30.51,30.51
208,28.5,27.23,27.24,26.46,28.46,27.53,27.28,26.46,30.42,30.42
209,28.55,28.01,25.28,26.18,29.14,28.47,27.37,26.18,30.55,30.55
21,28.1,28.3,28.38,26.49,28.25,29.24,30.36,26.49,29.82,29.82
210,27.58,25.45,26.34,26.52,27.78,25.96,26.35,26.52,30.1,30.1
211,28.43,26.23,25.77,26.37,28.72,26.52,25.77,26.37,30.41,30.41
212,27.54,25.69,27.28,26.34,27.62,26.39,28.94,26.34,30.26,30.26
213,28.67,26.25,25.99,26.33,28.99,26.53,25.99,26.33,30.25,30.25
214,27.83,26.06,26.63,26.2,27.93,26.69,27.97,26.2,30.33,30.33
215,27.88,26.76,26.49,26.36,27.91,26.75,26.49,26.36,30.21,30.21
216,28.68,25.94,27.72,26.21,28.76,25.87,27.67,26.21,30.46,30.46
217,27.35,26.39,25.42,26.1,27.99,26.84,27.1,26.1,30.16,30.16
218,27.77,25.61,26.15,26.35,27.92,25.91,26.15,26.35,30.48,30.48
219,28.02,25.53,26.4,26.11,28.59,25.91,26.4,26.11,30.68,30.68
22,28.04,25.97,27.09,26.49,28.3,26.22,27.12,26.49,30.4,30.4
220,27.92,25.37,27.66,26.27,27.99,26.27,29.04,26.27,30.52,30.52
221,27.63,26.09,27.0,26.37,27.85,26.54,28.76,26.37,30.61,30.61
222,28.38,26.71,27.14,26.37,28.63,26.83,28.58,26.37,30.24,30.24
223,28.86,25.36,26.63,26.29,29.24,25.92,26.63,26.29,30.48,30.48
224,27.98,26.45,24.99,26.3,28.25,26.74,26.44,26.3,30.47,30.47
225,27.89,25.89,27.21,26.27,28.68,26.31,28.19,26.27,30.42,30.42
226,27.67,26.83,25.94,26.35,28.17,26.9,25.94,26.35,30.33,30.33
227,28.46,26.56,26.48,26.28,28.75,27.17,26.48,26.28,30.21,30.21
228,27.54,26.21,26.61,26.48,27.88,26.22,26.62,26.48,30.2,30.2
229,26.78,25.76,26.71,26.45,27.06,26.13,26.71,26.45,30.18,30.18
23,28.74,27.42,25.47,26.41,29.19,27.54,25.47,26.41,30.48,30.48
230,28.37,27.11,27.28,26.24,28.57,27.51,27.28,26.24,30.39,30.39
