fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,7685.85 ± 815.26,708.76 ± 35.12,7.99 ± 0.23,-8292.27 ± 533.65,719.13 ± 25.24,-56.11 ± 2.26,30122.58 ± 3647.65,27.11 ± 1.17,7034.71 ± 70272.84
BA_fee,9043.50 ± 958.33,828.83 ± 39.51,8.02 ± 0.22,-8290.29 ± 532.43,719.38 ± 25.31,-56.07 ± 2.27,26283.73 ± 3159.66,20.60 ± 1.12,8397.14 ± 68859.81
DA_fee,9360.80 ± 1005.99,853.82 ± 42.77,8.05 ± 0.22,-8306.75 ± 523.43,719.17 ± 25.19,-56.21 ± 2.33,25388.79 ± 3011.41,19.36 ± 1.21,10400.89 ± 72382.37
FX_fee,9343.66 ± 998.64,852.75 ± 41.84,8.05 ± 0.22,-8288.18 ± 528.20,719.14 ± 25.21,-56.08 ± 2.28,25430.47 ± 2712.44,19.41 ± 0.26,9680.59 ± 70858.50
IMPROVED_AMM_fee,7685.85 ± 815.26,708.76 ± 35.12,7.99 ± 0.23,-8292.27 ± 533.65,719.13 ± 25.24,-56.11 ± 2.26,30122.58 ± 3647.65,27.11 ± 1.17,7034.71 ± 70272.84
IMPROVED_BA_fee,9043.50 ± 958.33,828.83 ± 39.51,8.02 ± 0.22,-8290.29 ± 532.43,719.38 ± 25.31,-56.07 ± 2.27,26283.73 ± 3159.66,20.60 ± 1.12,8397.14 ± 68859.81
IMPROVED_DA_fee,9360.80 ± 1005.99,853.82 ± 42.77,8.05 ± 0.22,-8306.75 ± 523.43,719.17 ± 25.19,-56.21 ± 2.33,25388.79 ± 3011.41,19.36 ± 1.21,10400.89 ± 72382.37
IMPROVED_FX_fee,9342.29 ± 998.33,852.75 ± 41.84,8.05 ± 0.22,-8288.18 ± 528.20,719.14 ± 25.21,-56.08 ± 2.28,25431.84 ± 2712.53,19.41 ± 0.26,9679.18 ± 70858.36
IMPROVED_OB_fee,6868.65 ± 785.14,626.13 ± 37.92,8.05 ± 0.25,-8296.36 ± 529.20,719.17 ± 25.52,-56.13 ± 2.22,32627.14 ± 3504.80,32.57 ± 0.28,5861.13 ± 70675.32
OB_fee,6868.65 ± 785.14,626.13 ± 37.92,8.05 ± 0.25,-8296.36 ± 529.20,719.17 ± 25.52,-56.13 ± 2.22,32627.14 ± 3504.80,32.57 ± 0.28,5861.13 ± 70675.32
