fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,83.48 ± 15.29,51.43 ± 7.87,1.80 ± 0.19,-8184.89 ± 287.21,723.19 ± 24.81,-56.96 ± 0.87,5364.10 ± 374.27,28.19 ± 1.13,-4334.71 ± 1913.21
BA_fee,92.46 ± 20.35,59.46 ± 9.96,1.72 ± 0.20,-8176.22 ± 289.03,723.36 ± 24.96,-56.89 ± 0.93,5301.76 ± 354.87,26.88 ± 1.11,-4386.22 ± 1779.49
DA_fee,88.61 ± 19.72,58.24 ± 10.25,1.69 ± 0.19,-8186.97 ± 295.59,723.11 ± 24.58,-56.99 ± 0.88,5255.90 ± 311.79,26.84 ± 1.11,-3997.07 ± 2503.48
FX_fee,90.48 ± 18.27,58.35 ± 10.18,1.72 ± 0.18,-8179.70 ± 284.08,723.33 ± 24.17,-56.92 ± 0.91,5287.17 ± 259.06,26.95 ± 0.20,-4205.34 ± 2127.88
IMPROVED_AMM_fee,83.48 ± 15.29,51.43 ± 7.87,1.80 ± 0.19,-8184.89 ± 287.21,723.19 ± 24.81,-56.96 ± 0.87,5364.10 ± 374.27,28.19 ± 1.13,-4334.71 ± 1913.21
IMPROVED_BA_fee,92.46 ± 20.35,59.46 ± 9.96,1.72 ± 0.20,-8176.22 ± 289.03,723.36 ± 24.96,-56.89 ± 0.93,5301.76 ± 354.87,26.88 ± 1.11,-4386.22 ± 1779.49
IMPROVED_DA_fee,88.61 ± 19.72,58.24 ± 10.25,1.69 ± 0.19,-8186.97 ± 295.59,723.11 ± 24.58,-56.99 ± 0.88,5255.90 ± 311.79,26.84 ± 1.11,-3997.07 ± 2503.48
IMPROVED_FX_fee,90.48 ± 18.27,58.35 ± 10.18,1.72 ± 0.18,-8179.70 ± 284.08,723.33 ± 24.17,-56.92 ± 0.91,5287.17 ± 259.06,26.95 ± 0.20,-4205.34 ± 2127.88
IMPROVED_OB_fee,64.27 ± 17.24,41.76 ± 9.14,1.71 ± 0.24,-8185.16 ± 289.34,723.58 ± 24.69,-56.93 ± 0.84,5503.26 ± 318.37,30.34 ± 0.46,-4370.63 ± 2031.58
OB_fee,64.27 ± 17.24,41.76 ± 9.14,1.71 ± 0.24,-8185.16 ± 289.34,723.58 ± 24.69,-56.93 ± 0.84,5503.26 ± 318.37,30.34 ± 0.46,-4370.63 ± 2031.58
