fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,88.24 ± 16.09,52.67 ± 7.42,1.84 ± 0.20,-8184.67 ± 299.93,723.94 ± 25.15,-56.93 ± 0.90,5414.78 ± 362.40,28.26 ± 1.21,-4252.80 ± 2112.63
BA_fee,96.04 ± 18.09,60.57 ± 9.34,1.76 ± 0.19,-8173.76 ± 293.59,723.26 ± 24.64,-56.91 ± 0.91,5334.77 ± 334.28,26.91 ± 1.11,-4284.54 ± 2034.96
DA_fee,91.72 ± 18.96,60.33 ± 9.97,1.69 ± 0.18,-8178.86 ± 299.50,723.20 ± 24.47,-56.96 ± 0.94,5289.49 ± 314.96,26.76 ± 1.05,-3890.55 ± 2734.84
FX_fee,93.34 ± 18.21,60.26 ± 9.83,1.72 ± 0.17,-8171.32 ± 300.85,723.27 ± 24.86,-56.89 ± 0.93,5323.32 ± 254.51,26.92 ± 0.20,-4085.61 ± 2420.94
IMPROVED_AMM_fee,88.24 ± 16.09,52.67 ± 7.42,1.84 ± 0.20,-8184.67 ± 299.93,723.94 ± 25.15,-56.93 ± 0.90,5414.78 ± 362.40,28.26 ± 1.21,-4252.80 ± 2112.63
IMPROVED_BA_fee,96.04 ± 18.09,60.57 ± 9.34,1.76 ± 0.19,-8173.76 ± 293.59,723.26 ± 24.64,-56.91 ± 0.91,5334.77 ± 334.28,26.91 ± 1.11,-4284.54 ± 2034.96
IMPROVED_DA_fee,91.72 ± 18.96,60.33 ± 9.97,1.69 ± 0.18,-8178.86 ± 299.50,723.20 ± 24.47,-56.96 ± 0.94,5289.49 ± 314.96,26.76 ± 1.05,-3890.55 ± 2734.84
IMPROVED_FX_fee,93.34 ± 18.21,60.26 ± 9.83,1.72 ± 0.17,-8171.32 ± 300.85,723.27 ± 24.86,-56.89 ± 0.93,5323.32 ± 254.51,26.92 ± 0.20,-4085.61 ± 2420.94
IMPROVED_OB_fee,66.98 ± 17.17,43.00 ± 9.55,1.73 ± 0.23,-8182.48 ± 291.17,723.83 ± 25.02,-56.93 ± 0.82,5546.77 ± 324.51,30.39 ± 0.46,-4275.92 ± 2274.96
OB_fee,66.98 ± 17.17,43.00 ± 9.55,1.73 ± 0.23,-8182.48 ± 291.17,723.83 ± 25.02,-56.93 ± 0.82,5546.77 ± 324.51,30.39 ± 0.46,-4275.92 ± 2274.96
