fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1200.43 ± 150.61,235.88 ± 13.77,4.86 ± 0.52,-8078.06 ± 302.81,722.24 ± 24.17,-57.22 ± 1.00,1890.43 ± 231.11,4.89 ± 0.67,815.05 ± 5536.38
BA_fee,144.54 ± 24.75,79.31 ± 10.12,2.00 ± 0.20,-8100.65 ± 287.10,723.07 ± 24.35,-57.32 ± 0.92,5804.51 ± 436.35,27.19 ± 1.55,-1730.08 ± 4788.56
DA_fee,142.43 ± 24.45,79.70 ± 10.38,1.97 ± 0.22,-8109.00 ± 292.82,723.06 ± 24.31,-57.38 ± 1.00,5548.01 ± 475.36,25.97 ± 1.82,-761.64 ± 5996.71
FX_fee,143.76 ± 23.78,79.63 ± 10.28,1.99 ± 0.19,-8093.01 ± 280.25,723.02 ± 24.32,-57.28 ± 0.96,5651.54 ± 262.71,26.46 ± 0.19,-1172.38 ± 5403.62
IMPROVED_AMM_fee,21.86 ± 10.98,22.84 ± 5.21,0.34 ± 0.18,-8099.79 ± 344.27,722.59 ± 24.37,-57.36 ± 1.68,4542.15 ± 289.20,21.96 ± 1.72,-1733.52 ± 5449.08
IMPROVED_BA_fee,132.58 ± 29.53,74.63 ± 11.24,1.88 ± 0.26,-8101.83 ± 295.33,722.62 ± 24.30,-57.36 ± 0.97,5789.59 ± 422.86,27.41 ± 1.68,-1698.06 ± 4893.85
IMPROVED_DA_fee,295.80 ± 365.35,69.75 ± 16.90,4.79 ± 6.26,-8132.51 ± 306.96,723.40 ± 24.92,-57.53 ± 1.34,5520.79 ± 485.88,26.46 ± 1.33,-1472.96 ± 5040.29
IMPROVED_FX_fee,143.76 ± 23.78,79.63 ± 10.28,1.99 ± 0.19,-8093.01 ± 280.25,723.02 ± 24.32,-57.28 ± 0.96,5651.54 ± 262.71,26.46 ± 0.19,-1172.38 ± 5403.62
IMPROVED_OB_fee,104.95 ± 21.40,58.46 ± 10.86,1.98 ± 0.21,-8095.89 ± 290.14,723.20 ± 24.95,-57.28 ± 0.94,6021.94 ± 379.96,30.96 ± 0.47,-1529.71 ± 5220.64
OB_fee,104.95 ± 21.40,58.46 ± 10.86,1.98 ± 0.21,-8095.89 ± 290.14,723.20 ± 24.95,-57.28 ± 0.94,6021.94 ± 379.96,30.96 ± 0.47,-1529.71 ± 5220.64
