fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,558.33 ± 88.92,172.68 ± 9.00,3.30 ± 0.43,-8164.10 ± 302.83,722.87 ± 23.96,-56.96 ± 1.15,2831.29 ± 221.32,9.09 ± 0.78,-3085.04 ± 1783.34
BA_fee,69.65 ± 16.12,50.20 ± 8.67,1.55 ± 0.18,-8164.90 ± 295.27,723.11 ± 25.56,-56.94 ± 0.92,5074.56 ± 283.06,27.00 ± 0.97,-4396.39 ± 1434.82
DA_fee,64.16 ± 15.56,48.43 ± 9.10,1.49 ± 0.19,-8170.06 ± 292.34,723.12 ± 24.24,-56.98 ± 0.91,5049.31 ± 273.94,27.13 ± 0.94,-4108.24 ± 1940.49
FX_fee,67.28 ± 15.32,48.83 ± 8.88,1.55 ± 0.18,-8163.68 ± 289.70,723.04 ± 24.59,-56.94 ± 0.93,5074.27 ± 226.89,27.18 ± 0.19,-4265.48 ± 1694.41
IMPROVED_AMM_fee,558.33 ± 88.92,172.68 ± 9.00,3.30 ± 0.43,-8164.10 ± 302.83,722.87 ± 23.96,-56.96 ± 1.15,2831.29 ± 221.32,9.09 ± 0.78,-3085.04 ± 1783.34
IMPROVED_BA_fee,69.65 ± 16.12,50.20 ± 8.67,1.55 ± 0.18,-8164.90 ± 295.27,723.11 ± 25.56,-56.94 ± 0.92,5074.56 ± 283.06,27.00 ± 0.97,-4396.39 ± 1434.82
IMPROVED_DA_fee,64.16 ± 15.56,48.43 ± 9.10,1.49 ± 0.19,-8170.06 ± 292.34,723.12 ± 24.24,-56.98 ± 0.91,5049.31 ± 273.94,27.13 ± 0.94,-4108.24 ± 1940.49
IMPROVED_FX_fee,67.28 ± 15.32,48.83 ± 8.88,1.55 ± 0.18,-8163.68 ± 289.70,723.04 ± 24.59,-56.94 ± 0.93,5074.27 ± 226.89,27.18 ± 0.19,-4265.48 ± 1694.41
IMPROVED_OB_fee,47.60 ± 13.61,34.51 ± 8.38,1.55 ± 0.25,-8172.32 ± 288.65,723.72 ± 24.46,-56.94 ± 0.79,5245.74 ± 297.96,30.11 ± 0.48,-4395.28 ± 1565.96
OB_fee,47.60 ± 13.61,34.51 ± 8.38,1.55 ± 0.25,-8172.32 ± 288.65,723.72 ± 24.46,-56.94 ± 0.79,5245.74 ± 297.96,30.11 ± 0.48,-4395.28 ± 1565.96
