fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,585.15 ± 85.76,177.36 ± 10.11,3.36 ± 0.41,-8181.18 ± 294.33,722.85 ± 23.88,-56.81 ± 1.17,2809.16 ± 218.73,8.85 ± 0.80,-1719.12 ± 3092.14
BA_fee,76.89 ± 15.64,53.05 ± 8.07,1.62 ± 0.20,-8183.65 ± 291.30,723.33 ± 24.67,-56.80 ± 0.93,5231.49 ± 345.12,27.31 ± 1.24,-3390.17 ± 2503.76
DA_fee,70.10 ± 13.68,51.79 ± 8.19,1.52 ± 0.18,-8183.89 ± 296.79,722.96 ± 24.69,-56.83 ± 0.99,5102.73 ± 334.06,26.86 ± 1.40,-2740.21 ± 3386.18
FX_fee,73.36 ± 14.23,51.80 ± 8.46,1.59 ± 0.18,-8179.08 ± 287.98,723.04 ± 24.52,-56.79 ± 0.99,5156.88 ± 227.75,27.11 ± 0.18,-3021.27 ± 2932.24
IMPROVED_AMM_fee,7.69 ± 4.52,12.85 ± 3.72,0.19 ± 0.12,-8187.43 ± 370.56,723.04 ± 24.62,-56.85 ± 1.74,4341.30 ± 263.60,23.33 ± 1.50,-3344.56 ± 2866.35
IMPROVED_BA_fee,71.04 ± 16.10,50.59 ± 8.65,1.53 ± 0.23,-8181.30 ± 291.27,722.86 ± 24.43,-56.81 ± 0.96,5229.88 ± 338.26,27.46 ± 1.31,-3375.17 ± 2535.73
IMPROVED_DA_fee,135.16 ± 231.79,46.48 ± 10.92,3.18 ± 5.46,-8196.52 ± 313.97,722.57 ± 25.03,-56.95 ± 1.22,5090.27 ± 333.10,27.21 ± 1.04,-3127.74 ± 2818.14
IMPROVED_FX_fee,73.36 ± 14.23,51.80 ± 8.46,1.59 ± 0.18,-8179.08 ± 287.98,723.04 ± 24.52,-56.79 ± 0.99,5156.88 ± 227.75,27.11 ± 0.18,-3021.27 ± 2932.24
IMPROVED_OB_fee,53.51 ± 14.12,37.90 ± 8.63,1.59 ± 0.24,-8180.62 ± 296.12,722.84 ± 24.85,-56.81 ± 0.89,5377.94 ± 324.41,30.23 ± 0.48,-3256.30 ± 2753.51
OB_fee,53.51 ± 14.12,37.90 ± 8.63,1.59 ± 0.24,-8180.62 ± 296.12,722.84 ± 24.85,-56.81 ± 0.89,5377.94 ± 324.41,30.23 ± 0.48,-3256.30 ± 2753.51
