fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,90.73 ± 18.91,53.44 ± 8.51,1.86 ± 0.21,-8148.87 ± 311.38,723.09 ± 24.46,-56.82 ± 0.86,5471.00 ± 418.96,28.49 ± 1.35,-3026.42 ± 3776.00
BA_fee,96.77 ± 19.76,60.27 ± 10.06,1.78 ± 0.19,-8141.05 ± 298.54,722.92 ± 24.83,-56.78 ± 0.88,5367.22 ± 383.62,27.14 ± 1.37,-3036.98 ± 3750.20
DA_fee,93.89 ± 21.28,60.14 ± 10.85,1.73 ± 0.20,-8147.72 ± 294.99,723.03 ± 24.35,-56.82 ± 0.84,5233.18 ± 335.43,26.51 ± 1.17,-2427.47 ± 4523.35
FX_fee,95.46 ± 22.93,59.70 ± 10.72,1.76 ± 0.19,-8148.70 ± 288.88,723.15 ± 24.44,-56.82 ± 0.81,5308.18 ± 258.01,26.92 ± 0.23,-2723.89 ± 4227.10
IMPROVED_AMM_fee,90.73 ± 18.91,53.44 ± 8.51,1.86 ± 0.21,-8148.87 ± 311.38,723.09 ± 24.46,-56.82 ± 0.86,5471.00 ± 418.96,28.49 ± 1.35,-3026.42 ± 3776.00
IMPROVED_BA_fee,96.77 ± 19.76,60.27 ± 10.06,1.78 ± 0.19,-8141.05 ± 298.54,722.92 ± 24.83,-56.78 ± 0.88,5367.22 ± 383.62,27.14 ± 1.37,-3036.98 ± 3750.20
IMPROVED_DA_fee,93.89 ± 21.28,60.14 ± 10.85,1.73 ± 0.20,-8147.72 ± 294.99,723.03 ± 24.35,-56.82 ± 0.84,5233.18 ± 335.43,26.51 ± 1.17,-2427.47 ± 4523.35
IMPROVED_FX_fee,95.46 ± 22.93,59.70 ± 10.72,1.76 ± 0.19,-8148.70 ± 288.88,723.15 ± 24.44,-56.82 ± 0.81,5308.18 ± 258.01,26.92 ± 0.23,-2723.89 ± 4227.10
IMPROVED_OB_fee,67.17 ± 20.44,42.88 ± 11.41,1.73 ± 0.19,-8155.74 ± 290.48,722.88 ± 24.38,-56.89 ± 0.71,5555.19 ± 369.24,30.52 ± 0.47,-2907.47 ± 4045.31
OB_fee,67.17 ± 20.44,42.88 ± 11.41,1.73 ± 0.19,-8155.74 ± 290.48,722.88 ± 24.38,-56.89 ± 0.71,5555.19 ± 369.24,30.52 ± 0.47,-2907.47 ± 4045.31
