fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,113.92 ± 23.71,61.41 ± 9.55,2.01 ± 0.22,-8168.46 ± 299.62,723.39 ± 24.66,-56.76 ± 0.82,5687.85 ± 438.05,28.37 ± 1.23,-3910.07 ± 3271.30
BA_fee,125.81 ± 25.22,70.67 ± 11.34,1.94 ± 0.19,-8152.18 ± 294.05,723.10 ± 24.57,-56.68 ± 0.80,5566.53 ± 411.47,26.70 ± 1.22,-3916.68 ± 3223.79
DA_fee,122.82 ± 26.42,71.35 ± 11.36,1.88 ± 0.20,-8165.30 ± 296.61,722.88 ± 24.50,-56.78 ± 0.80,5535.60 ± 361.21,26.53 ± 1.18,-3526.92 ± 3972.04
FX_fee,123.14 ± 25.33,71.04 ± 12.00,1.90 ± 0.18,-8147.78 ± 290.96,722.89 ± 24.24,-56.67 ± 0.78,5561.31 ± 292.83,26.68 ± 0.22,-3704.52 ± 3621.51
IMPROVED_AMM_fee,113.92 ± 23.71,61.41 ± 9.55,2.01 ± 0.22,-8168.46 ± 299.62,723.39 ± 24.66,-56.76 ± 0.82,5687.85 ± 438.05,28.37 ± 1.23,-3910.07 ± 3271.30
IMPROVED_BA_fee,125.81 ± 25.22,70.67 ± 11.34,1.94 ± 0.19,-8152.18 ± 294.05,723.10 ± 24.57,-56.68 ± 0.80,5566.53 ± 411.47,26.70 ± 1.22,-3916.68 ± 3223.79
IMPROVED_DA_fee,122.82 ± 26.42,71.35 ± 11.36,1.88 ± 0.20,-8165.30 ± 296.61,722.88 ± 24.50,-56.78 ± 0.80,5535.60 ± 361.21,26.53 ± 1.18,-3526.92 ± 3972.04
IMPROVED_FX_fee,123.14 ± 25.33,71.04 ± 12.00,1.90 ± 0.18,-8147.78 ± 290.96,722.89 ± 24.24,-56.67 ± 0.78,5561.31 ± 292.83,26.68 ± 0.22,-3704.52 ± 3621.51
IMPROVED_OB_fee,86.46 ± 22.13,49.66 ± 11.64,1.91 ± 0.23,-8156.92 ± 295.92,722.76 ± 25.02,-56.74 ± 0.71,5815.49 ± 391.08,30.75 ± 0.45,-3860.29 ± 3548.43
OB_fee,86.46 ± 22.13,49.66 ± 11.64,1.91 ± 0.23,-8156.92 ± 295.92,722.76 ± 25.02,-56.74 ± 0.71,5815.49 ± 391.08,30.75 ± 0.45,-3860.29 ± 3548.43
