fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,141.61 ± 28.29,70.93 ± 10.82,2.14 ± 0.21,-8188.97 ± 311.26,722.93 ± 24.98,-56.62 ± 0.82,6032.37 ± 520.97,28.61 ± 1.28,-3558.00 ± 3936.83
BA_fee,160.13 ± 27.26,82.83 ± 12.63,2.09 ± 0.18,-8192.88 ± 291.02,723.38 ± 24.49,-56.61 ± 0.85,5890.25 ± 475.27,26.59 ± 1.33,-3568.95 ± 3821.20
DA_fee,158.92 ± 29.67,84.18 ± 12.96,2.04 ± 0.18,-8194.36 ± 308.50,722.91 ± 24.54,-56.66 ± 0.82,5872.84 ± 415.83,26.43 ± 1.46,-3146.12 ± 4769.69
FX_fee,159.43 ± 28.70,83.48 ± 12.59,2.06 ± 0.18,-8181.18 ± 308.07,722.73 ± 25.26,-56.58 ± 0.84,5859.89 ± 318.21,26.42 ± 0.21,-3295.28 ± 4298.83
IMPROVED_AMM_fee,141.61 ± 28.29,70.93 ± 10.82,2.14 ± 0.21,-8188.97 ± 311.26,722.93 ± 24.98,-56.62 ± 0.82,6032.37 ± 520.97,28.61 ± 1.28,-3558.00 ± 3936.83
IMPROVED_BA_fee,160.13 ± 27.26,82.83 ± 12.63,2.09 ± 0.18,-8192.88 ± 291.02,723.38 ± 24.49,-56.61 ± 0.85,5890.25 ± 475.27,26.59 ± 1.33,-3568.95 ± 3821.20
IMPROVED_DA_fee,158.92 ± 29.67,84.18 ± 12.96,2.04 ± 0.18,-8194.36 ± 308.50,722.91 ± 24.54,-56.66 ± 0.82,5872.84 ± 415.83,26.43 ± 1.46,-3146.12 ± 4769.69
IMPROVED_FX_fee,159.43 ± 28.70,83.48 ± 12.59,2.06 ± 0.18,-8181.18 ± 308.07,722.73 ± 25.26,-56.58 ± 0.84,5859.89 ± 318.21,26.42 ± 0.21,-3295.28 ± 4298.83
IMPROVED_OB_fee,112.47 ± 28.89,58.80 ± 12.36,2.06 ± 0.22,-8189.73 ± 295.83,722.93 ± 24.82,-56.63 ± 0.71,6177.77 ± 443.03,31.02 ± 0.45,-3517.59 ± 4244.80
OB_fee,112.47 ± 28.89,58.80 ± 12.36,2.06 ± 0.22,-8189.73 ± 295.83,722.93 ± 24.82,-56.63 ± 0.71,6177.77 ± 443.03,31.02 ± 0.45,-3517.59 ± 4244.80
