fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,111.22 ± 24.31,61.19 ± 9.97,1.97 ± 0.23,-8207.49 ± 306.51,723.27 ± 24.89,-56.59 ± 0.82,5768.16 ± 509.99,28.61 ± 1.32,-2857.73 ± 4014.68
BA_fee,121.03 ± 24.17,70.11 ± 11.22,1.88 ± 0.19,-8196.47 ± 295.08,723.67 ± 24.86,-56.49 ± 0.85,5644.07 ± 475.12,26.96 ± 1.35,-2848.79 ± 3992.04
DA_fee,120.75 ± 25.58,70.29 ± 11.69,1.87 ± 0.19,-8198.42 ± 300.81,723.15 ± 24.54,-56.54 ± 0.82,5569.26 ± 406.18,26.64 ± 1.61,-2277.68 ± 5030.92
FX_fee,120.75 ± 25.53,70.27 ± 12.03,1.87 ± 0.17,-8195.47 ± 302.17,723.19 ± 24.85,-56.52 ± 0.79,5586.15 ± 304.87,26.70 ± 0.22,-2514.64 ± 4498.97
IMPROVED_AMM_fee,111.22 ± 24.31,61.19 ± 9.97,1.97 ± 0.23,-8207.49 ± 306.51,723.27 ± 24.89,-56.59 ± 0.82,5768.16 ± 509.99,28.61 ± 1.32,-2857.73 ± 4014.68
IMPROVED_BA_fee,121.03 ± 24.17,70.11 ± 11.22,1.88 ± 0.19,-8196.47 ± 295.08,723.67 ± 24.86,-56.49 ± 0.85,5644.07 ± 475.12,26.96 ± 1.35,-2848.79 ± 3992.04
IMPROVED_DA_fee,120.75 ± 25.58,70.29 ± 11.69,1.87 ± 0.19,-8198.42 ± 300.81,723.15 ± 24.54,-56.54 ± 0.82,5569.26 ± 406.18,26.64 ± 1.61,-2277.68 ± 5030.92
IMPROVED_FX_fee,120.75 ± 25.53,70.27 ± 12.03,1.87 ± 0.17,-8195.47 ± 302.17,723.19 ± 24.85,-56.52 ± 0.79,5586.15 ± 304.87,26.70 ± 0.22,-2514.64 ± 4498.97
IMPROVED_OB_fee,87.22 ± 23.24,50.13 ± 10.72,1.89 ± 0.22,-8210.16 ± 296.41,723.37 ± 25.16,-56.60 ± 0.68,5872.34 ± 408.38,30.73 ± 0.48,-2752.79 ± 4443.34
OB_fee,87.22 ± 23.24,50.13 ± 10.72,1.89 ± 0.22,-8210.16 ± 296.41,723.37 ± 25.16,-56.60 ± 0.68,5872.34 ± 408.38,30.73 ± 0.48,-2752.79 ± 4443.34
