fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,2412.66 ± 202.16,274.27 ± 21.00,7.18 ± 0.42,-8058.93 ± 347.92,722.94 ± 25.23,-57.37 ± 1.18,13037.50 ± 1297.74,27.31 ± 1.76,8177.34 ± 30120.64
BA_fee,2961.79 ± 408.83,306.29 ± 31.67,7.70 ± 1.11,-8068.30 ± 314.07,723.30 ± 24.02,-57.42 ± 1.22,11840.13 ± 1146.71,22.49 ± 1.84,8095.57 ± 29205.29
DA_fee,2740.71 ± 438.48,334.26 ± 30.30,6.71 ± 0.98,-8066.69 ± 325.91,722.91 ± 24.69,-57.43 ± 1.06,11457.17 ± 1175.24,20.84 ± 1.66,9792.31 ± 31461.75
FX_fee,2027.27 ± 168.14,384.11 ± 24.86,4.85 ± 0.20,-8063.35 ± 323.76,722.80 ± 24.17,-57.41 ± 1.18,12606.58 ± 676.31,22.56 ± 0.18,8606.67 ± 30505.05
IMPROVED_AMM_fee,2412.66 ± 202.16,274.27 ± 21.00,7.18 ± 0.42,-8058.93 ± 347.92,722.94 ± 25.23,-57.37 ± 1.18,13037.50 ± 1297.74,27.31 ± 1.76,8177.34 ± 30120.64
IMPROVED_BA_fee,2961.79 ± 408.83,306.29 ± 31.67,7.70 ± 1.11,-8068.30 ± 314.07,723.30 ± 24.02,-57.42 ± 1.22,11840.13 ± 1146.71,22.49 ± 1.84,8095.57 ± 29205.29
IMPROVED_DA_fee,2740.71 ± 438.48,334.26 ± 30.30,6.71 ± 0.98,-8066.69 ± 325.91,722.91 ± 24.69,-57.43 ± 1.06,11457.17 ± 1175.24,20.84 ± 1.66,9792.31 ± 31461.75
IMPROVED_FX_fee,2027.27 ± 168.14,384.11 ± 24.86,4.85 ± 0.20,-8063.35 ± 323.76,722.80 ± 24.17,-57.41 ± 1.18,12606.58 ± 676.31,22.56 ± 0.18,8606.67 ± 30505.05
IMPROVED_OB_fee,1481.33 ± 154.13,277.10 ± 25.03,4.89 ± 0.23,-8063.95 ± 313.95,722.42 ± 24.51,-57.45 ± 1.00,14767.88 ± 1030.65,33.32 ± 0.27,7482.81 ± 30217.19
OB_fee,1481.33 ± 154.13,277.10 ± 25.03,4.89 ± 0.23,-8063.95 ± 313.95,722.42 ± 24.51,-57.45 ± 1.00,14767.88 ± 1030.65,33.32 ± 0.27,7482.81 ± 30217.19
