fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,6096.36 ± 627.36,100.61 ± 10.22,22.04 ± 0.66,-8120.94 ± 342.14,722.35 ± 24.90,-56.90 ± 1.61,-1512.28 ± 693.91,-3.54 ± 1.47,2656.50 ± 10196.77
BA_fee,1578.39 ± 262.99,134.12 ± 17.49,9.01 ± 1.37,-8140.58 ± 319.30,722.78 ± 24.70,-56.98 ± 1.08,7304.24 ± 901.41,22.91 ± 2.41,-2132.88 ± 9452.48
DA_fee,1394.46 ± 314.22,147.56 ± 20.93,7.50 ± 1.58,-8148.65 ± 324.13,722.70 ± 24.54,-57.05 ± 1.13,7390.74 ± 765.06,22.43 ± 1.74,-1600.21 ± 10809.71
FX_fee,815.29 ± 141.00,184.46 ± 19.64,4.16 ± 0.68,-8151.08 ± 307.40,723.29 ± 25.01,-57.02 ± 1.04,8229.20 ± 493.72,24.25 ± 0.34,-2195.37 ± 10313.89
IMPROVED_AMM_fee,120.99 ± 34.95,63.77 ± 9.90,0.71 ± 0.20,-8177.53 ± 341.56,722.90 ± 24.76,-57.24 ± 1.77,5851.00 ± 511.52,18.62 ± 1.72,-3527.79 ± 10368.14
IMPROVED_BA_fee,800.45 ± 195.21,131.16 ± 17.27,4.62 ± 0.96,-8160.60 ± 321.53,723.21 ± 24.87,-57.09 ± 1.09,8064.35 ± 870.18,25.55 ± 2.43,-2918.04 ± 9530.59
IMPROVED_DA_fee,1291.52 ± 323.25,146.22 ± 22.64,7.05 ± 2.05,-8152.79 ± 327.67,722.66 ± 24.57,-57.08 ± 1.15,7502.98 ± 720.42,22.87 ± 1.46,-1809.15 ± 10667.98
IMPROVED_FX_fee,815.29 ± 141.00,184.46 ± 19.64,4.16 ± 0.68,-8151.08 ± 307.40,723.29 ± 25.01,-57.02 ± 1.04,8229.20 ± 493.72,24.25 ± 0.34,-2195.37 ± 10313.89
IMPROVED_OB_fee,479.50 ± 69.07,143.83 ± 18.05,3.33 ± 0.25,-8158.09 ± 314.43,723.56 ± 25.19,-57.05 ± 0.94,9362.66 ± 714.59,32.60 ± 0.39,-2807.26 ± 10260.97
OB_fee,479.50 ± 69.07,143.83 ± 18.05,3.33 ± 0.25,-8158.09 ± 314.43,723.56 ± 25.19,-57.05 ± 0.94,9362.66 ± 714.59,32.60 ± 0.39,-2807.26 ± 10260.97
