fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,3143.11 ± 458.47,37.22 ± 5.91,26.15 ± 0.66,-8156.34 ± 350.01,723.14 ± 24.39,-56.85 ± 1.54,1107.68 ± 495.36,4.31 ± 2.06,2715.87 ± 8892.55
BA_fee,887.16 ± 252.33,60.50 ± 13.13,10.55 ± 2.38,-8183.15 ± 298.57,723.28 ± 23.50,-57.03 ± 1.19,5600.39 ± 698.39,24.65 ± 2.99,35.16 ± 8104.89
DA_fee,953.69 ± 263.13,56.52 ± 9.31,11.01 ± 2.13,-8168.21 ± 318.43,723.31 ± 24.65,-56.91 ± 1.04,5294.09 ± 514.24,23.10 ± 2.13,712.22 ± 8965.05
FX_fee,891.24 ± 153.28,53.56 ± 8.38,10.17 ± 0.64,-8166.72 ± 300.05,722.95 ± 24.45,-56.94 ± 1.07,5555.91 ± 284.85,24.06 ± 0.52,385.88 ± 8762.46
IMPROVED_AMM_fee,32.65 ± 15.06,29.73 ± 7.21,0.38 ± 0.17,-8170.35 ± 332.24,722.95 ± 24.53,-56.97 ± 1.83,4782.97 ± 335.97,20.85 ± 1.65,-570.15 ± 8411.83
IMPROVED_BA_fee,514.52 ± 208.67,59.60 ± 12.99,6.25 ± 2.50,-8186.53 ± 300.92,723.13 ± 23.67,-57.06 ± 1.24,5968.04 ± 687.22,26.38 ± 2.85,-302.04 ± 8178.09
IMPROVED_DA_fee,803.90 ± 187.85,56.50 ± 9.28,9.31 ± 1.34,-8168.47 ± 319.36,723.28 ± 24.69,-56.91 ± 1.04,5442.79 ± 449.58,23.75 ± 1.76,564.17 ± 8902.89
IMPROVED_FX_fee,891.24 ± 153.28,53.56 ± 8.38,10.17 ± 0.64,-8166.72 ± 300.05,722.95 ± 24.45,-56.94 ± 1.07,5555.91 ± 284.85,24.06 ± 0.52,385.88 ± 8762.46
IMPROVED_OB_fee,167.56 ± 34.27,76.75 ± 14.06,2.33 ± 0.21,-8177.81 ± 306.60,723.60 ± 25.89,-56.96 ± 0.98,6777.68 ± 471.69,31.43 ± 0.42,-264.18 ± 8528.55
OB_fee,167.56 ± 34.27,76.75 ± 14.06,2.33 ± 0.21,-8177.81 ± 306.60,723.60 ± 25.89,-56.96 ± 0.98,6777.68 ± 471.69,31.43 ± 0.42,-264.18 ± 8528.55
