fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,8751.38 ± 733.66,395.47 ± 34.58,13.25 ± 1.23,-8423.25 ± 355.39,723.11 ± 23.92,-55.84 ± 1.34,17410.69 ± 2864.68,21.33 ± 2.63,79171.63 ± 122846.08
BA_fee,10264.47 ± 946.78,396.48 ± 36.00,14.58 ± 1.45,-8385.19 ± 379.39,722.60 ± 24.86,-55.63 ± 1.51,14854.37 ± 3811.11,17.23 ± 3.80,79260.22 ± 120238.63
DA_fee,9528.02 ± 1177.43,438.05 ± 42.43,12.48 ± 1.49,-8389.52 ± 338.61,722.39 ± 24.11,-55.68 ± 1.39,14794.72 ± 2437.28,16.18 ± 2.56,82635.86 ± 127465.45
FX_fee,8216.21 ± 837.77,478.18 ± 72.42,10.52 ± 1.54,-8395.35 ± 340.83,722.98 ± 24.05,-55.66 ± 1.27,17321.91 ± 2132.56,18.39 ± 1.05,80131.82 ± 123397.10
IMPROVED_AMM_fee,8751.38 ± 733.66,395.47 ± 34.58,13.25 ± 1.23,-8423.25 ± 355.39,723.11 ± 23.92,-55.84 ± 1.34,17410.69 ± 2864.68,21.33 ± 2.63,79171.63 ± 122846.08
IMPROVED_BA_fee,10264.47 ± 946.78,396.48 ± 36.00,14.58 ± 1.45,-8385.19 ± 379.39,722.60 ± 24.86,-55.63 ± 1.51,14854.37 ± 3811.11,17.23 ± 3.80,79260.22 ± 120238.63
IMPROVED_DA_fee,9528.02 ± 1177.43,438.05 ± 42.43,12.48 ± 1.49,-8389.52 ± 338.61,722.39 ± 24.11,-55.68 ± 1.39,14794.72 ± 2437.28,16.18 ± 2.56,82635.86 ± 127465.45
IMPROVED_FX_fee,8216.21 ± 837.77,478.18 ± 72.42,10.52 ± 1.54,-8395.35 ± 340.83,722.98 ± 24.05,-55.66 ± 1.27,17321.91 ± 2132.56,18.39 ± 1.05,80131.82 ± 123397.10
IMPROVED_OB_fee,4123.54 ± 349.03,482.68 ± 28.93,6.70 ± 0.22,-8400.21 ± 343.38,723.02 ± 24.58,-55.69 ± 1.22,25453.08 ± 1678.61,33.21 ± 0.19,75709.01 ± 123773.15
OB_fee,4123.54 ± 349.03,482.68 ± 28.93,6.70 ± 0.22,-8400.21 ± 343.38,723.02 ± 24.58,-55.69 ± 1.22,25453.08 ± 1678.61,33.21 ± 0.19,75709.01 ± 123773.15
