fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,307.31 ± 53.72,133.09 ± 9.39,2.49 ± 0.37,-8118.70 ± 294.01,722.62 ± 24.91,-57.31 ± 1.13,3196.76 ± 202.96,12.08 ± 0.88,-2557.67 ± 1936.00
BA_fee,44.08 ± 10.81,37.69 ± 7.11,1.34 ± 0.17,-8104.77 ± 287.09,723.16 ± 24.46,-57.17 ± 0.96,4782.88 ± 273.80,27.41 ± 1.01,-3670.56 ± 1512.91
DA_fee,37.40 ± 9.53,35.06 ± 7.10,1.24 ± 0.17,-8112.19 ± 292.23,722.74 ± 24.71,-57.26 ± 0.97,4728.04 ± 275.25,27.51 ± 1.14,-3267.15 ± 2090.98
FX_fee,39.69 ± 9.26,35.69 ± 7.01,1.29 ± 0.19,-8099.30 ± 292.80,722.96 ± 24.85,-57.15 ± 0.95,4744.37 ± 200.37,27.49 ± 0.17,-3429.40 ± 1800.63
IMPROVED_AMM_fee,3.79 ± 3.42,8.46 ± 2.91,0.14 ± 0.14,-8139.71 ± 340.35,722.82 ± 23.95,-57.45 ± 1.64,4201.69 ± 228.52,24.87 ± 1.38,-3593.26 ± 1828.01
IMPROVED_BA_fee,40.96 ± 11.26,36.07 ± 7.39,1.28 ± 0.23,-8104.25 ± 287.77,723.06 ± 24.08,-57.17 ± 0.97,4780.36 ± 265.42,27.51 ± 1.05,-3667.97 ± 1527.63
IMPROVED_DA_fee,70.10 ± 150.81,32.27 ± 7.78,2.38 ± 4.88,-8134.19 ± 306.63,722.83 ± 25.12,-57.41 ± 1.12,4733.40 ± 263.79,27.78 ± 0.84,-3526.77 ± 1756.11
IMPROVED_FX_fee,39.69 ± 9.26,35.69 ± 7.01,1.29 ± 0.19,-8099.30 ± 292.80,722.96 ± 24.85,-57.15 ± 0.95,4744.37 ± 200.37,27.49 ± 0.17,-3429.40 ± 1800.63
IMPROVED_OB_fee,30.32 ± 10.29,26.30 ± 7.86,1.33 ± 0.24,-8119.47 ± 292.23,723.27 ± 24.84,-57.26 ± 0.84,4905.10 ± 279.60,29.79 ± 0.47,-3633.22 ± 1621.39
OB_fee,30.32 ± 10.29,26.30 ± 7.86,1.33 ± 0.24,-8119.47 ± 292.23,723.27 ± 24.84,-57.26 ± 0.84,4905.10 ± 279.60,29.79 ± 0.47,-3633.22 ± 1621.39
