fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,352.62 ± 58.36,142.91 ± 9.44,2.62 ± 0.37,-8168.42 ± 311.84,723.24 ± 23.86,-56.92 ± 1.12,3162.16 ± 212.18,11.39 ± 0.81,-3356.95 ± 1588.28
BA_fee,47.67 ± 12.91,39.34 ± 7.97,1.37 ± 0.21,-8161.45 ± 293.07,723.54 ± 25.13,-56.85 ± 0.99,4838.56 ± 266.73,27.17 ± 0.89,-4369.95 ± 1243.98
DA_fee,42.68 ± 11.32,37.06 ± 7.93,1.32 ± 0.19,-8163.28 ± 299.54,723.06 ± 24.54,-56.90 ± 1.04,4837.82 ± 253.14,27.52 ± 0.91,-4151.89 ± 1649.74
FX_fee,44.62 ± 13.17,37.58 ± 7.71,1.34 ± 0.20,-8162.82 ± 301.41,723.11 ± 25.05,-56.89 ± 1.02,4843.16 ± 211.24,27.46 ± 0.19,-4258.55 ± 1447.78
IMPROVED_AMM_fee,4.27 ± 2.79,9.23 ± 3.19,0.14 ± 0.10,-8173.12 ± 354.66,722.52 ± 24.22,-57.02 ± 1.70,4254.32 ± 226.52,24.50 ± 1.37,-4458.79 ± 1537.39
IMPROVED_BA_fee,44.75 ± 12.83,37.64 ± 7.93,1.32 ± 0.23,-8161.58 ± 292.65,723.39 ± 25.06,-56.86 ± 0.99,4832.58 ± 261.58,27.26 ± 0.95,-4374.50 ± 1242.42
IMPROVED_DA_fee,50.76 ± 69.85,36.41 ± 7.95,1.58 ± 1.95,-8167.10 ± 298.75,722.97 ± 24.55,-56.94 ± 1.08,4834.12 ± 246.42,27.58 ± 0.94,-4163.81 ± 1616.94
IMPROVED_FX_fee,44.62 ± 13.17,37.58 ± 7.71,1.34 ± 0.20,-8162.82 ± 301.41,723.11 ± 25.05,-56.89 ± 1.02,4843.16 ± 211.24,27.46 ± 0.19,-4258.55 ± 1447.78
IMPROVED_OB_fee,32.67 ± 11.81,26.65 ± 7.85,1.38 ± 0.25,-8169.79 ± 305.21,723.26 ± 24.29,-56.92 ± 0.89,4975.71 ± 283.55,29.80 ± 0.47,-4372.77 ± 1317.47
OB_fee,32.67 ± 11.81,26.65 ± 7.85,1.38 ± 0.25,-8169.79 ± 305.21,723.26 ± 24.29,-56.92 ± 0.89,4975.71 ± 283.55,29.80 ± 0.47,-4372.77 ± 1317.47
