fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,71.13 ± 15.14,46.21 ± 7.06,1.71 ± 0.21,-8179.65 ± 299.11,722.75 ± 25.04,-56.80 ± 0.90,5286.39 ± 384.16,28.46 ± 1.27,-3367.20 ± 2468.15
BA_fee,76.89 ± 15.64,53.05 ± 8.07,1.62 ± 0.20,-8183.65 ± 291.30,723.33 ± 24.67,-56.80 ± 0.93,5231.49 ± 345.12,27.31 ± 1.24,-3390.17 ± 2503.76
DA_fee,70.10 ± 13.68,51.79 ± 8.19,1.52 ± 0.18,-8183.89 ± 296.79,722.96 ± 24.69,-56.83 ± 0.99,5102.73 ± 334.06,26.86 ± 1.40,-2740.21 ± 3386.18
FX_fee,73.36 ± 14.23,51.80 ± 8.46,1.59 ± 0.18,-8179.08 ± 287.98,723.04 ± 24.52,-56.79 ± 0.99,5156.88 ± 227.75,27.11 ± 0.18,-3021.27 ± 2932.24
IMPROVED_AMM_fee,71.13 ± 15.14,46.21 ± 7.06,1.71 ± 0.21,-8179.65 ± 299.11,722.75 ± 25.04,-56.80 ± 0.90,5286.39 ± 384.16,28.46 ± 1.27,-3367.20 ± 2468.15
IMPROVED_BA_fee,76.89 ± 15.64,53.05 ± 8.07,1.62 ± 0.20,-8183.65 ± 291.30,723.33 ± 24.67,-56.80 ± 0.93,5231.49 ± 345.12,27.31 ± 1.24,-3390.17 ± 2503.76
IMPROVED_DA_fee,70.10 ± 13.68,51.79 ± 8.19,1.52 ± 0.18,-8183.89 ± 296.79,722.96 ± 24.69,-56.83 ± 0.99,5102.73 ± 334.06,26.86 ± 1.40,-2740.21 ± 3386.18
IMPROVED_FX_fee,73.36 ± 14.23,51.80 ± 8.46,1.59 ± 0.18,-8179.08 ± 287.98,723.04 ± 24.52,-56.79 ± 0.99,5156.88 ± 227.75,27.11 ± 0.18,-3021.27 ± 2932.24
IMPROVED_OB_fee,53.51 ± 14.12,37.90 ± 8.63,1.59 ± 0.24,-8180.62 ± 296.12,722.84 ± 24.85,-56.81 ± 0.89,5377.94 ± 324.41,30.23 ± 0.48,-3256.30 ± 2753.51
OB_fee,53.51 ± 14.12,37.90 ± 8.63,1.59 ± 0.24,-8180.62 ± 296.12,722.84 ± 24.85,-56.81 ± 0.89,5377.94 ± 324.41,30.23 ± 0.48,-3256.30 ± 2753.51
