fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,155.99 ± 29.04,76.56 ± 11.76,2.19 ± 0.19,-8134.03 ± 292.87,722.88 ± 24.49,-56.97 ± 0.84,6238.89 ± 550.88,29.16 ± 1.54,-164.32 ± 7636.54
BA_fee,173.87 ± 29.09,87.71 ± 11.84,2.14 ± 0.19,-8132.00 ± 301.47,723.04 ± 24.95,-56.94 ± 0.84,6115.80 ± 508.08,27.33 ± 1.80,-300.45 ± 7589.99
DA_fee,171.98 ± 29.12,89.30 ± 12.75,2.09 ± 0.18,-8124.10 ± 300.77,723.07 ± 24.28,-56.88 ± 0.84,5723.04 ± 433.87,25.44 ± 1.35,886.31 ± 8737.61
FX_fee,172.75 ± 29.85,88.44 ± 12.10,2.12 ± 0.17,-8121.86 ± 287.45,723.05 ± 24.14,-56.87 ± 0.79,5901.25 ± 286.29,26.31 ± 0.21,384.06 ± 8295.46
IMPROVED_AMM_fee,155.99 ± 29.04,76.56 ± 11.76,2.19 ± 0.19,-8134.03 ± 292.87,722.88 ± 24.49,-56.97 ± 0.84,6238.89 ± 550.88,29.16 ± 1.54,-164.32 ± 7636.54
IMPROVED_BA_fee,173.87 ± 29.09,87.71 ± 11.84,2.14 ± 0.19,-8132.00 ± 301.47,723.04 ± 24.95,-56.94 ± 0.84,6115.80 ± 508.08,27.33 ± 1.80,-300.45 ± 7589.99
IMPROVED_DA_fee,171.98 ± 29.12,89.30 ± 12.75,2.09 ± 0.18,-8124.10 ± 300.77,723.07 ± 24.28,-56.88 ± 0.84,5723.04 ± 433.87,25.44 ± 1.35,886.31 ± 8737.61
IMPROVED_FX_fee,172.75 ± 29.85,88.44 ± 12.10,2.12 ± 0.17,-8121.86 ± 287.45,723.05 ± 24.14,-56.87 ± 0.79,5901.25 ± 286.29,26.31 ± 0.21,384.06 ± 8295.46
IMPROVED_OB_fee,122.43 ± 29.63,63.89 ± 13.35,2.08 ± 0.22,-8125.74 ± 283.43,722.92 ± 24.52,-56.91 ± 0.82,6284.47 ± 434.47,31.17 ± 0.46,94.62 ± 8058.22
OB_fee,122.43 ± 29.63,63.89 ± 13.35,2.08 ± 0.22,-8125.74 ± 283.43,722.92 ± 24.52,-56.91 ± 0.82,6284.47 ± 434.47,31.17 ± 0.46,94.62 ± 8058.22
