fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,179.33 ± 31.26,81.55 ± 11.40,2.33 ± 0.22,-8181.27 ± 304.77,723.27 ± 24.32,-56.74 ± 0.84,6335.01 ± 527.81,28.65 ± 1.24,-3957.58 ± 4216.96
BA_fee,205.59 ± 38.03,96.49 ± 13.39,2.27 ± 0.21,-8177.83 ± 304.53,723.30 ± 24.44,-56.71 ± 0.84,6165.87 ± 489.40,26.28 ± 1.33,-3981.54 ± 4032.22
DA_fee,203.25 ± 36.83,97.97 ± 13.65,2.22 ± 0.19,-8177.75 ± 307.14,723.21 ± 24.72,-56.71 ± 0.86,6129.51 ± 435.80,26.03 ± 1.30,-3514.90 ± 4960.96
FX_fee,203.62 ± 36.11,97.46 ± 13.92,2.23 ± 0.19,-8174.44 ± 300.61,723.14 ± 24.82,-56.70 ± 0.86,6149.17 ± 342.22,26.15 ± 0.22,-3707.55 ± 4533.72
IMPROVED_AMM_fee,179.33 ± 31.26,81.55 ± 11.40,2.33 ± 0.22,-8181.27 ± 304.77,723.27 ± 24.32,-56.74 ± 0.84,6335.01 ± 527.81,28.65 ± 1.24,-3957.58 ± 4216.96
IMPROVED_BA_fee,205.59 ± 38.03,96.49 ± 13.39,2.27 ± 0.21,-8177.83 ± 304.53,723.30 ± 24.44,-56.71 ± 0.84,6165.87 ± 489.40,26.28 ± 1.33,-3981.54 ± 4032.22
IMPROVED_DA_fee,203.25 ± 36.83,97.97 ± 13.65,2.22 ± 0.19,-8177.75 ± 307.14,723.21 ± 24.72,-56.71 ± 0.86,6129.51 ± 435.80,26.03 ± 1.30,-3514.90 ± 4960.96
IMPROVED_FX_fee,203.62 ± 36.11,97.46 ± 13.92,2.23 ± 0.19,-8174.44 ± 300.61,723.14 ± 24.82,-56.70 ± 0.86,6149.17 ± 342.22,26.15 ± 0.22,-3707.55 ± 4533.72
IMPROVED_OB_fee,143.53 ± 33.87,68.60 ± 13.30,2.23 ± 0.22,-8179.45 ± 293.15,722.86 ± 25.24,-56.76 ± 0.69,6520.93 ± 478.73,31.30 ± 0.48,-3943.76 ± 4482.23
OB_fee,143.53 ± 33.87,68.60 ± 13.30,2.23 ± 0.22,-8179.45 ± 293.15,722.86 ± 25.24,-56.76 ± 0.69,6520.93 ± 478.73,31.30 ± 0.48,-3943.76 ± 4482.23
