fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,197.05 ± 33.79,85.49 ± 11.54,2.43 ± 0.24,-8175.77 ± 314.83,723.17 ± 24.61,-56.79 ± 0.86,6475.51 ± 539.37,28.77 ± 1.28,-3766.58 ± 4833.31
BA_fee,221.59 ± 35.84,101.53 ± 13.28,2.32 ± 0.17,-8171.18 ± 303.29,723.41 ± 25.30,-56.74 ± 0.82,6294.80 ± 489.61,26.30 ± 1.34,-3826.97 ± 4606.96
DA_fee,220.64 ± 38.07,104.10 ± 14.08,2.26 ± 0.21,-8170.97 ± 304.11,723.23 ± 24.70,-56.75 ± 0.88,6240.43 ± 462.36,25.86 ± 1.29,-3329.15 ± 5544.89
FX_fee,226.68 ± 38.92,102.94 ± 13.76,2.34 ± 0.20,-8159.89 ± 288.64,722.80 ± 24.19,-56.71 ± 0.81,6263.33 ± 339.94,26.03 ± 0.22,-3527.36 ± 5150.45
IMPROVED_AMM_fee,197.05 ± 33.79,85.49 ± 11.54,2.43 ± 0.24,-8175.77 ± 314.83,723.17 ± 24.61,-56.79 ± 0.86,6475.51 ± 539.37,28.77 ± 1.28,-3766.58 ± 4833.31
IMPROVED_BA_fee,221.59 ± 35.84,101.53 ± 13.28,2.32 ± 0.17,-8171.18 ± 303.29,723.41 ± 25.30,-56.74 ± 0.82,6294.80 ± 489.61,26.30 ± 1.34,-3826.97 ± 4606.96
IMPROVED_DA_fee,220.64 ± 38.07,104.10 ± 14.08,2.26 ± 0.21,-8170.97 ± 304.11,723.23 ± 24.70,-56.75 ± 0.88,6240.43 ± 462.36,25.86 ± 1.29,-3329.15 ± 5544.89
IMPROVED_FX_fee,226.68 ± 38.92,102.94 ± 13.76,2.34 ± 0.20,-8159.89 ± 288.64,722.80 ± 24.19,-56.71 ± 0.81,6263.33 ± 339.94,26.03 ± 0.22,-3527.36 ± 5150.45
IMPROVED_OB_fee,159.45 ± 34.67,72.15 ± 13.99,2.34 ± 0.22,-8166.96 ± 293.26,722.95 ± 24.57,-56.75 ± 0.75,6651.14 ± 489.06,31.38 ± 0.45,-3779.93 ± 5053.24
OB_fee,159.45 ± 34.67,72.15 ± 13.99,2.34 ± 0.22,-8166.96 ± 293.26,722.95 ± 24.57,-56.75 ± 0.75,6651.14 ± 489.06,31.38 ± 0.45,-3779.93 ± 5053.24
