fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,161.31 ± 31.62,77.69 ± 11.36,2.21 ± 0.22,-8215.66 ± 290.07,722.90 ± 24.58,-56.57 ± 0.76,6323.38 ± 599.28,28.95 ± 1.45,-1547.89 ± 6163.70
BA_fee,182.06 ± 30.55,89.91 ± 12.81,2.17 ± 0.19,-8204.94 ± 304.57,722.99 ± 24.72,-56.49 ± 0.87,6169.64 ± 571.95,26.89 ± 1.56,-1586.54 ± 6072.38
DA_fee,180.63 ± 32.68,91.18 ± 14.35,2.13 ± 0.19,-8221.69 ± 301.04,723.34 ± 24.56,-56.58 ± 0.87,5991.28 ± 501.84,26.05 ± 1.87,-734.40 ± 7392.47
FX_fee,180.90 ± 36.43,91.49 ± 13.93,2.12 ± 0.22,-8205.96 ± 302.09,723.27 ± 24.60,-56.48 ± 0.87,6056.78 ± 351.66,26.29 ± 0.23,-1073.47 ± 6779.25
IMPROVED_AMM_fee,161.31 ± 31.62,77.69 ± 11.36,2.21 ± 0.22,-8215.66 ± 290.07,722.90 ± 24.58,-56.57 ± 0.76,6323.38 ± 599.28,28.95 ± 1.45,-1547.89 ± 6163.70
IMPROVED_BA_fee,182.06 ± 30.55,89.91 ± 12.81,2.17 ± 0.19,-8204.94 ± 304.57,722.99 ± 24.72,-56.49 ± 0.87,6169.64 ± 571.95,26.89 ± 1.56,-1586.54 ± 6072.38
IMPROVED_DA_fee,180.63 ± 32.68,91.18 ± 14.35,2.13 ± 0.19,-8221.69 ± 301.04,723.34 ± 24.56,-56.58 ± 0.87,5991.28 ± 501.84,26.05 ± 1.87,-734.40 ± 7392.47
IMPROVED_FX_fee,180.90 ± 36.43,91.49 ± 13.93,2.12 ± 0.22,-8205.96 ± 302.09,723.27 ± 24.60,-56.48 ± 0.87,6056.78 ± 351.66,26.29 ± 0.23,-1073.47 ± 6779.25
IMPROVED_OB_fee,128.04 ± 30.14,65.10 ± 12.96,2.11 ± 0.22,-8206.68 ± 296.16,722.81 ± 24.75,-56.52 ± 0.67,6421.18 ± 485.19,31.18 ± 0.47,-1357.58 ± 6677.06
OB_fee,128.04 ± 30.14,65.10 ± 12.96,2.11 ± 0.22,-8206.68 ± 296.16,722.81 ± 24.75,-56.52 ± 0.67,6421.18 ± 485.19,31.18 ± 0.47,-1357.58 ± 6677.06
