fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,53.74 ± 9.26,57.66 ± 6.14,1.09 ± 0.16,-8189.80 ± 311.23,722.53 ± 24.60,-56.87 ± 1.07,3824.76 ± 195.08,19.78 ± 0.94,-4231.29 ± 331.17
BA_fee,12.90 ± 4.95,15.50 ± 5.03,0.98 ± 0.22,-8173.49 ± 301.56,723.54 ± 24.98,-56.67 ± 0.75,4293.37 ± 161.10,27.27 ± 0.39,-4477.24 ± 249.82
DA_fee,7.26 ± 3.95,10.26 ± 4.66,0.83 ± 0.27,-8171.90 ± 288.22,723.39 ± 24.48,-56.67 ± 0.72,4367.55 ± 175.73,28.57 ± 0.43,-4493.20 ± 327.61
FX_fee,9.43 ± 4.11,12.03 ± 4.53,0.93 ± 0.27,-8173.04 ± 292.46,723.29 ± 24.49,-56.68 ± 0.68,4344.63 ± 155.22,28.14 ± 0.12,-4496.12 ± 276.42
IMPROVED_AMM_fee,0.41 ± 0.59,2.34 ± 1.46,0.04 ± 0.07,-8198.08 ± 348.27,722.80 ± 24.08,-56.91 ± 1.61,4157.77 ± 206.10,27.12 ± 1.25,-4546.46 ± 381.29
IMPROVED_BA_fee,11.92 ± 4.82,14.59 ± 4.85,0.93 ± 0.26,-8178.21 ± 301.01,723.48 ± 24.59,-56.71 ± 0.84,4296.84 ± 161.96,27.34 ± 0.41,-4484.99 ± 257.14
IMPROVED_DA_fee,7.23 ± 3.94,10.22 ± 4.62,0.83 ± 0.27,-8175.02 ± 289.26,723.40 ± 24.48,-56.69 ± 0.72,4370.91 ± 176.89,28.60 ± 0.44,-4497.98 ± 324.90
IMPROVED_FX_fee,9.43 ± 4.11,12.03 ± 4.53,0.93 ± 0.27,-8173.04 ± 292.46,723.29 ± 24.49,-56.68 ± 0.68,4344.63 ± 155.22,28.14 ± 0.12,-4496.12 ± 276.42
IMPROVED_OB_fee,6.64 ± 4.08,8.51 ± 4.68,0.92 ± 0.35,-8182.66 ± 287.60,723.70 ± 24.82,-56.72 ± 0.64,4392.57 ± 173.36,29.00 ± 0.45,-4533.95 ± 258.17
OB_fee,6.64 ± 4.08,8.51 ± 4.68,0.92 ± 0.35,-8182.66 ± 287.60,723.70 ± 24.82,-56.72 ± 0.64,4392.57 ± 173.36,29.00 ± 0.45,-4533.95 ± 258.17
