fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,15.45 ± 5.04,15.74 ± 3.67,1.13 ± 0.25,-8172.51 ± 281.75,723.44 ± 24.88,-56.62 ± 0.63,4279.68 ± 160.65,27.10 ± 0.50,-4480.92 ± 246.09
BA_fee,12.21 ± 5.01,14.95 ± 4.81,0.95 ± 0.22,-8167.55 ± 289.27,723.01 ± 24.45,-56.61 ± 0.68,4286.91 ± 155.43,27.31 ± 0.41,-4456.36 ± 270.98
DA_fee,6.71 ± 4.52,9.84 ± 4.66,0.77 ± 0.26,-8174.24 ± 294.18,722.83 ± 24.52,-56.68 ± 0.73,4362.30 ± 179.53,28.60 ± 0.38,-4480.84 ± 378.05
FX_fee,9.56 ± 4.61,11.56 ± 4.56,0.95 ± 0.25,-8175.80 ± 288.24,723.50 ± 24.50,-56.63 ± 0.74,4339.95 ± 155.37,28.14 ± 0.13,-4476.32 ± 323.55
IMPROVED_AMM_fee,15.45 ± 5.04,15.74 ± 3.67,1.13 ± 0.25,-8172.51 ± 281.75,723.44 ± 24.88,-56.62 ± 0.63,4279.68 ± 160.65,27.10 ± 0.50,-4480.92 ± 246.09
IMPROVED_BA_fee,12.21 ± 5.01,14.95 ± 4.81,0.95 ± 0.22,-8167.55 ± 289.27,723.01 ± 24.45,-56.61 ± 0.68,4286.91 ± 155.43,27.31 ± 0.41,-4456.36 ± 270.98
IMPROVED_DA_fee,6.71 ± 4.52,9.84 ± 4.66,0.77 ± 0.26,-8174.24 ± 294.18,722.83 ± 24.52,-56.68 ± 0.73,4362.30 ± 179.53,28.60 ± 0.38,-4480.84 ± 378.05
IMPROVED_FX_fee,9.56 ± 4.61,11.56 ± 4.56,0.95 ± 0.25,-8175.80 ± 288.24,723.50 ± 24.50,-56.63 ± 0.74,4339.95 ± 155.37,28.14 ± 0.13,-4476.32 ± 323.55
IMPROVED_OB_fee,6.46 ± 4.28,8.14 ± 4.53,0.91 ± 0.41,-8179.77 ± 287.74,723.32 ± 24.19,-56.67 ± 0.65,4378.63 ± 172.20,28.95 ± 0.40,-4510.85 ± 299.78
OB_fee,6.46 ± 4.28,8.14 ± 4.53,0.91 ± 0.41,-8179.77 ± 287.74,723.32 ± 24.19,-56.67 ± 0.65,4378.63 ± 172.20,28.95 ± 0.40,-4510.85 ± 299.78
