fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,48.80 ± 8.55,54.17 ± 6.62,1.05 ± 0.14,-8172.87 ± 316.46,722.13 ± 24.28,-56.77 ± 1.21,3833.31 ± 198.90,20.15 ± 0.96,-4229.46 ± 309.65
BA_fee,12.20 ± 4.96,14.77 ± 4.31,0.96 ± 0.22,-8174.44 ± 295.65,723.74 ± 24.85,-56.64 ± 0.72,4283.48 ± 156.20,27.30 ± 0.37,-4472.02 ± 233.22
DA_fee,6.75 ± 3.89,9.81 ± 4.51,0.81 ± 0.33,-8173.12 ± 294.83,723.18 ± 24.72,-56.68 ± 0.70,4355.49 ± 178.22,28.57 ± 0.46,-4491.62 ± 303.89
FX_fee,9.43 ± 4.57,11.55 ± 4.65,0.98 ± 0.33,-8174.78 ± 299.06,723.59 ± 24.76,-56.66 ± 0.72,4337.85 ± 160.09,28.15 ± 0.13,-4496.55 ± 254.89
IMPROVED_AMM_fee,0.40 ± 0.53,2.30 ± 1.34,0.07 ± 0.21,-8199.99 ± 353.99,722.66 ± 24.01,-56.92 ± 1.61,4160.06 ± 203.49,27.16 ± 1.28,-4574.67 ± 335.48
IMPROVED_BA_fee,10.87 ± 4.89,13.91 ± 4.15,0.87 ± 0.25,-8178.14 ± 294.14,723.64 ± 24.54,-56.68 ± 0.81,4288.21 ± 158.36,27.38 ± 0.41,-4480.83 ± 248.01
IMPROVED_DA_fee,6.74 ± 3.90,9.80 ± 4.52,0.81 ± 0.33,-8176.07 ± 295.55,723.18 ± 24.71,-56.70 ± 0.71,4358.55 ± 179.18,28.59 ± 0.47,-4496.06 ± 299.86
IMPROVED_FX_fee,9.43 ± 4.57,11.55 ± 4.65,0.98 ± 0.33,-8174.78 ± 299.06,723.59 ± 24.76,-56.66 ± 0.72,4337.85 ± 160.09,28.15 ± 0.13,-4496.55 ± 254.89
IMPROVED_OB_fee,6.67 ± 4.06,8.17 ± 4.41,0.94 ± 0.35,-8188.43 ± 291.44,723.57 ± 24.60,-56.75 ± 0.67,4383.27 ± 176.55,28.98 ± 0.44,-4533.73 ± 240.81
OB_fee,6.67 ± 4.06,8.17 ± 4.41,0.94 ± 0.35,-8188.43 ± 291.44,723.57 ± 24.60,-56.75 ± 0.67,4383.27 ± 176.55,28.98 ± 0.44,-4533.73 ± 240.81
