fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,73.03 ± 12.73,68.18 ± 5.97,1.23 ± 0.17,-8181.52 ± 322.39,723.36 ± 24.16,-56.74 ± 1.15,3753.12 ± 203.21,18.47 ± 0.90,-4141.12 ± 399.41
BA_fee,15.10 ± 5.51,18.02 ± 5.22,0.98 ± 0.22,-8179.77 ± 277.28,723.91 ± 24.46,-56.69 ± 0.78,4363.53 ± 169.05,27.33 ± 0.47,-4495.46 ± 260.12
DA_fee,9.38 ± 4.94,12.84 ± 4.73,0.83 ± 0.25,-8181.74 ± 282.59,723.29 ± 24.72,-56.75 ± 0.76,4402.95 ± 188.25,28.40 ± 0.52,-4438.60 ± 432.86
FX_fee,11.75 ± 4.98,14.81 ± 4.77,0.93 ± 0.23,-8186.14 ± 281.05,723.42 ± 24.66,-56.77 ± 0.81,4399.63 ± 157.63,28.06 ± 0.13,-4474.27 ± 342.50
IMPROVED_AMM_fee,0.53 ± 0.76,2.81 ± 1.38,0.05 ± 0.06,-8205.17 ± 339.33,723.27 ± 24.05,-56.93 ± 1.53,4167.82 ± 205.66,26.90 ± 1.19,-4541.61 ± 441.00
IMPROVED_BA_fee,13.85 ± 5.03,17.13 ± 4.96,0.93 ± 0.24,-8181.28 ± 278.88,723.56 ± 24.21,-56.73 ± 0.83,4363.76 ± 170.21,27.40 ± 0.49,-4498.94 ± 261.04
IMPROVED_DA_fee,9.24 ± 4.98,12.68 ± 4.76,0.83 ± 0.26,-8182.63 ± 286.50,723.23 ± 24.79,-56.76 ± 0.78,4404.30 ± 194.83,28.44 ± 0.56,-4437.27 ± 448.85
IMPROVED_FX_fee,11.75 ± 4.98,14.81 ± 4.77,0.93 ± 0.23,-8186.14 ± 281.05,723.42 ± 24.66,-56.77 ± 0.81,4399.63 ± 157.63,28.06 ± 0.13,-4474.27 ± 342.50
IMPROVED_OB_fee,7.55 ± 4.35,9.56 ± 4.37,0.91 ± 0.35,-8172.36 ± 286.26,723.35 ± 24.51,-56.68 ± 0.66,4423.31 ± 185.04,29.04 ± 0.41,-4489.31 ± 332.07
OB_fee,7.55 ± 4.35,9.56 ± 4.37,0.91 ± 0.35,-8172.36 ± 286.26,723.35 ± 24.51,-56.68 ± 0.66,4423.31 ± 185.04,29.04 ± 0.41,-4489.31 ± 332.07
