fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,37.98 ± 7.37,45.35 ± 5.56,0.98 ± 0.14,-8155.84 ± 315.45,722.45 ± 23.89,-56.65 ± 1.13,3865.56 ± 195.57,21.18 ± 0.90,-4274.84 ± 233.89
BA_fee,10.17 ± 4.52,13.00 ± 4.07,0.91 ± 0.27,-8172.94 ± 286.40,723.29 ± 24.65,-56.70 ± 0.70,4245.66 ± 152.84,27.36 ± 0.31,-4480.26 ± 173.42
DA_fee,5.05 ± 3.33,7.38 ± 3.77,0.79 ± 0.33,-8174.61 ± 293.84,723.21 ± 25.19,-56.72 ± 0.72,4301.43 ± 172.51,28.61 ± 0.39,-4479.06 ± 228.74
FX_fee,7.07 ± 3.89,8.99 ± 3.72,0.94 ± 0.39,-8163.64 ± 283.40,723.07 ± 24.47,-56.65 ± 0.74,4281.96 ± 148.62,28.22 ± 0.11,-4480.10 ± 185.01
IMPROVED_AMM_fee,0.31 ± 0.50,1.76 ± 1.15,0.04 ± 0.07,-8213.03 ± 339.06,722.69 ± 23.71,-57.03 ± 1.45,4150.69 ± 200.88,27.47 ± 1.20,-4524.05 ± 306.69
IMPROVED_BA_fee,9.20 ± 4.05,12.18 ± 3.69,0.86 ± 0.26,-8175.99 ± 291.39,723.26 ± 24.56,-56.73 ± 0.79,4249.03 ± 155.84,27.44 ± 0.35,-4482.49 ± 186.23
IMPROVED_DA_fee,5.02 ± 3.34,7.35 ± 3.76,0.79 ± 0.33,-8176.92 ± 295.74,723.18 ± 25.19,-56.74 ± 0.75,4304.69 ± 174.78,28.64 ± 0.42,-4482.42 ± 230.51
IMPROVED_FX_fee,7.07 ± 3.89,8.99 ± 3.72,0.94 ± 0.39,-8163.64 ± 283.40,723.07 ± 24.47,-56.65 ± 0.74,4281.96 ± 148.62,28.22 ± 0.11,-4480.10 ± 185.01
IMPROVED_OB_fee,4.64 ± 3.19,6.04 ± 3.53,0.91 ± 0.45,-8178.27 ± 296.49,723.48 ± 24.81,-56.72 ± 0.63,4313.11 ± 170.15,28.89 ± 0.41,-4501.57 ± 206.58
OB_fee,4.64 ± 3.19,6.04 ± 3.53,0.91 ± 0.45,-8178.27 ± 296.49,723.48 ± 24.81,-56.72 ± 0.63,4313.11 ± 170.15,28.89 ± 0.41,-4501.57 ± 206.58
