fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,34.09 ± 6.74,39.52 ± 5.08,1.01 ± 0.14,-8173.34 ± 316.84,723.09 ± 24.75,-56.67 ± 1.18,3906.58 ± 197.40,21.95 ± 0.93,-4280.73 ± 230.43
BA_fee,9.84 ± 3.92,11.75 ± 4.10,0.98 ± 0.28,-8173.41 ± 285.87,723.36 ± 24.52,-56.63 ± 0.74,4229.07 ± 151.05,27.40 ± 0.32,-4461.27 ± 170.80
DA_fee,4.30 ± 3.36,6.51 ± 3.53,0.73 ± 0.31,-8185.08 ± 294.82,723.01 ± 24.58,-56.74 ± 0.72,4294.67 ± 168.68,28.68 ± 0.29,-4484.11 ± 235.83
FX_fee,7.16 ± 3.63,8.05 ± 3.45,1.04 ± 0.35,-8166.39 ± 284.78,722.69 ± 24.09,-56.64 ± 0.73,4266.19 ± 151.19,28.24 ± 0.10,-4472.40 ± 189.07
IMPROVED_AMM_fee,0.17 ± 0.29,1.34 ± 0.98,0.03 ± 0.09,-8189.10 ± 332.55,722.17 ± 24.05,-56.84 ± 1.54,4143.05 ± 201.05,27.63 ± 1.17,-4493.15 ± 293.66
IMPROVED_BA_fee,9.02 ± 3.40,10.88 ± 3.50,0.95 ± 0.29,-8175.36 ± 290.93,723.53 ± 24.53,-56.63 ± 0.78,4230.80 ± 153.37,27.47 ± 0.33,-4465.21 ± 179.98
IMPROVED_DA_fee,4.27 ± 3.38,6.46 ± 3.55,0.73 ± 0.32,-8187.42 ± 296.95,722.94 ± 24.60,-56.76 ± 0.74,4298.26 ± 169.66,28.72 ± 0.31,-4489.59 ± 234.25
IMPROVED_FX_fee,7.16 ± 3.63,8.05 ± 3.45,1.04 ± 0.35,-8166.39 ± 284.78,722.69 ± 24.09,-56.64 ± 0.73,4266.19 ± 151.19,28.24 ± 0.10,-4472.40 ± 189.07
IMPROVED_OB_fee,4.51 ± 3.45,5.41 ± 3.40,0.95 ± 0.48,-8182.74 ± 295.68,723.61 ± 24.36,-56.67 ± 0.66,4297.00 ± 172.61,28.84 ± 0.42,-4491.67 ± 224.03
OB_fee,4.51 ± 3.45,5.41 ± 3.40,0.95 ± 0.48,-8182.74 ± 295.68,723.61 ± 24.36,-56.67 ± 0.66,4297.00 ± 172.61,28.84 ± 0.42,-4491.67 ± 224.03
