fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,761.73 ± 113.08,196.53 ± 10.48,3.84 ± 0.46,-8209.71 ± 309.01,723.15 ± 24.32,-56.96 ± 1.16,2578.82 ± 252.64,7.56 ± 0.84,-2793.97 ± 2567.81
BA_fee,89.69 ± 19.56,57.83 ± 10.11,1.72 ± 0.18,-8171.88 ± 307.64,722.82 ± 25.10,-56.72 ± 0.82,5263.30 ± 343.38,26.83 ± 1.01,-4348.63 ± 2084.40
DA_fee,85.85 ± 19.56,57.22 ± 10.47,1.67 ± 0.21,-8182.02 ± 295.52,722.95 ± 24.70,-56.78 ± 0.76,5265.68 ± 321.40,26.95 ± 1.06,-4018.49 ± 2712.20
FX_fee,85.27 ± 18.09,56.85 ± 9.82,1.67 ± 0.20,-8171.33 ± 303.02,722.91 ± 24.53,-56.70 ± 0.75,5266.78 ± 252.98,27.00 ± 0.19,-4161.20 ± 2416.01
IMPROVED_AMM_fee,10.35 ± 5.93,14.32 ± 3.96,0.24 ± 0.13,-8203.70 ± 346.11,722.65 ± 24.51,-56.95 ± 1.48,4406.92 ± 245.49,23.40 ± 1.59,-4354.30 ± 2566.30
IMPROVED_BA_fee,82.33 ± 17.92,54.72 ± 9.57,1.61 ± 0.22,-8179.54 ± 306.39,722.60 ± 25.15,-56.79 ± 0.84,5261.39 ± 334.88,26.97 ± 1.12,-4368.05 ± 2112.26
IMPROVED_DA_fee,103.60 ± 95.40,54.21 ± 11.91,2.21 ± 2.38,-8182.95 ± 307.98,722.70 ± 24.69,-56.80 ± 0.96,5236.56 ± 329.86,27.11 ± 1.02,-4075.67 ± 2504.67
IMPROVED_FX_fee,85.27 ± 18.09,56.85 ± 9.82,1.67 ± 0.20,-8171.33 ± 303.02,722.91 ± 24.53,-56.70 ± 0.75,5266.78 ± 252.98,27.00 ± 0.19,-4161.20 ± 2416.01
IMPROVED_OB_fee,60.36 ± 18.19,40.23 ± 10.55,1.67 ± 0.23,-8181.06 ± 301.83,723.48 ± 25.07,-56.72 ± 0.66,5476.68 ± 375.47,30.35 ± 0.49,-4303.91 ± 2358.33
OB_fee,60.36 ± 18.19,40.23 ± 10.55,1.67 ± 0.23,-8181.06 ± 301.83,723.48 ± 25.07,-56.72 ± 0.66,5476.68 ± 375.47,30.35 ± 0.49,-4303.91 ± 2358.33
