fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,15.58 ± 4.46,16.25 ± 4.02,1.12 ± 0.24,-8176.07 ± 284.65,723.77 ± 25.58,-56.67 ± 0.71,4282.64 ± 165.98,27.06 ± 0.47,-4493.46 ± 197.99
BA_fee,12.65 ± 5.07,15.47 ± 4.67,0.96 ± 0.23,-8177.43 ± 286.81,723.37 ± 24.81,-56.71 ± 0.75,4301.79 ± 161.87,27.34 ± 0.40,-4483.89 ± 217.29
DA_fee,7.41 ± 4.04,10.04 ± 4.08,0.87 ± 0.28,-8179.01 ± 275.29,723.08 ± 24.04,-56.74 ± 0.70,4351.89 ± 172.92,28.51 ± 0.47,-4452.07 ± 309.29
FX_fee,9.15 ± 3.98,11.63 ± 4.29,0.93 ± 0.25,-8169.00 ± 278.32,723.06 ± 24.43,-56.67 ± 0.75,4335.14 ± 152.09,28.15 ± 0.11,-4467.75 ± 248.68
IMPROVED_AMM_fee,15.58 ± 4.46,16.25 ± 4.02,1.12 ± 0.24,-8176.07 ± 284.65,723.77 ± 25.58,-56.67 ± 0.71,4282.64 ± 165.98,27.06 ± 0.47,-4493.46 ± 197.99
IMPROVED_BA_fee,12.65 ± 5.07,15.47 ± 4.67,0.96 ± 0.23,-8177.43 ± 286.81,723.37 ± 24.81,-56.71 ± 0.75,4301.79 ± 161.87,27.34 ± 0.40,-4483.89 ± 217.29
IMPROVED_DA_fee,7.41 ± 4.04,10.04 ± 4.08,0.87 ± 0.28,-8179.01 ± 275.29,723.08 ± 24.04,-56.74 ± 0.70,4351.89 ± 172.92,28.51 ± 0.47,-4452.07 ± 309.29
IMPROVED_FX_fee,9.15 ± 3.98,11.63 ± 4.29,0.93 ± 0.25,-8169.00 ± 278.32,723.06 ± 24.43,-56.67 ± 0.75,4335.14 ± 152.09,28.15 ± 0.11,-4467.75 ± 248.68
IMPROVED_OB_fee,6.36 ± 4.00,7.89 ± 4.01,0.90 ± 0.40,-8169.29 ± 293.39,723.14 ± 24.93,-56.67 ± 0.60,4362.72 ± 180.74,28.92 ± 0.44,-4492.39 ± 250.58
OB_fee,6.36 ± 4.00,7.89 ± 4.01,0.90 ± 0.40,-8169.29 ± 293.39,723.14 ± 24.93,-56.67 ± 0.60,4362.72 ± 180.74,28.92 ± 0.44,-4492.39 ± 250.58
