fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1756.70 ± 164.81,319.41 ± 20.30,4.97 ± 0.22,-8127.33 ± 325.43,723.40 ± 24.27,-57.09 ± 1.05,14497.95 ± 1150.28,29.22 ± 1.33,6863.93 ± 34194.50
BA_fee,2075.95 ± 172.77,380.72 ± 22.96,4.93 ± 0.19,-8120.04 ± 321.45,723.05 ± 24.51,-57.08 ± 0.98,13435.28 ± 948.06,23.90 ± 1.62,6780.13 ± 33271.35
DA_fee,2144.44 ± 194.94,397.75 ± 26.42,4.89 ± 0.21,-8124.58 ± 308.74,722.68 ± 23.81,-57.14 ± 1.15,12942.81 ± 1349.48,22.30 ± 2.00,8418.08 ± 36162.81
FX_fee,2130.42 ± 190.47,394.80 ± 24.97,4.89 ± 0.20,-8115.37 ± 320.26,723.31 ± 24.57,-57.02 ± 1.09,12997.01 ± 684.20,22.52 ± 0.17,7912.36 ± 34856.52
IMPROVED_AMM_fee,1756.70 ± 164.81,319.41 ± 20.30,4.97 ± 0.22,-8127.33 ± 325.43,723.40 ± 24.27,-57.09 ± 1.05,14497.95 ± 1150.28,29.22 ± 1.33,6863.93 ± 34194.50
IMPROVED_BA_fee,2075.95 ± 172.77,380.72 ± 22.96,4.93 ± 0.19,-8120.04 ± 321.45,723.05 ± 24.51,-57.08 ± 0.98,13435.28 ± 948.06,23.90 ± 1.62,6780.13 ± 33271.35
IMPROVED_DA_fee,2144.44 ± 194.94,397.75 ± 26.42,4.89 ± 0.21,-8124.58 ± 308.74,722.68 ± 23.81,-57.14 ± 1.15,12942.81 ± 1349.48,22.30 ± 2.00,8418.08 ± 36162.81
IMPROVED_FX_fee,2130.42 ± 190.47,394.80 ± 24.97,4.89 ± 0.20,-8115.37 ± 320.26,723.31 ± 24.57,-57.02 ± 1.09,12997.01 ± 684.20,22.52 ± 0.17,7912.36 ± 34856.52
IMPROVED_OB_fee,1558.11 ± 167.18,285.47 ± 25.23,4.94 ± 0.22,-8124.30 ± 315.45,722.93 ± 25.30,-57.11 ± 0.96,15280.61 ± 1089.67,33.38 ± 0.27,6705.35 ± 35057.59
OB_fee,1558.11 ± 167.18,285.47 ± 25.23,4.94 ± 0.22,-8124.30 ± 315.45,722.93 ± 25.30,-57.11 ± 0.96,15280.61 ± 1089.67,33.38 ± 0.27,6705.35 ± 35057.59
