fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,5112.75 ± 434.11,572.24 ± 28.28,7.00 ± 0.27,-8318.40 ± 359.70,723.65 ± 24.74,-56.33 ± 1.30,24613.44 ± 2257.32,28.01 ± 1.27,35171.07 ± 83156.00
BA_fee,5963.39 ± 472.87,675.60 ± 31.24,6.94 ± 0.23,-8282.61 ± 368.82,723.19 ± 24.34,-56.11 ± 1.26,22201.46 ± 2270.62,22.03 ± 1.38,35146.54 ± 81334.97
DA_fee,6165.65 ± 509.93,700.08 ± 32.05,6.93 ± 0.24,-8296.25 ± 341.28,722.95 ± 23.78,-56.24 ± 1.35,20493.88 ± 1278.75,19.80 ± 1.24,38946.37 ± 85616.12
FX_fee,6145.48 ± 495.77,697.27 ± 31.87,6.93 ± 0.24,-8296.30 ± 350.99,723.11 ± 24.19,-56.22 ± 1.29,21150.80 ± 1154.23,20.47 ± 0.20,37322.69 ± 83831.13
IMPROVED_AMM_fee,5112.75 ± 434.11,572.24 ± 28.28,7.00 ± 0.27,-8318.40 ± 359.70,723.65 ± 24.74,-56.33 ± 1.30,24613.44 ± 2257.32,28.01 ± 1.27,35171.07 ± 83156.00
IMPROVED_BA_fee,5963.39 ± 472.87,675.60 ± 31.24,6.94 ± 0.23,-8282.61 ± 368.82,723.19 ± 24.34,-56.11 ± 1.26,22201.46 ± 2270.62,22.03 ± 1.38,35146.54 ± 81334.97
IMPROVED_DA_fee,6165.65 ± 509.93,700.08 ± 32.05,6.93 ± 0.24,-8296.25 ± 341.28,722.95 ± 23.78,-56.24 ± 1.35,20493.88 ± 1278.75,19.80 ± 1.24,38946.37 ± 85616.12
IMPROVED_FX_fee,6145.48 ± 495.77,697.27 ± 31.87,6.93 ± 0.24,-8296.30 ± 350.99,723.11 ± 24.19,-56.22 ± 1.29,21150.80 ± 1154.23,20.47 ± 0.20,37322.69 ± 83831.13
IMPROVED_OB_fee,4487.75 ± 431.96,508.75 ± 32.49,6.93 ± 0.26,-8284.34 ± 353.04,722.79 ± 24.67,-56.16 ± 1.20,26329.84 ± 1816.44,33.13 ± 0.21,34555.21 ± 83491.73
OB_fee,4487.75 ± 431.96,508.75 ± 32.49,6.93 ± 0.26,-8284.34 ± 353.04,722.79 ± 24.67,-56.16 ± 1.20,26329.84 ± 1816.44,33.13 ± 0.21,34555.21 ± 83491.73
