fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,891.25 ± 100.17,214.96 ± 17.10,3.95 ± 0.23,-8182.08 ± 311.07,723.28 ± 24.42,-56.66 ± 0.94,10882.54 ± 975.46,29.38 ± 1.50,-2310.49 ± 14639.16
BA_fee,1044.47 ± 113.42,257.29 ± 20.16,3.88 ± 0.20,-8178.08 ± 318.01,722.51 ± 24.58,-56.69 ± 1.04,10193.27 ± 834.28,24.68 ± 1.40,-2313.04 ± 13973.73
DA_fee,1084.52 ± 116.24,268.63 ± 22.47,3.87 ± 0.20,-8195.69 ± 309.17,723.28 ± 24.94,-56.75 ± 0.93,9934.79 ± 773.72,23.41 ± 1.49,-1250.91 ± 15793.02
FX_fee,1079.10 ± 114.10,265.80 ± 22.11,3.88 ± 0.19,-8186.25 ± 303.03,723.11 ± 24.64,-56.71 ± 0.96,10037.50 ± 565.18,23.79 ± 0.18,-1720.76 ± 14934.70
IMPROVED_AMM_fee,891.25 ± 100.17,214.96 ± 17.10,3.95 ± 0.23,-8182.08 ± 311.07,723.28 ± 24.42,-56.66 ± 0.94,10882.54 ± 975.46,29.38 ± 1.50,-2310.49 ± 14639.16
IMPROVED_BA_fee,1044.47 ± 113.42,257.29 ± 20.16,3.88 ± 0.20,-8178.08 ± 318.01,722.51 ± 24.58,-56.69 ± 1.04,10193.27 ± 834.28,24.68 ± 1.40,-2313.04 ± 13973.73
IMPROVED_DA_fee,1084.52 ± 116.24,268.63 ± 22.47,3.87 ± 0.20,-8195.69 ± 309.17,723.28 ± 24.94,-56.75 ± 0.93,9934.79 ± 773.72,23.41 ± 1.49,-1250.91 ± 15793.02
IMPROVED_FX_fee,1079.10 ± 114.10,265.80 ± 22.11,3.88 ± 0.19,-8186.25 ± 303.03,723.11 ± 24.64,-56.71 ± 0.96,10037.50 ± 565.18,23.79 ± 0.18,-1720.76 ± 14934.70
IMPROVED_OB_fee,769.01 ± 103.00,190.92 ± 21.73,3.86 ± 0.22,-8181.43 ± 309.20,723.06 ± 24.67,-56.67 ± 0.81,11374.00 ± 887.80,33.09 ± 0.32,-2491.04 ± 14882.51
OB_fee,769.01 ± 103.00,190.92 ± 21.73,3.86 ± 0.22,-8181.43 ± 309.20,723.06 ± 24.67,-56.67 ± 0.81,11374.00 ± 887.80,33.09 ± 0.32,-2491.04 ± 14882.51
