fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,829.80 ± 91.74,207.70 ± 18.34,3.81 ± 0.21,-8263.23 ± 321.48,723.03 ± 25.68,-56.37 ± 0.80,10906.65 ± 1121.92,29.86 ± 1.61,11672.74 ± 26743.35
BA_fee,969.43 ± 113.55,245.83 ± 20.34,3.76 ± 0.17,-8246.75 ± 322.72,722.90 ± 24.82,-56.27 ± 0.97,10446.04 ± 1217.10,25.83 ± 1.94,11131.71 ± 25631.35
DA_fee,1002.84 ± 115.01,256.23 ± 22.51,3.74 ± 0.20,-8268.20 ± 314.61,723.29 ± 25.19,-56.40 ± 0.93,9432.94 ± 645.19,22.80 ± 1.40,13789.39 ± 28268.00
FX_fee,996.21 ± 111.25,254.60 ± 22.02,3.74 ± 0.19,-8257.49 ± 322.74,723.01 ± 25.08,-56.34 ± 0.88,9890.97 ± 586.83,23.98 ± 0.18,12664.79 ± 27291.97
IMPROVED_AMM_fee,829.80 ± 91.74,207.70 ± 18.34,3.81 ± 0.21,-8263.23 ± 321.48,723.03 ± 25.68,-56.37 ± 0.80,10906.65 ± 1121.92,29.86 ± 1.61,11672.74 ± 26743.35
IMPROVED_BA_fee,969.43 ± 113.55,245.83 ± 20.34,3.76 ± 0.17,-8246.75 ± 322.72,722.90 ± 24.82,-56.27 ± 0.97,10446.04 ± 1217.10,25.83 ± 1.94,11131.71 ± 25631.35
IMPROVED_DA_fee,1002.84 ± 115.01,256.23 ± 22.51,3.74 ± 0.20,-8268.20 ± 314.61,723.29 ± 25.19,-56.40 ± 0.93,9432.94 ± 645.19,22.80 ± 1.40,13789.39 ± 28268.00
IMPROVED_FX_fee,996.21 ± 111.25,254.60 ± 22.02,3.74 ± 0.19,-8257.49 ± 322.74,723.01 ± 25.08,-56.34 ± 0.88,9890.97 ± 586.83,23.98 ± 0.18,12664.79 ± 27291.97
IMPROVED_OB_fee,731.76 ± 111.34,183.45 ± 22.50,3.79 ± 0.22,-8257.78 ± 329.12,723.02 ± 25.34,-56.34 ± 0.84,11207.16 ± 944.10,33.03 ± 0.32,11758.40 ± 26887.89
OB_fee,731.76 ± 111.34,183.45 ± 22.50,3.79 ± 0.22,-8257.78 ± 329.12,723.02 ± 25.34,-56.34 ± 0.84,11207.16 ± 944.10,33.03 ± 0.32,11758.40 ± 26887.89
