fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,42.49 ± 7.60,49.99 ± 5.76,1.00 ± 0.13,-8171.47 ± 313.78,722.93 ± 24.53,-56.72 ± 1.18,3852.35 ± 200.34,20.64 ± 0.96,-4255.93 ± 242.46
BA_fee,11.24 ± 4.51,13.72 ± 4.15,0.96 ± 0.26,-8172.36 ± 273.96,723.32 ± 24.13,-56.69 ± 0.69,4264.14 ± 145.90,27.36 ± 0.35,-4476.81 ± 176.91
DA_fee,5.63 ± 3.35,8.43 ± 3.80,0.76 ± 0.27,-8180.78 ± 292.99,723.20 ± 25.24,-56.76 ± 0.70,4322.21 ± 173.85,28.58 ± 0.41,-4473.99 ± 246.31
FX_fee,8.33 ± 4.14,10.09 ± 3.76,0.96 ± 0.34,-8169.13 ± 283.40,723.14 ± 24.56,-56.68 ± 0.72,4304.59 ± 149.82,28.19 ± 0.11,-4481.48 ± 204.92
IMPROVED_AMM_fee,0.37 ± 0.62,1.92 ± 1.22,0.07 ± 0.20,-8192.75 ± 339.48,722.74 ± 24.09,-56.89 ± 1.49,4156.30 ± 203.91,27.47 ± 1.19,-4507.20 ± 324.05
IMPROVED_BA_fee,10.09 ± 4.04,12.81 ± 3.98,0.90 ± 0.26,-8171.99 ± 278.69,723.07 ± 24.20,-56.71 ± 0.76,4265.29 ± 147.00,27.44 ± 0.40,-4479.92 ± 189.56
IMPROVED_DA_fee,5.58 ± 3.37,8.38 ± 3.80,0.76 ± 0.28,-8182.61 ± 294.16,723.16 ± 25.26,-56.78 ± 0.71,4324.98 ± 175.30,28.61 ± 0.44,-4477.34 ± 247.85
IMPROVED_FX_fee,8.33 ± 4.14,10.09 ± 3.76,0.96 ± 0.34,-8169.13 ± 283.40,723.14 ± 24.56,-56.68 ± 0.72,4304.59 ± 149.82,28.19 ± 0.11,-4481.48 ± 204.92
IMPROVED_OB_fee,5.71 ± 4.32,6.78 ± 3.72,0.91 ± 0.37,-8183.21 ± 293.55,723.58 ± 24.48,-56.74 ± 0.65,4335.76 ± 173.73,28.91 ± 0.42,-4504.94 ± 223.20
OB_fee,5.71 ± 4.32,6.78 ± 3.72,0.91 ± 0.37,-8183.21 ± 293.55,723.58 ± 24.48,-56.74 ± 0.65,4335.76 ± 173.73,28.91 ± 0.42,-4504.94 ± 223.20
