fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,41.76 ± 8.97,48.95 ± 5.69,1.00 ± 0.16,-8142.10 ± 322.40,722.55 ± 24.76,-56.54 ± 1.24,3832.58 ± 205.64,20.64 ± 1.03,-4232.35 ± 254.49
BA_fee,10.39 ± 4.30,13.62 ± 4.35,0.90 ± 0.24,-8170.05 ± 279.25,723.18 ± 24.32,-56.69 ± 0.72,4261.15 ± 147.97,27.38 ± 0.35,-4473.63 ± 184.27
DA_fee,5.62 ± 3.23,8.20 ± 3.83,0.79 ± 0.30,-8172.71 ± 293.68,722.85 ± 24.73,-56.73 ± 0.70,4314.50 ± 172.02,28.58 ± 0.43,-4466.35 ± 246.38
FX_fee,7.66 ± 3.58,9.78 ± 3.88,0.93 ± 0.27,-8167.95 ± 278.97,723.31 ± 24.38,-56.66 ± 0.71,4298.94 ± 149.95,28.20 ± 0.11,-4474.94 ± 201.20
IMPROVED_AMM_fee,0.32 ± 0.58,1.82 ± 1.21,0.04 ± 0.07,-8195.69 ± 335.88,722.29 ± 24.19,-56.95 ± 1.52,4147.29 ± 197.34,27.41 ± 1.23,-4505.31 ± 311.29
IMPROVED_BA_fee,9.55 ± 4.05,12.70 ± 4.10,0.86 ± 0.25,-8170.61 ± 284.66,722.94 ± 24.23,-56.71 ± 0.80,4262.34 ± 150.12,27.45 ± 0.39,-4478.46 ± 194.57
IMPROVED_DA_fee,5.58 ± 3.25,8.16 ± 3.84,0.79 ± 0.30,-8174.69 ± 294.84,722.85 ± 24.73,-56.74 ± 0.71,4317.03 ± 173.23,28.60 ± 0.45,-4469.66 ± 247.61
IMPROVED_FX_fee,7.66 ± 3.58,9.78 ± 3.88,0.93 ± 0.27,-8167.95 ± 278.97,723.31 ± 24.38,-56.66 ± 0.71,4298.94 ± 149.95,28.20 ± 0.11,-4474.94 ± 201.20
IMPROVED_OB_fee,5.59 ± 3.93,6.66 ± 3.52,0.95 ± 0.44,-8176.19 ± 285.87,723.27 ± 24.23,-56.72 ± 0.59,4330.08 ± 165.76,28.90 ± 0.46,-4498.88 ± 210.51
OB_fee,5.59 ± 3.93,6.66 ± 3.52,0.95 ± 0.44,-8176.19 ± 285.87,723.27 ± 24.23,-56.72 ± 0.59,4330.08 ± 165.76,28.90 ± 0.46,-4498.88 ± 210.51
