fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,83.46 ± 18.67,50.38 ± 8.38,1.82 ± 0.23,-8174.12 ± 304.43,723.59 ± 25.10,-56.65 ± 0.74,5377.89 ± 394.71,28.28 ± 1.13,-4330.55 ± 2297.16
BA_fee,94.40 ± 17.28,58.75 ± 9.29,1.78 ± 0.17,-8169.52 ± 311.48,722.80 ± 25.28,-56.69 ± 0.80,5280.34 ± 336.61,26.77 ± 1.03,-4342.08 ± 2213.51
DA_fee,89.87 ± 21.64,58.23 ± 10.43,1.71 ± 0.21,-8174.54 ± 305.99,722.64 ± 24.82,-56.74 ± 0.80,5289.33 ± 326.01,26.93 ± 1.10,-4012.84 ± 2858.14
FX_fee,91.96 ± 18.98,58.52 ± 9.62,1.74 ± 0.19,-8172.46 ± 305.21,723.26 ± 24.73,-56.67 ± 0.79,5307.63 ± 247.95,26.95 ± 0.19,-4192.29 ± 2563.42
IMPROVED_AMM_fee,83.46 ± 18.67,50.38 ± 8.38,1.82 ± 0.23,-8174.12 ± 304.43,723.59 ± 25.10,-56.65 ± 0.74,5377.89 ± 394.71,28.28 ± 1.13,-4330.55 ± 2297.16
IMPROVED_BA_fee,94.40 ± 17.28,58.75 ± 9.29,1.78 ± 0.17,-8169.52 ± 311.48,722.80 ± 25.28,-56.69 ± 0.80,5280.34 ± 336.61,26.77 ± 1.03,-4342.08 ± 2213.51
IMPROVED_DA_fee,89.87 ± 21.64,58.23 ± 10.43,1.71 ± 0.21,-8174.54 ± 305.99,722.64 ± 24.82,-56.74 ± 0.80,5289.33 ± 326.01,26.93 ± 1.10,-4012.84 ± 2858.14
IMPROVED_FX_fee,91.96 ± 18.98,58.52 ± 9.62,1.74 ± 0.19,-8172.46 ± 305.21,723.26 ± 24.73,-56.67 ± 0.79,5307.63 ± 247.95,26.95 ± 0.19,-4192.29 ± 2563.42
IMPROVED_OB_fee,63.38 ± 19.09,41.51 ± 10.80,1.69 ± 0.20,-8176.86 ± 302.65,723.65 ± 24.90,-56.67 ± 0.69,5521.39 ± 382.20,30.38 ± 0.52,-4312.44 ± 2499.73
OB_fee,63.38 ± 19.09,41.51 ± 10.80,1.69 ± 0.20,-8176.86 ± 302.65,723.65 ± 24.90,-56.67 ± 0.69,5521.39 ± 382.20,30.38 ± 0.52,-4312.44 ± 2499.73
