fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,15.30 ± 5.10,15.50 ± 3.84,1.14 ± 0.25,-8172.12 ± 284.98,723.57 ± 25.25,-56.66 ± 0.71,4254.66 ± 159.27,27.00 ± 0.42,-4489.77 ± 175.17
BA_fee,11.57 ± 4.79,14.35 ± 4.41,0.94 ± 0.23,-8171.49 ± 279.17,723.00 ± 24.50,-56.70 ± 0.74,4274.88 ± 153.72,27.35 ± 0.37,-4479.84 ± 189.25
DA_fee,6.11 ± 3.52,8.87 ± 3.87,0.79 ± 0.27,-8183.31 ± 280.33,723.34 ± 24.39,-56.75 ± 0.69,4331.83 ± 169.38,28.56 ± 0.44,-4469.95 ± 263.34
FX_fee,8.27 ± 3.85,10.53 ± 3.88,0.92 ± 0.31,-8174.51 ± 283.18,723.35 ± 24.59,-56.69 ± 0.74,4314.76 ± 152.58,28.18 ± 0.11,-4478.50 ± 220.88
IMPROVED_AMM_fee,15.30 ± 5.10,15.50 ± 3.84,1.14 ± 0.25,-8172.12 ± 284.98,723.57 ± 25.25,-56.66 ± 0.71,4254.66 ± 159.27,27.00 ± 0.42,-4489.77 ± 175.17
IMPROVED_BA_fee,11.57 ± 4.79,14.35 ± 4.41,0.94 ± 0.23,-8171.49 ± 279.17,723.00 ± 24.50,-56.70 ± 0.74,4274.88 ± 153.72,27.35 ± 0.37,-4479.84 ± 189.25
IMPROVED_DA_fee,6.11 ± 3.52,8.87 ± 3.87,0.79 ± 0.27,-8183.31 ± 280.33,723.34 ± 24.39,-56.75 ± 0.69,4331.83 ± 169.38,28.56 ± 0.44,-4469.95 ± 263.34
IMPROVED_FX_fee,8.27 ± 3.85,10.53 ± 3.88,0.92 ± 0.31,-8174.51 ± 283.18,723.35 ± 24.59,-56.69 ± 0.74,4314.76 ± 152.58,28.18 ± 0.11,-4478.50 ± 220.88
IMPROVED_OB_fee,5.39 ± 3.86,7.11 ± 3.85,0.85 ± 0.43,-8180.38 ± 290.33,723.62 ± 24.53,-56.71 ± 0.66,4343.93 ± 175.50,28.91 ± 0.44,-4497.23 ± 227.80
OB_fee,5.39 ± 3.86,7.11 ± 3.85,0.85 ± 0.43,-8180.38 ± 290.33,723.62 ± 24.53,-56.71 ± 0.66,4343.93 ± 175.50,28.91 ± 0.44,-4497.23 ± 227.80
