time,price_A,price_B
2023-10-03 10:00:00,1659.53,27550.01
2023-10-03 10:05:00,1661.17,27594.33
2023-10-03 10:10:00,1661.0,27601.49
2023-10-03 10:15:00,1658.17,27560.03
2023-10-03 10:20:00,1658.1,27574.99
2023-10-03 10:25:00,1655.51,27577.33
2023-10-03 10:30:00,1657.99,27597.63
2023-10-03 10:35:00,1657.68,27593.87
2023-10-03 10:40:00,1658.88,27601.1
2023-10-03 10:45:00,1658.56,27603.77
2023-10-03 10:50:00,1657.03,27585.73
2023-10-03 10:55:00,1659.27,27613.13
2023-10-03 11:00:00,1659.67,27625.58
2023-10-03 11:05:00,1656.97,27611.31
2023-10-03 11:10:00,1656.59,27605.9
2023-10-03 11:15:00,1653.44,27534.0
2023-10-03 11:20:00,1655.26,27561.44
2023-10-03 11:25:00,1652.15,27520.01
2023-10-03 11:30:00,1651.25,27489.82
2023-10-03 11:35:00,1653.12,27500.3
2023-10-03 11:40:00,1653.6,27506.42
2023-10-03 11:45:00,1656.28,27558.35
2023-10-03 11:50:00,1655.34,27537.82
2023-10-03 11:55:00,1655.99,27551.59
2023-10-03 12:00:00,1656.34,27560.0
2023-10-03 12:05:00,1654.75,27515.17
2023-10-03 12:10:00,1653.47,27476.08
2023-10-03 12:15:00,1652.84,27485.07
2023-10-03 12:20:00,1651.74,27446.21
2023-10-03 12:25:00,1655.5,27481.14
2023-10-03 12:30:00,1656.0,27497.01
2023-10-03 12:35:00,1658.66,27519.69
2023-10-03 12:40:00,1657.89,27501.47
2023-10-03 12:45:00,1655.99,27475.91
2023-10-03 12:50:00,1657.61,27499.8
2023-10-03 12:55:00,1656.07,27472.14
2023-10-03 13:00:00,1656.24,27472.69
2023-10-03 13:05:00,1655.91,27446.42
2023-10-03 13:10:00,1655.76,27454.43
2023-10-03 13:15:00,1657.93,27489.04
2023-10-03 13:20:00,1659.77,27515.0
2023-10-03 13:25:00,1661.45,27530.69
2023-10-03 13:30:00,1660.95,27531.9
2023-10-03 13:35:00,1660.6,27519.55
2023-10-03 13:40:00,1660.66,27519.87
2023-10-03 13:45:00,1662.36,27554.38
2023-10-03 13:50:00,1662.69,27563.38
2023-10-03 13:55:00,1662.22,27579.7
2023-10-03 14:00:00,1660.99,27549.48
2023-10-03 14:05:00,1652.91,27386.63
2023-10-03 14:10:00,1653.36,27404.25
2023-10-03 14:15:00,1655.35,27431.66
2023-10-03 14:20:00,1650.43,27353.99
2023-10-03 14:25:00,1653.49,27390.01
2023-10-03 14:30:00,1650.47,27375.57
2023-10-03 14:35:00,1651.76,27432.21
2023-10-03 14:40:00,1650.73,27395.43
2023-10-03 14:45:00,1651.73,27400.0
2023-10-03 14:50:00,1647.63,27321.98
2023-10-03 14:55:00,1649.06,27362.92
2023-10-03 15:00:00,1648.49,27350.59
2023-10-03 15:05:00,1647.67,27335.63
2023-10-03 15:10:00,1646.14,27321.27
2023-10-03 15:15:00,1649.57,27365.66
2023-10-03 15:20:00,1651.52,27405.01
2023-10-03 15:25:00,1652.02,27414.97
2023-10-03 15:30:00,1651.0,27401.02
2023-10-03 15:35:00,1648.98,27348.13
2023-10-03 15:40:00,1648.19,27354.99
2023-10-03 15:45:00,1646.62,27325.62
2023-10-03 15:50:00,1646.09,27305.01
2023-10-03 15:55:00,1644.27,27259.98
2023-10-03 16:00:00,1648.45,27345.0
2023-10-03 16:05:00,1650.63,27395.0
2023-10-03 16:10:00,1647.34,27327.52
2023-10-03 16:15:00,1649.57,27360.88
2023-10-03 16:20:00,1650.64,27380.51
2023-10-03 16:25:00,1651.93,27407.59
2023-10-03 16:30:00,1651.97,27404.66
2023-10-03 16:35:00,1651.69,27405.01
2023-10-03 16:40:00,1652.7,27434.0
2023-10-03 16:45:00,1652.04,27415.65
2023-10-03 16:50:00,1652.1,27409.41
2023-10-03 16:55:00,1651.01,27390.91
2023-10-03 17:00:00,1650.99,27385.44
2023-10-03 17:05:00,1651.23,27386.03
2023-10-03 17:10:00,1655.52,27445.0
2023-10-03 17:15:00,1654.18,27409.4
2023-10-03 17:20:00,1655.39,27421.91
2023-10-03 17:25:00,1655.88,27449.95
2023-10-03 17:30:00,1656.11,27462.07
2023-10-03 17:35:00,1657.14,27466.68
2023-10-03 17:40:00,1655.38,27442.37
2023-10-03 17:45:00,1654.77,27438.6
2023-10-03 17:50:00,1655.68,27438.04
2023-10-03 17:55:00,1656.22,27446.19
2023-10-03 18:00:00,1655.48,27435.4
2023-10-03 18:05:00,1654.16,27417.6
2023-10-03 18:10:00,1654.01,27406.38
2023-10-03 18:15:00,1654.18,27400.67
2023-10-03 18:20:00,1654.05,27395.72
2023-10-03 18:25:00,1655.56,27409.49
2023-10-03 18:30:00,1654.17,27388.89
2023-10-03 18:35:00,1652.34,27365.0
2023-10-03 18:40:00,1652.46,27358.31
2023-10-03 18:45:00,1652.69,27361.78
2023-10-03 18:50:00,1651.5,27345.19
2023-10-03 18:55:00,1651.32,27328.28
2023-10-03 19:00:00,1648.92,27300.48
2023-10-03 19:05:00,1648.42,27310.94
2023-10-03 19:10:00,1652.1,27346.85
2023-10-03 19:15:00,1653.71,27381.81
2023-10-03 19:20:00,1654.34,27390.69
2023-10-03 19:25:00,1655.24,27368.47
2023-10-03 19:30:00,1655.73,27365.01
2023-10-03 19:35:00,1653.66,27335.8
2023-10-03 19:40:00,1652.43,27313.77
2023-10-03 19:45:00,1651.51,27314.43
2023-10-03 19:50:00,1651.8,27320.99
2023-10-03 19:55:00,1649.81,27265.11
2023-10-03 20:00:00,1650.27,27275.0
2023-10-03 20:05:00,1649.66,27254.69
2023-10-03 20:10:00,1652.3,27278.71
2023-10-03 20:15:00,1655.63,27342.91
2023-10-03 20:20:00,1656.08,27352.06
2023-10-03 20:25:00,1657.56,27370.86
2023-10-03 20:30:00,1657.31,27371.42
2023-10-03 20:35:00,1657.25,27370.43
