time,price_A,price_B
2024-07-15 00:00:00,544.9,3245.2
2024-07-15 00:01:00,544.8,3244.48
2024-07-15 00:02:00,545.0,3245.52
2024-07-15 00:03:00,545.7,3247.41
2024-07-15 00:04:00,545.9,3246.0
2024-07-15 00:05:00,545.8,3245.93
2024-07-15 00:06:00,545.7,3241.99
2024-07-15 00:07:00,545.9,3242.45
2024-07-15 00:08:00,545.4,3236.02
2024-07-15 00:09:00,545.2,3238.53
2024-07-15 00:10:00,545.0,3235.93
2024-07-15 00:11:00,544.9,3234.8
2024-07-15 00:12:00,545.3,3238.12
2024-07-15 00:13:00,545.3,3238.85
2024-07-15 00:14:00,544.8,3236.11
2024-07-15 00:15:00,544.4,3235.61
2024-07-15 00:16:00,544.5,3235.73
2024-07-15 00:17:00,544.3,3235.57
2024-07-15 00:18:00,544.0,3237.0
2024-07-15 00:19:00,544.8,3240.98
2024-07-15 00:20:00,544.5,3237.62
2024-07-15 00:21:00,544.6,3238.79
2024-07-15 00:22:00,544.7,3239.88
2024-07-15 00:23:00,544.9,3241.89
2024-07-15 00:24:00,545.1,3242.31
2024-07-15 00:25:00,545.0,3241.2
2024-07-15 00:26:00,545.3,3242.6
2024-07-15 00:27:00,545.6,3243.36
2024-07-15 00:28:00,546.6,3253.92
2024-07-15 00:29:00,547.1,3257.35
2024-07-15 00:30:00,547.3,3257.56
2024-07-15 00:31:00,546.9,3257.41
2024-07-15 00:32:00,547.2,3259.09
2024-07-15 00:33:00,547.9,3271.12
2024-07-15 00:34:00,547.8,3268.3
2024-07-15 00:35:00,547.6,3267.59
2024-07-15 00:36:00,547.2,3265.27
2024-07-15 00:37:00,547.7,3267.26
2024-07-15 00:38:00,547.6,3267.79
2024-07-15 00:39:00,547.5,3265.01
2024-07-15 00:40:00,547.1,3262.01
2024-07-15 00:41:00,547.1,3262.87
2024-07-15 00:42:00,546.8,3259.91
2024-07-15 00:43:00,547.0,3263.4
2024-07-15 00:44:00,546.7,3263.21
2024-07-15 00:45:00,547.0,3264.18
2024-07-15 00:46:00,547.6,3268.71
2024-07-15 00:47:00,547.9,3275.1
2024-07-15 00:48:00,548.6,3278.39
2024-07-15 00:49:00,548.8,3281.32
2024-07-15 00:50:00,548.7,3285.0
2024-07-15 00:51:00,548.4,3281.33
