time,price_A,price_B
2024-09-02 00:00:00,4.068,57301.77
2024-09-02 00:01:00,4.073,57348.01
2024-09-02 00:02:00,4.074,57324.0
2024-09-02 00:03:00,4.078,57338.8
2024-09-02 00:04:00,4.084,57400.87
2024-09-02 00:05:00,4.079,57340.5
2024-09-02 00:06:00,4.085,57407.49
2024-09-02 00:07:00,4.085,57418.01
2024-09-02 00:08:00,4.076,57331.11
2024-09-02 00:09:00,4.071,57260.01
2024-09-02 00:10:00,4.075,57300.0
2024-09-02 00:11:00,4.079,57298.01
2024-09-02 00:12:00,4.082,57348.01
2024-09-02 00:13:00,4.082,57402.01
2024-09-02 00:14:00,4.084,57441.7
2024-09-02 00:15:00,4.082,57438.0
2024-09-02 00:16:00,4.083,57426.0
2024-09-02 00:17:00,4.087,57503.01
2024-09-02 00:18:00,4.081,57445.0
2024-09-02 00:19:00,4.08,57446.01
2024-09-02 00:20:00,4.078,57446.0
2024-09-02 00:21:00,4.072,57349.99
2024-09-02 00:22:00,4.076,57382.0
2024-09-02 00:23:00,4.079,57399.01
2024-09-02 00:24:00,4.083,57438.27
2024-09-02 00:25:00,4.086,57477.01
2024-09-02 00:26:00,4.076,57395.99
2024-09-02 00:27:00,4.084,57463.0
2024-09-02 00:28:00,4.084,57467.99
2024-09-02 00:29:00,4.087,57500.0
2024-09-02 00:30:00,4.088,57522.0
2024-09-02 00:31:00,4.092,57577.94
2024-09-02 00:32:00,4.087,57524.0
2024-09-02 00:33:00,4.097,57597.0
2024-09-02 00:34:00,4.096,57605.0
2024-09-02 00:35:00,4.101,57629.0
2024-09-02 00:36:00,4.096,57539.99
2024-09-02 00:37:00,4.1,57615.99
2024-09-02 00:38:00,4.099,57576.0
2024-09-02 00:39:00,4.098,57630.01
2024-09-02 00:40:00,4.092,57543.51
2024-09-02 00:41:00,4.087,57462.0
2024-09-02 00:42:00,4.081,57378.0
2024-09-02 00:43:00,4.079,57381.99
2024-09-02 00:44:00,4.077,57354.01
2024-09-02 00:45:00,4.076,57342.01
2024-09-02 00:46:00,4.072,57264.01
2024-09-02 00:47:00,4.073,57296.01
2024-09-02 00:48:00,4.074,57312.01
2024-09-02 00:49:00,4.078,57312.0
2024-09-02 00:50:00,4.076,57276.01
2024-09-02 00:51:00,4.075,57259.4
2024-09-02 00:52:00,4.074,57266.01
2024-09-02 00:53:00,4.073,57201.0
2024-09-02 00:54:00,4.081,57237.29
2024-09-02 00:55:00,4.087,57323.0
2024-09-02 00:56:00,4.085,57282.0
2024-09-02 00:57:00,4.096,57341.0
2024-09-02 00:58:00,4.096,57436.27
2024-09-02 00:59:00,4.097,57420.0
2024-09-02 01:00:00,4.101,57467.25
2024-09-02 01:01:00,4.111,57478.0
2024-09-02 01:02:00,4.103,57436.0
2024-09-02 01:03:00,4.092,57382.0
2024-09-02 01:04:00,4.096,57331.0
2024-09-02 01:05:00,4.101,57381.0
2024-09-02 01:06:00,4.098,57347.84
2024-09-02 01:07:00,4.095,57264.99
2024-09-02 01:08:00,4.1,57313.75
2024-09-02 01:09:00,4.106,57370.0
2024-09-02 01:10:00,4.103,57384.01
2024-09-02 01:11:00,4.109,57409.99
2024-09-02 01:12:00,4.111,57446.0
2024-09-02 01:13:00,4.115,57465.0
2024-09-02 01:14:00,4.115,57462.0
2024-09-02 01:15:00,4.114,57430.0
2024-09-02 01:16:00,4.118,57475.99
2024-09-02 01:17:00,4.116,57444.01
2024-09-02 01:18:00,4.12,57461.09
2024-09-02 01:19:00,4.12,57492.25
2024-09-02 01:20:00,4.115,57450.01
2024-09-02 01:21:00,4.12,57496.0
2024-09-02 01:22:00,4.124,57571.0
2024-09-02 01:23:00,4.12,57551.1
2024-09-02 01:24:00,4.109,57453.0
2024-09-02 01:25:00,4.114,57372.0
2024-09-02 01:26:00,4.112,57350.14
2024-09-02 01:27:00,4.108,57386.96
2024-09-02 01:28:00,4.112,57426.03
2024-09-02 01:29:00,4.113,57460.02
2024-09-02 01:30:00,4.114,57431.11
2024-09-02 01:31:00,4.121,57516.0
2024-09-02 01:32:00,4.117,57490.86
2024-09-02 01:33:00,4.123,57515.99
2024-09-02 01:34:00,4.123,57498.0
2024-09-02 01:35:00,4.122,57491.1
2024-09-02 01:36:00,4.113,57389.01
2024-09-02 01:37:00,4.114,57371.1
2024-09-02 01:38:00,4.112,57370.99
2024-09-02 01:39:00,4.109,57334.01
2024-09-02 01:40:00,4.106,57380.0
2024-09-02 01:41:00,4.105,57358.01
2024-09-02 01:42:00,4.104,57312.01
2024-09-02 01:43:00,4.1,57326.0
2024-09-02 01:44:00,4.103,57333.0
2024-09-02 01:45:00,4.104,57331.1
2024-09-02 01:46:00,4.103,57298.0
2024-09-02 01:47:00,4.106,57333.34
2024-09-02 01:48:00,4.11,57416.01
2024-09-02 01:49:00,4.106,57356.01
2024-09-02 01:50:00,4.107,57369.01
2024-09-02 01:51:00,4.107,57370.0
2024-09-02 01:52:00,4.109,57376.01
2024-09-02 01:53:00,4.108,57388.3
2024-09-02 01:54:00,4.109,57398.0
2024-09-02 01:55:00,4.108,57400.01
2024-09-02 01:56:00,4.106,57432.0
2024-09-02 01:57:00,4.1,57398.0
2024-09-02 01:58:00,4.1,57396.37
2024-09-02 01:59:00,4.099,57419.0
2024-09-02 02:00:00,4.098,57423.23
2024-09-02 02:01:00,4.095,57390.83
2024-09-02 02:02:00,4.098,57424.24
2024-09-02 02:03:00,4.106,57451.0
2024-09-02 02:04:00,4.105,57456.08
2024-09-02 02:05:00,4.108,57480.0
2024-09-02 02:06:00,4.11,57529.0
2024-09-02 02:07:00,4.111,57617.65
2024-09-02 02:08:00,4.114,57630.0
2024-09-02 02:09:00,4.119,57692.01
2024-09-02 02:10:00,4.119,57597.0
2024-09-02 02:11:00,4.117,57602.0
2024-09-02 02:12:00,4.118,57606.07
2024-09-02 02:13:00,4.11,57550.0
2024-09-02 02:14:00,4.108,57556.02
2024-09-02 02:15:00,4.113,57563.99
2024-09-02 02:16:00,4.113,57578.0
2024-09-02 02:17:00,4.12,57614.0
2024-09-02 02:18:00,4.123,57633.76
2024-09-02 02:19:00,4.123,57668.0
2024-09-02 02:20:00,4.122,57669.48
2024-09-02 02:21:00,4.119,57664.01
2024-09-02 02:22:00,4.118,57617.0
2024-09-02 02:23:00,4.116,57632.99
2024-09-02 02:24:00,4.116,57647.99
2024-09-02 02:25:00,4.122,57650.98
2024-09-02 02:26:00,4.12,57645.0
2024-09-02 02:27:00,4.113,57590.0
2024-09-02 02:28:00,4.11,57532.0
2024-09-02 02:29:00,4.111,57501.11
2024-09-02 02:30:00,4.109,57490.24
2024-09-02 02:31:00,4.105,57432.99
2024-09-02 02:32:00,4.102,57374.0
2024-09-02 02:33:00,4.105,57390.01
2024-09-02 02:34:00,4.1,57405.99
2024-09-02 02:35:00,4.096,57346.88
2024-09-02 02:36:00,4.092,57363.75
2024-09-02 02:37:00,4.09,57351.1
2024-09-02 02:38:00,4.087,57350.0
2024-09-02 02:39:00,4.085,57308.01
2024-09-02 02:40:00,4.086,57305.0
2024-09-02 02:41:00,4.089,57327.0
2024-09-02 02:42:00,4.088,57326.01
2024-09-02 02:43:00,4.086,57295.29
2024-09-02 02:44:00,4.091,57331.1
2024-09-02 02:45:00,4.094,57376.0
2024-09-02 02:46:00,4.097,57367.62
2024-09-02 02:47:00,4.1,57412.01
2024-09-02 02:48:00,4.101,57418.99
2024-09-02 02:49:00,4.099,57372.0
2024-09-02 02:50:00,4.099,57371.12
2024-09-02 02:51:00,4.096,57370.0
2024-09-02 02:52:00,4.101,57407.99
2024-09-02 02:53:00,4.101,57431.01
2024-09-02 02:54:00,4.102,57457.98
2024-09-02 02:55:00,4.101,57470.18
2024-09-02 02:56:00,4.105,57500.01
2024-09-02 02:57:00,4.105,57541.01
2024-09-02 02:58:00,4.104,57530.05
2024-09-02 02:59:00,4.106,57549.99
2024-09-02 03:00:00,4.102,57509.01
2024-09-02 03:01:00,4.102,57538.01
2024-09-02 03:02:00,4.105,57605.99
2024-09-02 03:03:00,4.111,57678.72
2024-09-02 03:04:00,4.112,57661.0
2024-09-02 03:05:00,4.113,57662.01
2024-09-02 03:06:00,4.106,57647.39
2024-09-02 03:07:00,4.106,57644.99
2024-09-02 03:08:00,4.114,57720.0
2024-09-02 03:09:00,4.11,57668.0
2024-09-02 03:10:00,4.113,57664.0
2024-09-02 03:11:00,4.111,57637.0
2024-09-02 03:12:00,4.11,57672.99
2024-09-02 03:13:00,4.105,57613.37
2024-09-02 03:14:00,4.106,57602.0
2024-09-02 03:15:00,4.11,57663.0
2024-09-02 03:16:00,4.111,57679.99
2024-09-02 03:17:00,4.117,57707.0
2024-09-02 03:18:00,4.112,57690.39
2024-09-02 03:19:00,4.114,57689.5
2024-09-02 03:20:00,4.109,57671.1
2024-09-02 03:21:00,4.116,57750.0
2024-09-02 03:22:00,4.108,57702.01
2024-09-02 03:23:00,4.109,57662.01
2024-09-02 03:24:00,4.111,57673.01
2024-09-02 03:25:00,4.115,57686.0
2024-09-02 03:26:00,4.11,57655.0
2024-09-02 03:27:00,4.111,57650.99
2024-09-02 03:28:00,4.112,57635.0
2024-09-02 03:29:00,4.112,57603.01
2024-09-02 03:30:00,4.113,57631.1
2024-09-02 03:31:00,4.113,57642.01
2024-09-02 03:32:00,4.109,57619.0
2024-09-02 03:33:00,4.105,57600.0
2024-09-02 03:34:00,4.104,57611.0
2024-09-02 03:35:00,4.107,57610.0
2024-09-02 03:36:00,4.105,57637.99
2024-09-02 03:37:00,4.112,57624.0
2024-09-02 03:38:00,4.112,57660.99
2024-09-02 03:39:00,4.113,57694.0
2024-09-02 03:40:00,4.113,57710.0
2024-09-02 03:41:00,4.11,57625.75
2024-09-02 03:42:00,4.108,57578.0
2024-09-02 03:43:00,4.106,57517.67
2024-09-02 03:44:00,4.109,57523.15
2024-09-02 03:45:00,4.111,57551.0
2024-09-02 03:46:00,4.108,57526.0
2024-09-02 03:47:00,4.111,57610.12
2024-09-02 03:48:00,4.113,57679.8
2024-09-02 03:49:00,4.112,57654.01
2024-09-02 03:50:00,4.113,57642.99
2024-09-02 03:51:00,4.106,57582.87
2024-09-02 03:52:00,4.109,57588.48
2024-09-02 03:53:00,4.111,57671.1
2024-09-02 03:54:00,4.111,57686.0
2024-09-02 03:55:00,4.109,57671.1
2024-09-02 03:56:00,4.104,57627.99
2024-09-02 03:57:00,4.105,57631.0
2024-09-02 03:58:00,4.11,57661.0
2024-09-02 03:59:00,4.114,57736.87
2024-09-02 04:00:00,4.114,57742.0
2024-09-02 04:01:00,4.116,57753.0
2024-09-02 04:02:00,4.109,57647.0
2024-09-02 04:03:00,4.116,57677.0
2024-09-02 04:04:00,4.115,57637.0
2024-09-02 04:05:00,4.112,57663.99
2024-09-02 04:06:00,4.116,57687.99
2024-09-02 04:07:00,4.114,57731.01
2024-09-02 04:08:00,4.109,57717.01
2024-09-02 04:09:00,4.112,57723.99
2024-09-02 04:10:00,4.112,57743.99
2024-09-02 04:11:00,4.109,57703.99
