time,price_A,price_B
2024-11-04 00:00:00,0.334,1.0003
2024-11-04 00:01:00,0.3333,1.0003
2024-11-04 00:02:00,0.3335,1.0003
2024-11-04 00:03:00,0.3332,1.0003
2024-11-04 00:04:00,0.3329,1.0003
2024-11-04 00:05:00,0.3332,1.0004
2024-11-04 00:06:00,0.3332,1.0004
2024-11-04 00:07:00,0.3329,1.0004
2024-11-04 00:08:00,0.333,1.0003
2024-11-04 00:09:00,0.333,1.0004
2024-11-04 00:10:00,0.3331,1.0003
2024-11-04 00:11:00,0.3331,1.0004
2024-11-04 00:12:00,0.3329,1.0004
2024-11-04 00:13:00,0.3329,1.0004
2024-11-04 00:14:00,0.3331,1.0003
2024-11-04 00:15:00,0.3329,1.0003
2024-11-04 00:16:00,0.3336,1.0004
2024-11-04 00:17:00,0.3331,1.0003
2024-11-04 00:18:00,0.333,1.0003
2024-11-04 00:19:00,0.3329,1.0003
2024-11-04 00:20:00,0.333,1.0003
2024-11-04 00:21:00,0.3332,1.0004
2024-11-04 00:22:00,0.333,1.0004
2024-11-04 00:23:00,0.3327,1.0003
2024-11-04 00:24:00,0.3328,1.0004
2024-11-04 00:25:00,0.3328,1.0004
2024-11-04 00:26:00,0.3333,1.0004
2024-11-04 00:27:00,0.3331,1.0003
2024-11-04 00:28:00,0.3326,1.0003
2024-11-04 00:29:00,0.3325,1.0004
2024-11-04 00:30:00,0.3327,1.0004
2024-11-04 00:31:00,0.3326,1.0003
2024-11-04 00:32:00,0.3329,1.0003
2024-11-04 00:33:00,0.3328,1.0003
2024-11-04 00:34:00,0.3324,1.0003
2024-11-04 00:35:00,0.3321,1.0004
2024-11-04 00:36:00,0.3319,1.0003
2024-11-04 00:37:00,0.3317,1.0003
2024-11-04 00:38:00,0.3316,1.0003
2024-11-04 00:39:00,0.3311,1.0003
2024-11-04 00:40:00,0.3307,1.0003
2024-11-04 00:41:00,0.3311,1.0003
2024-11-04 00:42:00,0.3308,1.0003
2024-11-04 00:43:00,0.3309,1.0004
2024-11-04 00:44:00,0.3305,1.0003
2024-11-04 00:45:00,0.3309,1.0003
2024-11-04 00:46:00,0.3316,1.0004
2024-11-04 00:47:00,0.3315,1.0003
2024-11-04 00:48:00,0.3312,1.0004
2024-11-04 00:49:00,0.3307,1.0003
2024-11-04 00:50:00,0.3308,1.0003
2024-11-04 00:51:00,0.3311,1.0003
2024-11-04 00:52:00,0.3318,1.0004
2024-11-04 00:53:00,0.332,1.0004
2024-11-04 00:54:00,0.3322,1.0004
2024-11-04 00:55:00,0.332,1.0004
2024-11-04 00:56:00,0.3326,1.0004
2024-11-04 00:57:00,0.3324,1.0004
2024-11-04 00:58:00,0.3322,1.0004
2024-11-04 00:59:00,0.3322,1.0004
2024-11-04 01:00:00,0.3327,1.0003
2024-11-04 01:01:00,0.3327,1.0004
2024-11-04 01:02:00,0.3325,1.0003
2024-11-04 01:03:00,0.333,1.0004
2024-11-04 01:04:00,0.3325,1.0004
2024-11-04 01:05:00,0.3324,1.0003
