,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
0,2024-05-06/2024-05-12,ETH/BTC,-0.00013442072794130446,0.0021480381738475094,2024-05-06,2024-05-12 23:59:59.999999999,calm_market,ETH,BTC
1,2024-05-13/2024-05-19,ETH/BTC,-0.00013334878487464722,0.0027534160559568852,2024-05-13,2024-05-19 23:59:59.999999999,calm_market,ETH,BTC
2,2024-05-20/2024-05-26,ETH/BTC,0.0008250683580287885,0.00822372457360762,2024-05-20,2024-05-26 23:59:59.999999999,bull_market,ETH,BTC
3,2024-05-27/2024-06-02,ETH/BTC,-8.771713995011216e-05,0.0026133124427616746,2024-05-27,2024-06-02 23:59:59.999999999,calm_market,ETH,BTC
4,2024-06-03/2024-06-09,ETH/BTC,-0.00023668788400782692,0.002042047227297875,2024-06-03,2024-06-09 23:59:59.999999999,calm_market,ETH,BTC
5,2024-06-10/2024-06-16,ETH/BTC,0.00014989065139566128,0.0029916077903849544,2024-06-10,2024-06-16 23:59:59.999999999,calm_market,ETH,BTC
6,2024-06-17/2024-06-23,ETH/BTC,0.00015895767342115184,0.0027855232748672026,2024-06-17,2024-06-23 23:59:59.999999999,calm_market,ETH,BTC
7,2024-06-24/2024-06-30,ETH/BTC,0.00011013664678290946,0.0028594809131696586,2024-06-24,2024-06-30 23:59:59.999999999,calm_market,ETH,BTC
8,2024-07-01/2024-07-07,ETH/BTC,-0.0003892387703414921,0.003469198169885368,2024-07-01,2024-07-07 23:59:59.999999999,bear_market,ETH,BTC
9,2024-07-08/2024-07-14,ETH/BTC,8.289281187681392e-05,0.0029854924690757663,2024-07-08,2024-07-14 23:59:59.999999999,calm_market,ETH,BTC
10,2024-07-15/2024-07-21,ETH/BTC,-0.00018051615380964544,0.0021904115722755435,2024-07-15,2024-07-21 23:59:59.999999999,calm_market,ETH,BTC
11,2024-07-22/2024-07-28,ETH/BTC,-0.0006825572408136558,0.0037635777025061385,2024-07-22,2024-07-28 23:59:59.999999999,bear_market,ETH,BTC
12,2024-07-29/2024-08-04,ETH/BTC,-0.0002494936225778252,0.003781748473093304,2024-07-29,2024-08-04 23:59:59.999999999,calm_market,ETH,BTC
13,2024-08-05/2024-08-11,ETH/BTC,-0.0001925931229163051,0.006892016809996695,2024-08-05,2024-08-11 23:59:59.999999999,volatile_market,ETH,BTC
14,2024-08-12/2024-08-18,ETH/BTC,-9.138457243393901e-05,0.003520878963007666,2024-08-12,2024-08-18 23:59:59.999999999,calm_market,ETH,BTC
15,2024-08-19/2024-08-25,ETH/BTC,-0.00018457708625872643,0.0029533638923991508,2024-08-19,2024-08-25 23:59:59.999999999,calm_market,ETH,BTC
16,2024-08-26/2024-09-01,ETH/BTC,1.9686548720249886e-05,0.00340752900779407,2024-08-26,2024-09-01 23:59:59.999999999,calm_market,ETH,BTC
17,2024-09-02/2024-09-08,ETH/BTC,-0.0001345952349798499,0.0030709169225592837,2024-09-02,2024-09-08 23:59:59.999999999,calm_market,ETH,BTC
18,2024-09-09/2024-09-15,ETH/BTC,-0.0002748632780810394,0.002217189928151535,2024-09-09,2024-09-15 23:59:59.999999999,calm_market,ETH,BTC
19,2024-09-16/2024-09-22,ETH/BTC,0.0003558875131627951,0.0033219205573569817,2024-09-16,2024-09-22 23:59:59.999999999,bull_market,ETH,BTC
20,2024-09-23/2024-09-29,ETH/BTC,-0.00020397985982617417,0.0025467449545791,2024-09-23,2024-09-29 23:59:59.999999999,calm_market,ETH,BTC
21,2024-09-30/2024-10-06,ETH/BTC,-0.0004042374895004825,0.0026169183902781793,2024-09-30,2024-10-06 23:59:59.999999999,bear_market,ETH,BTC
22,2024-10-07/2024-10-13,ETH/BTC,3.7226970899261906e-05,0.0026242640965856603,2024-10-07,2024-10-13 23:59:59.999999999,calm_market,ETH,BTC
23,2024-10-14/2024-10-20,ETH/BTC,-0.00010862641300283514,0.002977435099215716,2024-10-14,2024-10-20 23:59:59.999999999,calm_market,ETH,BTC
24,2024-10-21/2024-10-27,ETH/BTC,-0.0005537942316120388,0.002685071704725802,2024-10-21,2024-10-27 23:59:59.999999999,bear_market,ETH,BTC
25,2024-10-28/2024-11-03,ETH/BTC,-0.0001911848359338867,0.003197048234485889,2024-10-28,2024-11-03 23:59:59.999999999,calm_market,ETH,BTC
26,2024-11-04/2024-11-10,ETH/BTC,0.0009842813967115822,0.0057059661957646205,2024-11-04,2024-11-10 23:59:59.999999999,bull_market,ETH,BTC
27,2024-11-11/2024-11-17,ETH/BTC,-0.00085869320522657,0.00565564784083836,2024-11-11,2024-11-17 23:59:59.999999999,bear_market,ETH,BTC
28,2024-11-18/2024-11-24,ETH/BTC,9.845108300105142e-05,0.006681631631329085,2024-11-18,2024-11-24 23:59:59.999999999,volatile_market,ETH,BTC
29,2024-11-25/2024-12-01,ETH/BTC,0.0004902192136103101,0.005060384311480463,2024-11-25,2024-12-01 23:59:59.999999999,bull_market,ETH,BTC
30,2024-12-02/2024-12-08,ETH/BTC,0.0004342642675086038,0.005378829532670462,2024-12-02,2024-12-08 23:59:59.999999999,bull_market,ETH,BTC
31,2024-12-09/2024-12-15,ETH/BTC,-8.987332741632437e-05,0.004348914929795179,2024-12-09,2024-12-15 23:59:59.999999999,calm_market,ETH,BTC
32,2024-12-16/2024-12-22,ETH/BTC,-0.0006493522465496702,0.005546586570781081,2024-12-16,2024-12-22 23:59:59.999999999,bear_market,ETH,BTC
33,2024-12-23/2024-12-29,ETH/BTC,4.205448633132697e-05,0.0036941964478240602,2024-12-23,2024-12-29 23:59:59.999999999,calm_market,ETH,BTC
34,2024-12-30/2025-01-05,ETH/BTC,0.00018960914506556598,0.0025845246107385413,2024-12-30,2025-01-05 23:59:59.999999999,calm_market,ETH,BTC
35,2025-01-06/2025-01-12,ETH/BTC,-0.0003627788293015445,0.0030718965997628776,2025-01-06,2025-01-12 23:59:59.999999999,bear_market,ETH,BTC
36,2025-01-13/2025-01-19,ETH/BTC,-0.00043391130174424085,0.006654892065695767,2025-01-13,2025-01-19 23:59:59.999999999,bear_market,ETH,BTC
37,2025-01-20/2025-01-26,ETH/BTC,1.9371865700708203e-05,0.004938038662821958,2025-01-20,2025-01-26 23:59:59.999999999,calm_market,ETH,BTC
38,2025-01-27/2025-02-02,ETH/BTC,9.080765098410444e-05,0.004519850073696946,2025-01-27,2025-02-02 23:59:59.999999999,calm_market,ETH,BTC
39,2025-02-03/2025-02-09,ETH/BTC,-7.647816512904218e-05,0.010547128839046125,2025-02-03,2025-02-09 23:59:59.999999999,volatile_market,ETH,BTC
40,2025-02-10/2025-02-16,ETH/BTC,0.00013630124939964874,0.003813223149368977,2025-02-10,2025-02-16 23:59:59.999999999,calm_market,ETH,BTC
41,2025-02-17/2025-02-23,ETH/BTC,0.00013543568707696926,0.004635641440051152,2025-02-17,2025-02-23 23:59:59.999999999,calm_market,ETH,BTC
