,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
0,2024-05-06/2024-05-12,BTC/USDT,-0.0003215198948079744,0.004842818158332772,2024-05-06,2024-05-12 23:59:59.999999999,bear_market,BTC,USDT
1,2024-05-13/2024-05-19,BTC/USDT,0.0006029028490065029,0.0040222409363540644,2024-05-13,2024-05-19 23:59:59.999999999,bull_market,BTC,USDT
2,2024-05-20/2024-05-26,BTC/USDT,-2.5063843462255783e-05,0.004695687369833176,2024-05-20,2024-05-26 23:59:59.999999999,calm_market,BTC,USDT
3,2024-05-27/2024-06-02,BTC/USDT,-0.00010565081908620456,0.003576385811114847,2024-05-27,2024-06-02 23:59:59.999999999,calm_market,BTC,USDT
4,2024-06-03/2024-06-09,BTC/USDT,1.7441336917532286e-05,0.003479340973569932,2024-06-03,2024-06-09 23:59:59.999999999,calm_market,BTC,USDT
5,2024-06-10/2024-06-16,BTC/USDT,-0.00029572973938887136,0.0042299642105218934,2024-06-10,2024-06-16 23:59:59.999999999,bear_market,BTC,USDT
6,2024-06-17/2024-06-23,BTC/USDT,-0.0002020910028203496,0.0034199405699543227,2024-06-17,2024-06-23 23:59:59.999999999,calm_market,BTC,USDT
7,2024-06-24/2024-06-30,BTC/USDT,-1.66588886856797e-05,0.004451311027898037,2024-06-24,2024-06-30 23:59:59.999999999,calm_market,BTC,USDT
8,2024-07-01/2024-07-07,BTC/USDT,-0.0008173571329563857,0.006167078023775122,2024-07-01,2024-07-07 23:59:59.999999999,bear_market,BTC,USDT
9,2024-07-08/2024-07-14,BTC/USDT,0.00033087875310526993,0.0058679836550980325,2024-07-08,2024-07-14 23:59:59.999999999,volatile_market,BTC,USDT
10,2024-07-15/2024-07-21,BTC/USDT,0.00041507525375652674,0.00466261035865696,2024-07-15,2024-07-21 23:59:59.999999999,bull_market,BTC,USDT
11,2024-07-22/2024-07-28,BTC/USDT,0.00012218999026476998,0.0047905386832520274,2024-07-22,2024-07-28 23:59:59.999999999,calm_market,BTC,USDT
12,2024-07-29/2024-08-04,BTC/USDT,-0.0008947703037510039,0.006270986535486632,2024-07-29,2024-08-04 23:59:59.999999999,bear_market,BTC,USDT
13,2024-08-05/2024-08-11,BTC/USDT,0.0008974033616491184,0.010087771673549682,2024-08-05,2024-08-11 23:59:59.999999999,bull_market,BTC,USDT
14,2024-08-12/2024-08-18,BTC/USDT,-1.0750561893089044e-05,0.006869470023877922,2024-08-12,2024-08-18 23:59:59.999999999,volatile_market,BTC,USDT
15,2024-08-19/2024-08-25,BTC/USDT,0.0006290162200583826,0.004770289475540677,2024-08-19,2024-08-25 23:59:59.999999999,bull_market,BTC,USDT
16,2024-08-26/2024-09-01,BTC/USDT,-0.0005499129467891097,0.00542279484412073,2024-08-26,2024-09-01 23:59:59.999999999,bear_market,BTC,USDT
17,2024-09-02/2024-09-08,BTC/USDT,-0.0005838736681045646,0.005406514125139397,2024-09-02,2024-09-08 23:59:59.999999999,bear_market,BTC,USDT
18,2024-09-09/2024-09-15,BTC/USDT,0.0005282112915434517,0.004878359709641232,2024-09-09,2024-09-15 23:59:59.999999999,bull_market,BTC,USDT
19,2024-09-16/2024-09-22,BTC/USDT,0.0005936364781313882,0.0047464745141405735,2024-09-16,2024-09-22 23:59:59.999999999,bull_market,BTC,USDT
20,2024-09-23/2024-09-29,BTC/USDT,0.00029521384658475755,0.0032334014151404866,2024-09-23,2024-09-29 23:59:59.999999999,calm_market,BTC,USDT
21,2024-09-30/2024-10-06,BTC/USDT,-0.00015667646407031922,0.00451581402408591,2024-09-30,2024-10-06 23:59:59.999999999,calm_market,BTC,USDT
22,2024-10-07/2024-10-13,BTC/USDT,-3.0446069446211978e-05,0.004083726618400622,2024-10-07,2024-10-13 23:59:59.999999999,calm_market,BTC,USDT
23,2024-10-14/2024-10-20,BTC/USDT,0.00035850805173060055,0.0052716097199398005,2024-10-14,2024-10-20 23:59:59.999999999,calm_market,BTC,USDT
24,2024-10-21/2024-10-27,BTC/USDT,-3.8361910078525264e-05,0.003377992834854962,2024-10-21,2024-10-27 23:59:59.999999999,calm_market,BTC,USDT
25,2024-10-28/2024-11-03,BTC/USDT,-0.00014983333591431653,0.004525776836038107,2024-10-28,2024-11-03 23:59:59.999999999,calm_market,BTC,USDT
26,2024-11-04/2024-11-10,BTC/USDT,0.0009857997720587343,0.005857260588972767,2024-11-04,2024-11-10 23:59:59.999999999,bull_market,BTC,USDT
27,2024-11-11/2024-11-17,BTC/USDT,0.0004793069880830792,0.007314454033884373,2024-11-11,2024-11-17 23:59:59.999999999,bull_market,BTC,USDT
28,2024-11-18/2024-11-24,BTC/USDT,0.0005827774542551365,0.005297304133830136,2024-11-18,2024-11-24 23:59:59.999999999,bull_market,BTC,USDT
29,2024-11-25/2024-12-01,BTC/USDT,0.00015880039197171088,0.0048462466049028355,2024-11-25,2024-12-01 23:59:59.999999999,calm_market,BTC,USDT
30,2024-12-02/2024-12-08,BTC/USDT,0.0003348521190725969,0.006326985811872407,2024-12-02,2024-12-08 23:59:59.999999999,volatile_market,BTC,USDT
31,2024-12-09/2024-12-15,BTC/USDT,0.00034601985280674464,0.005517016172252925,2024-12-09,2024-12-15 23:59:59.999999999,calm_market,BTC,USDT
32,2024-12-16/2024-12-22,BTC/USDT,-0.000774798927957782,0.006581065562270805,2024-12-16,2024-12-22 23:59:59.999999999,bear_market,BTC,USDT
33,2024-12-23/2024-12-29,BTC/USDT,-9.291436494349072e-05,0.0049541313353754805,2024-12-23,2024-12-29 23:59:59.999999999,calm_market,BTC,USDT
34,2024-12-30/2025-01-05,BTC/USDT,0.00040149091218700676,0.004172926070763863,2024-12-30,2025-01-05 23:59:59.999999999,calm_market,BTC,USDT
35,2025-01-06/2025-01-12,BTC/USDT,-0.00044173400114229383,0.0051010569033198665,2025-01-06,2025-01-12 23:59:59.999999999,bear_market,BTC,USDT
36,2025-01-13/2025-01-19,BTC/USDT,0.000830494829300139,0.006016899872166972,2025-01-13,2025-01-19 23:59:59.999999999,bull_market,BTC,USDT
37,2025-01-20/2025-01-26,BTC/USDT,4.0141783005907664e-05,0.007564963107820817,2025-01-20,2025-01-26 23:59:59.999999999,volatile_market,BTC,USDT
38,2025-01-27/2025-02-02,BTC/USDT,-5.6170728200715994e-05,0.005232476243527072,2025-01-27,2025-02-02 23:59:59.999999999,calm_market,BTC,USDT
39,2025-02-03/2025-02-09,BTC/USDT,-0.00010201249488481717,0.0063312472325971186,2025-02-03,2025-02-09 23:59:59.999999999,volatile_market,BTC,USDT
40,2025-02-10/2025-02-16,BTC/USDT,2.1378394456555653e-05,0.0037157198513404427,2025-02-10,2025-02-16 23:59:59.999999999,calm_market,BTC,USDT
41,2025-02-17/2025-02-23,BTC/USDT,5.469438473450408e-05,0.0033279466398155565,2025-02-17,2025-02-23 23:59:59.999999999,calm_market,BTC,USDT
42,2025-02-24/2025-03-02,BTC/USDT,-0.0005359584075004872,0.008175796143068311,2025-02-24,2025-03-02 23:59:59.999999999,bear_market,BTC,USDT
43,2025-03-03/2025-03-09,BTC/USDT,-0.00029559650067886,0.009893242759167427,2025-03-03,2025-03-09 23:59:59.999999999,bear_market,BTC,USDT
44,2025-03-10/2025-03-16,BTC/USDT,0.0002603955375656144,0.006683049207547624,2025-03-10,2025-03-16 23:59:59.999999999,volatile_market,BTC,USDT
45,2025-03-17/2025-03-23,BTC/USDT,0.00011984557238565561,0.0040261091674924495,2025-03-17,2025-03-23 23:59:59.999999999,calm_market,BTC,USDT
46,2025-03-24/2025-03-30,BTC/USDT,-0.00041993937045668294,0.0034584550097104187,2025-03-24,2025-03-30 23:59:59.999999999,bear_market,BTC,USDT
47,2025-03-31/2025-04-06,BTC/USDT,-8.668335878361275e-05,0.005669119064456727,2025-03-31,2025-04-06 23:59:59.999999999,calm_market,BTC,USDT
48,2025-04-07/2025-04-13,BTC/USDT,0.0006325850338813374,0.008255669381134917,2025-04-07,2025-04-13 23:59:59.999999999,bull_market,BTC,USDT
49,2025-04-14/2025-04-20,BTC/USDT,1.981019443247058e-05,0.0036821944012759896,2025-04-14,2025-04-20 23:59:59.999999999,calm_market,BTC,USDT
50,2025-04-21/2025-04-27,BTC/USDT,0.000496431562620785,0.0038876309520038533,2025-04-21,2025-04-27 23:59:59.999999999,bull_market,BTC,USDT
51,2025-04-28/2025-05-04,BTC/USDT,0.0001402955054985339,0.0033379595363721773,2025-04-28,2025-05-04 23:59:59.999999999,calm_market,BTC,USDT
52,2025-05-05/2025-05-11,BTC/USDT,0.0003919692576018517,0.003877926647805632,2025-05-05,2025-05-11 23:59:59.999999999,calm_market,BTC,USDT
53,2024-05-06/2024-05-12,ETH/USDT,-0.0004556323683610097,0.005170359685134537,2024-05-06,2024-05-12 23:59:59.999999999,bear_market,ETH,USDT
54,2024-05-13/2024-05-19,ETH/USDT,0.0004692303063720814,0.004624411845414698,2024-05-13,2024-05-19 23:59:59.999999999,bull_market,ETH,USDT
55,2024-05-20/2024-05-26,ETH/USDT,0.0008000155377969825,0.010108913896891813,2024-05-20,2024-05-26 23:59:59.999999999,bull_market,ETH,USDT
56,2024-05-27/2024-06-02,ETH/USDT,-0.0001930744270899601,0.004243801728218669,2024-05-27,2024-06-02 23:59:59.999999999,calm_market,ETH,USDT
57,2024-06-03/2024-06-09,ETH/USDT,-0.00021983582958255352,0.003557400950186538,2024-06-03,2024-06-09 23:59:59.999999999,calm_market,ETH,USDT
58,2024-06-10/2024-06-16,ETH/USDT,-0.00014521350951456711,0.005442112184444622,2024-06-10,2024-06-16 23:59:59.999999999,calm_market,ETH,USDT
59,2024-06-17/2024-06-23,ETH/USDT,-4.273507542218824e-05,0.004755571749491571,2024-06-17,2024-06-23 23:59:59.999999999,calm_market,ETH,USDT
60,2024-06-24/2024-06-30,ETH/USDT,9.284919986976053e-05,0.004496759959950347,2024-06-24,2024-06-30 23:59:59.999999999,calm_market,ETH,USDT
61,2024-07-01/2024-07-07,ETH/USDT,-0.0012073145672272104,0.007444657952990389,2024-07-01,2024-07-07 23:59:59.999999999,bear_market,ETH,USDT
