,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
0,2024-05-06/2024-05-12,TUSD/USDT,-3.628613874436985e-06,0.00013445462692882162,2024-05-06,2024-05-12 23:59:59.999999999,calm_market,TUSD,USDT
1,2024-05-13/2024-05-19,TUSD/USDT,7.2462616706597544e-06,0.00013768621910964363,2024-05-13,2024-05-19 23:59:59.999999999,calm_market,TUSD,USDT
2,2024-05-20/2024-05-26,TUSD/USDT,-9.741858527142477e-06,0.00016856649591929493,2024-05-20,2024-05-26 23:59:59.999999999,calm_market,TUSD,USDT
3,2024-05-27/2024-06-02,TUSD/USDT,-3.7088782405781483e-06,0.00012310383710999873,2024-05-27,2024-06-02 23:59:59.999999999,calm_market,TUSD,USDT
4,2024-06-03/2024-06-09,TUSD/USDT,-2.212049617948966e-06,0.00013188223597927778,2024-06-03,2024-06-09 23:59:59.999999999,calm_market,TUSD,USDT
5,2024-06-10/2024-06-16,TUSD/USDT,-9.953209210918974e-06,0.000167832508190195,2024-06-10,2024-06-16 23:59:59.999999999,calm_market,TUSD,USDT
6,2024-06-17/2024-06-23,TUSD/USDT,1.9320661810108138e-05,0.0002248971568585474,2024-06-17,2024-06-23 23:59:59.999999999,calm_market,TUSD,USDT
7,2024-06-24/2024-06-30,TUSD/USDT,6.090181556841009e-06,0.00014437679561537815,2024-06-24,2024-06-30 23:59:59.999999999,calm_market,TUSD,USDT
8,2024-07-01/2024-07-07,TUSD/USDT,3.7131442361452433e-06,0.00014998890097939847,2024-07-01,2024-07-07 23:59:59.999999999,calm_market,TUSD,USDT
9,2024-07-08/2024-07-14,TUSD/USDT,-4.867617337755583e-06,0.00016334950748009213,2024-07-08,2024-07-14 23:59:59.999999999,calm_market,TUSD,USDT
10,2024-07-15/2024-07-21,TUSD/USDT,1.429520747075773e-05,0.00021310711764916299,2024-07-15,2024-07-21 23:59:59.999999999,calm_market,TUSD,USDT
11,2024-07-22/2024-07-28,TUSD/USDT,-1.2983398800075826e-06,0.0002726373762202405,2024-07-22,2024-07-28 23:59:59.999999999,calm_market,TUSD,USDT
12,2024-07-29/2024-08-04,TUSD/USDT,-7.66676350283271e-06,0.00012068969112260241,2024-07-29,2024-08-04 23:59:59.999999999,calm_market,TUSD,USDT
13,2024-08-05/2024-08-11,TUSD/USDT,1.7221966258870561e-07,0.0001368087644258718,2024-08-05,2024-08-11 23:59:59.999999999,calm_market,TUSD,USDT
14,2024-08-12/2024-08-18,TUSD/USDT,5.96871571357367e-07,0.00010898500313875442,2024-08-12,2024-08-18 23:59:59.999999999,calm_market,TUSD,USDT
15,2024-08-19/2024-08-25,TUSD/USDT,7.831222756966024e-06,0.00012840759489650356,2024-08-19,2024-08-25 23:59:59.999999999,calm_market,TUSD,USDT
16,2024-08-26/2024-09-01,TUSD/USDT,-7.274597547312861e-06,0.00011011448959660846,2024-08-26,2024-09-01 23:59:59.999999999,calm_market,TUSD,USDT
17,2024-09-02/2024-09-08,TUSD/USDT,-2.4723025434651164e-06,8.835693340896924e-05,2024-09-02,2024-09-08 23:59:59.999999999,calm_market,TUSD,USDT
18,2024-09-09/2024-09-15,TUSD/USDT,-1.607035403234576e-06,0.00010190248170044277,2024-09-09,2024-09-15 23:59:59.999999999,calm_market,TUSD,USDT
19,2024-09-16/2024-09-22,TUSD/USDT,2.1802975410680396e-06,9.01582482996446e-05,2024-09-16,2024-09-22 23:59:59.999999999,calm_market,TUSD,USDT
20,2024-09-23/2024-09-29,TUSD/USDT,-1.290133737467777e-06,9.261879330241794e-05,2024-09-23,2024-09-29 23:59:59.999999999,calm_market,TUSD,USDT
21,2024-09-30/2024-10-06,TUSD/USDT,-3.914976024072637e-06,0.0002924950320153366,2024-09-30,2024-10-06 23:59:59.999999999,calm_market,TUSD,USDT
22,2024-10-07/2024-10-13,TUSD/USDT,-2.3364447729931114e-06,0.00016400447885260528,2024-10-07,2024-10-13 23:59:59.999999999,calm_market,TUSD,USDT
23,2024-10-14/2024-10-20,TUSD/USDT,2.222720304416675e-06,0.00013454613782992652,2024-10-14,2024-10-20 23:59:59.999999999,calm_market,TUSD,USDT
24,2024-10-21/2024-10-27,TUSD/USDT,-2.2564677650384428e-06,0.00016508174996843179,2024-10-21,2024-10-27 23:59:59.999999999,calm_market,TUSD,USDT
25,2024-10-28/2024-11-03,TUSD/USDT,-8.054685443753333e-07,0.00048020278677787727,2024-10-28,2024-11-03 23:59:59.999999999,calm_market,TUSD,USDT
26,2024-11-04/2024-11-10,TUSD/USDT,3.268832455962859e-05,0.0004211872821151147,2024-11-04,2024-11-10 23:59:59.999999999,calm_market,TUSD,USDT
27,2024-11-11/2024-11-17,TUSD/USDT,-1.0755541753200172e-05,0.0006272863717785039,2024-11-11,2024-11-17 23:59:59.999999999,calm_market,TUSD,USDT
28,2024-11-18/2024-11-24,TUSD/USDT,1.9183637486481944e-06,0.00023789895258434314,2024-11-18,2024-11-24 23:59:59.999999999,calm_market,TUSD,USDT
29,2024-11-25/2024-12-01,TUSD/USDT,1.0754729486518842e-05,0.0002120955325634815,2024-11-25,2024-12-01 23:59:59.999999999,calm_market,TUSD,USDT
30,2024-12-02/2024-12-08,TUSD/USDT,0.00014722942508795257,0.0007997954572101696,2024-12-02,2024-12-08 23:59:59.999999999,calm_market,TUSD,USDT
31,2024-12-09/2024-12-15,TUSD/USDT,-0.00011869045567855281,0.001760844887934421,2024-12-09,2024-12-15 23:59:59.999999999,calm_market,TUSD,USDT
32,2024-12-16/2024-12-22,TUSD/USDT,-2.3171079316188226e-05,0.0002915474724772387,2024-12-16,2024-12-22 23:59:59.999999999,calm_market,TUSD,USDT
33,2024-12-23/2024-12-29,TUSD/USDT,-2.750711054778683e-06,0.0001769090369945403,2024-12-23,2024-12-29 23:59:59.999999999,calm_market,TUSD,USDT
